,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
226,51,61,79,54,88,69,46,54,66,46,69,40,30,39,44,45,8,31,22,50,33149,2,29990,1,[]
227,56,56,81,55,89,68,53,50,72,48,69,35,29,50,47,45,9,32,21,50,33276,2,30567,1,[]
228,56,56,82,56,91,67,53,51,79,53,77,34,22,56,54,43,7,29,16,40,33962,3,30777,2,"['18:57 DMO 击破了防御塔', '18:59 LNG 击破了防御塔']"
229,3,93,73,64,84,64,56,47,80,56,87,39,19,52,57,38,9,41,9,41,34100,3,30848,2,[]
230,5,81,65,68,76,61,50,54,73,50,85,36,10,53,62,33,8,51,7,51,34151,3,30901,2,[]
231,6,68,65,68,76,61,51,65,73,50,90,44,11,54,63,32,9,51,9,53,34202,3,31532,2,[]
232,8,61,64,70,75,58,46,73,3,91,90,44,11,51,59,37,8,51,8,51,34253,3,31814,3,['19:18 DMOXiaopeng(德玛西亚皇子) 击破了防御塔']
233,7,59,65,69,76,61,49,66,13,80,91,50,16,57,50,43,11,51,9,53,34576,3,31906,3,[]
234,5,63,64,69,75,61,45,58,12,70,87,50,5,63,47,46,9,62,6,61,34756,3,32507,3,[]
235,5,64,52,67,8,70,33,63,5,64,87,58,6,59,48,47,7,60,6,61,34812,3,32564,3,"['19:32 DMOMark(正义巨像) 击杀了 LNGFlandre(机械先驱)', '19:31 LNG 击杀了水龙']"
236,5,64,39,65,10,65,33,60,7,68,10,56,8,55,6,56,8,50,9,49,34948,3,32616,3,[]
237,5,64,39,56,19,66,42,55,18,66,18,48,20,46,14,49,8,41,5,45,35098,3,32662,3,[]
238,5,64,31,55,21,64,42,51,31,62,25,37,28,36,24,38,10,33,5,45,35189,3,32715,3,[]
239,5,64,25,51,16,52,48,52,36,49,40,37,33,38,33,36,10,33,91,6,35336,3,32899,3,[]
240,5,64,34,42,10,50,51,51,33,43,50,42,41,32,49,42,90,13,80,14,35552,3,32994,3,[]
241,5,64,41,40,13,49,49,60,39,40,57,43,41,32,56,42,81,22,70,25,35703,3,33110,3,[]
242,5,64,35,39,9,36,49,67,44,33,73,42,92,5,55,43,70,31,61,33,35785,3,33161,3,[]
243,9,96,26,44,10,33,50,66,41,25,77,46,95,6,59,37,60,37,54,32,35993,3,33211,3,[]
244,26,94,17,43,15,34,48,59,28,22,88,55,79,13,59,37,59,37,54,32,36044,3,33262,3,[]
245,39,92,19,44,20,26,47,50,29,21,87,68,71,25,87,7,57,42,54,32,36253,3,33315,3,[]
246,51,89,31,43,20,22,49,50,6,95,83,79,63,35,73,17,60,39,54,32,36494,3,33367,3,[]
247,53,87,41,43,17,12,46,56,20,83,75,90,52,28,64,25,58,41,54,32,36757,3,33565,3,[]
248,52,88,46,45,13,12,43,59,29,71,79,88,44,24,54,21,60,35,50,26,36829,3,33856,3,[]
249,58,84,42,40,12,12,43,59,39,60,83,89,43,33,45,12,54,31,41,27,36941,3,34036,3,[]
250,54,90,42,44,2,96,4,95,43,48,82,88,49,32,46,7,59,35,48,19,37083,3,34304,3,[]
251,55,90,50,50,8,87,16,87,47,49,79,87,45,37,46,13,53,45,52,27,37308,3,34471,3,[]
252,65,91,44,52,21,75,26,76,42,52,84,88,49,41,33,16,50,47,59,35,37499,3,34543,3,[]
253,77,89,45,48,30,64,35,67,49,51,88,85,46,41,22,14,53,44,54,45,37609,3,34614,3,[]
254,77,90,43,47,31,51,43,56,44,48,88,84,46,40,21,12,51,41,54,44,37722,3,34750,3,[]
255,69,81,44,43,33,43,44,46,47,47,84,83,43,38,29,18,55,41,55,41,37834,3,34908,3,[]
256,60,72,43,36,40,41,54,45,47,39,89,76,49,35,40,25,59,36,58,40,37958,3,34960,3,[]
257,54,62,36,36,36,40,50,49,49,43,90,74,49,34,50,26,61,38,53,32,38066,3,35066,3,[]
258,48,60,37,36,22,38,48,47,53,46,95,4,46,35,58,35,69,39,44,33,38304,3,35155,3,[]
259,58,63,35,38,13,34,41,40,43,42,85,8,49,33,58,40,60,40,55,32,38382,3,35378,3,[]
260,61,74,35,39,9,31,33,44,35,38,73,21,48,34,59,37,60,36,57,40,38493,3,35606,3,[]
261,70,82,4,95,10,29,24,52,35,38,65,31,41,32,58,38,55,43,55,46,38692,3,35719,3,[]
262,80,85,20,83,16,40,27,59,7,88,55,42,44,39,49,47,51,48,47,50,38980,3,35821,3,[]
263,78,85,30,71,23,50,36,59,19,76,45,47,37,38,45,48,47,51,39,44,39032,3,35987,3,[]
264,87,76,40,61,31,55,40,58,30,66,42,46,31,42,35,41,38,43,33,38,39353,3,36073,3,[]
265,80,76,45,51,40,55,44,53,38,56,41,35,32,31,31,35,32,34,33,32,39405,3,36126,3,[]
266,70,68,43,41,42,45,45,47,34,47,42,32,31,31,32,34,29,32,33,32,39517,3,36193,3,[]
267,61,59,42,33,32,36,46,45,33,43,41,25,28,32,26,30,25,26,26,32,39597,3,36244,3,[]
268,55,49,52,35,32,37,54,42,38,36,51,21,23,28,29,19,37,23,23,27,39779,3,36295,3,[]
269,60,41,53,31,45,34,56,41,43,35,63,25,24,27,41,15,50,21,25,24,39956,3,36408,3,[]
270,51,41,40,30,49,33,50,41,51,27,65,34,28,22,45,14,63,25,28,23,40008,3,36482,3,[]
271,42,32,37,17,38,27,41,32,48,18,67,31,28,15,45,11,66,31,29,22,40058,3,36709,3,[]
272,34,23,35,16,29,21,33,23,45,16,66,39,32,16,39,11,64,31,29,22,40110,3,36759,3,[]
273,33,17,36,16,37,14,31,17,42,8,66,39,33,16,39,7,59,35,44,8,40632,3,36811,3,[]
274,36,17,44,23,36,16,34,17,38,11,56,40,34,17,49,9,50,33,53,7,40698,3,36862,3,['22:47 LNGAsura(虚空之女) 击杀了 DMOXiaopeng(德玛西亚皇子)']
275,27,23,38,31,26,25,25,25,29,19,50,45,34,17,46,13,50,45,53,7,40750,3,36999,3,[]
276,29,32,31,29,30,32,30,31,39,28,44,50,34,17,55,21,46,47,95,4,40831,3,37052,3,[]
277,30,33,33,32,32,33,30,32,42,32,41,45,34,17,53,31,44,43,76,13,40882,3,37103,3,[]
278,30,31,32,31,32,34,30,30,38,27,39,41,34,17,43,34,39,43,65,21,40930,3,37153,3,[]
279,33,31,31,30,33,36,31,31,41,34,35,42,34,17,40,37,39,41,56,30,42506,3,37201,3,[]
280,35,37,34,37,35,39,35,37,40,37,33,43,34,17,44,39,42,41,46,37,43032,3,37708,3,['23:17 LNG 击杀了大龙']
281,28,37,28,38,33,41,31,50,35,36,35,38,95,4,38,39,38,41,35,39,43083,3,37760,3,"['23:21 LNGAsura(虚空之女) 击杀了 DMOChanghong(狂暴之心)', '23:23 DMOMark(正义巨像) 击杀了 LNGDuan(牛头酋长)']"
282,21,45,22,46,37,50,32,63,35,36,35,38,82,13,32,44,32,44,34,48,43130,3,38686,3,['23:29 DMOTwila(时光守护者) 击杀了 LNGPlex(万花通灵)']
283,19,48,21,52,37,50,30,65,35,36,35,38,71,25,41,46,44,46,42,51,43291,3,38997,3,[]
284,22,54,17,45,37,50,17,86,35,36,35,38,63,35,43,53,43,54,45,55,43429,3,39054,3,[]
285,33,61,17,44,37,50,27,75,35,36,35,38,52,35,40,53,41,56,46,55,43613,3,39629,3,[]
286,41,67,7,92,37,50,36,65,35,36,35,38,53,34,44,44,43,55,53,56,43693,3,39731,4,['23:46 DMOGALA(战争女神) 击破了防御塔']
287,44,69,23,84,37,50,41,58,35,36,35,38,52,35,44,44,47,50,49,50,43870,3,39949,4,[]
288,49,78,36,77,37,50,41,58,9,93,35,38,47,27,95,4,49,41,59,42,43985,3,40001,4,[]
289,56,84,47,68,37,50,42,58,23,81,35,38,49,26,89,5,51,29,59,42,44105,3,40153,4,[]
290,62,83,59,67,37,50,43,57,33,69,95,4,39,23,69,7,51,27,95,4,44207,3,40210,4,[]
291,66,88,64,63,37,50,44,56,43,59,86,17,44,16,51,9,51,27,82,15,44298,3,40281,4,[]
292,73,89,71,63,15,90,51,50,56,55,74,28,46,15,39,9,88,15,72,24,44567,3,40497,4,[]
293,80,84,77,56,29,82,52,50,67,56,65,36,45,15,40,10,76,26,64,36,44710,3,40608,4,[]
294,87,76,80,55,38,73,55,53,70,48,62,36,49,18,28,9,66,35,62,35,45007,3,40701,4,[]
295,90,74,76,52,50,66,57,66,75,42,62,36,51,31,19,12,63,37,62,40,45170,3,40936,4,[]
296,90,76,77,52,59,59,55,75,67,46,63,38,50,40,18,13,61,38,59,38,45320,3,41315,4,[]
297,4,90,76,52,56,48,57,66,66,46,75,32,62,40,20,14,70,33,67,36,45473,3,41366,4,[]
298,5,72,84,51,56,43,67,62,66,46,87,38,68,36,20,14,69,34,72,34,45546,3,41417,4,[]
299,6,59,87,54,55,47,77,54,66,47,90,50,72,41,88,16,65,34,64,39,45667,3,41624,4,[]
300,7,47,88,56,57,49,83,51,76,47,92,44,74,41,80,33,62,38,65,39,45789,3,41915,4,[]
301,8,35,87,59,68,49,89,56,76,48,90,45,69,42,67,37,66,38,63,37,45891,3,41961,4,[]
302,8,27,80,65,67,53,86,63,71,52,88,49,66,52,67,47,68,49,60,49,45992,3,42013,4,[]
303,8,27,73,53,66,55,79,54,67,48,82,50,60,49,67,45,67,43,61,43,46064,3,42069,4,[]
304,85,50,85,50,66,59,77,52,68,56,90,47,59,47,66,40,63,40,59,45,46138,3,42115,4,[]
305,92,50,88,48,76,57,87,49,69,61,92,42,66,43,77,35,73,34,67,37,46313,3,42168,4,[]
306,92,47,83,49,75,52,88,49,78,54,93,42,69,48,88,40,87,38,78,36,46365,3,42277,4,[]
307,89,55,74,42,74,49,80,49,77,43,87,31,66,39,88,42,91,41,86,38,46516,3,42328,4,[]
308,88,53,73,42,61,50,70,48,75,47,87,31,72,34,89,43,82,36,81,38,46730,3,42439,4,[]
309,88,51,74,43,65,50,67,44,69,42,95,4,65,33,91,44,73,34,86,37,47330,3,42501,4,[]
310,89,48,72,44,67,41,66,50,69,47,81,6,63,36,89,37,62,36,78,35,47479,4,42685,4,['25:49 LNG 击破了防御塔']
311,87,49,72,42,66,51,59,44,65,46,66,7,65,30,90,38,68,31,78,35,47691,4,42778,4,[]
312,91,45,68,40,65,41,59,41,66,42,54,9,66,30,87,35,68,30,85,9,47742,4,42872,4,[]
313,91,42,67,36,62,36,65,37,69,39,47,16,69,32,83,31,67,30,75,22,47794,4,42922,4,[]
314,91,41,69,40,60,38,63,37,68,40,51,24,74,29,78,32,69,29,69,29,48396,5,43057,4,['26:9 LNGAsura(虚空之女) 击破了防御塔']
315,92,41,67,51,60,49,56,42,66,47,43,15,76,28,86,30,68,31,66,33,48530,5,43291,4,[]
316,92,40,68,67,66,61,58,42,66,47,36,15,95,4,87,29,71,27,71,33,48666,5,43483,4,[]
317,93,46,65,70,68,67,55,47,4,92,29,9,88,18,92,29,70,28,79,36,48850,5,43757,4,[]
318,93,49,65,69,68,67,53,52,19,81,27,11,89,33,90,28,70,29,80,40,49002,5,43949,4,[]
319,6,86,64,70,70,69,4,95,31,70,19,11,77,33,92,29,70,30,80,38,49053,5,44258,4,['26:31 LNG 击杀了风龙']
320,9,69,11,83,70,69,17,81,42,59,20,12,65,33,92,29,72,28,80,38,49104,5,44415,4,[]
321,9,55,17,68,10,83,27,70,53,49,10,14,53,33,93,7,72,28,84,7,49156,5,44497,4,[]
322,8,41,24,56,23,72,40,67,53,48,7,18,55,31,90,18,93,9,70,16,49306,5,44568,4,[]
323,9,41,22,54,34,62,51,64,39,52,7,18,51,31,89,37,80,22,59,24,49645,5,44744,4,[]
324,17,49,33,43,46,51,49,53,32,46,81,5,45,22,89,42,70,32,49,33,49943,5,44795,4,[]
325,22,50,44,36,43,44,47,45,42,39,71,14,43,16,89,49,60,38,59,36,50092,5,44985,4,[]
326,22,42,41,28,34,38,46,44,44,35,69,26,43,15,90,62,65,36,62,36,50144,5,45347,4,[]
327,21,28,45,23,34,38,42,43,45,23,69,40,46,13,92,62,66,30,63,32,50331,5,45446,4,[]
328,17,17,47,15,41,30,53,42,52,25,78,49,45,12,90,59,63,19,63,32,50589,5,45535,4,[]
329,32,11,48,18,48,21,57,39,46,15,83,61,49,12,83,51,62,21,60,24,50801,5,45673,4,[]
330,32,12,50,25,48,22,62,36,40,15,87,69,50,6,54,10,65,19,63,24,51014,5,45727,4,[]
331,38,14,51,22,45,14,53,27,50,18,83,81,50,6,49,7,70,27,68,28,51141,5,46085,4,[]
332,48,11,55,17,46,11,46,14,54,19,80,89,55,10,52,5,68,20,65,25,51191,5,46282,4,[]
333,49,11,57,21,49,11,50,6,50,17,69,90,56,9,55,6,60,12,63,15,51244,5,46498,4,[]
334,39,15,57,34,48,19,39,7,52,21,57,89,54,8,53,7,59,9,55,9,51296,5,46729,4,[]
335,39,15,50,48,42,25,38,9,44,23,52,91,57,17,56,11,58,11,59,12,51570,5,46824,4,[]
336,7,96,52,46,44,38,36,14,41,28,53,85,50,22,56,20,56,13,54,20,51753,5,47007,4,[]
337,26,93,54,53,47,42,26,23,40,41,57,83,52,26,66,27,48,5,58,29,51804,5,47188,4,[]
338,41,92,59,67,57,54,29,36,46,54,66,88,55,31,65,33,46,6,59,25,52003,5,47387,4,[]
339,53,91,76,78,67,65,42,45,56,67,78,85,55,31,66,28,48,9,59,25,52089,5,47570,4,[]
340,57,91,82,78,79,75,54,47,67,78,87,78,55,31,65,26,50,10,82,12,52750,5,47622,4,[]
341,64,90,89,79,84,78,56,47,79,75,91,77,93,8,66,28,38,11,76,25,52913,5,47674,4,['28:24 LNGPlex(万花通灵) 击杀了 DMOChanghong(狂暴之心)']
342,77,85,90,81,87,76,56,49,79,75,91,77,80,23,66,30,27,12,65,33,53109,5,47725,4,[]
343,86,79,3,94,79,75,44,51,4,91,91,77,70,32,60,37,29,11,62,36,53315,5,48082,4,[]
344,78,75,16,78,79,75,29,50,17,76,91,77,69,41,60,35,43,12,58,34,53367,5,48133,4,[]
345,77,75,28,66,6,89,21,48,29,65,91,77,70,39,60,35,46,14,59,35,53517,5,48218,4,[]
346,2,96,31,49,15,71,21,48,31,51,91,77,67,39,94,5,95,4,50,26,53567,5,48338,4,[]
347,6,91,39,36,18,59,2,96,36,38,91,77,57,35,83,12,82,15,39,23,53620,5,48393,4,[]
348,18,77,34,29,22,43,14,80,41,36,91,77,47,35,69,27,70,27,28,22,53698,5,48441,4,[]
349,29,67,41,29,22,30,26,69,43,36,91,77,50,32,61,36,58,33,30,18,53753,5,48497,4,[]
350,40,58,41,28,19,17,36,58,42,35,91,77,52,31,57,33,53,29,40,17,54072,5,48647,4,[]
351,48,49,41,32,19,19,33,47,46,39,95,8,54,31,56,33,59,36,42,19,54122,5,48724,4,[]
352,54,45,43,24,30,22,40,36,41,29,93,29,54,33,58,35,60,35,48,18,54245,5,48865,4,[]
353,53,46,44,23,31,17,41,32,47,23,92,41,54,32,57,31,56,31,53,21,54412,5,49059,4,[]
354,49,42,50,34,39,10,45,23,52,21,91,47,54,31,59,34,60,37,58,23,54647,5,49255,4,[]
355,47,35,48,31,39,14,48,23,51,24,89,59,56,30,58,33,61,36,60,24,54849,5,49458,4,[]
356,48,39,48,33,41,16,46,24,47,22,89,66,59,25,59,25,60,33,60,24,54995,5,49558,4,[]
357,56,41,51,32,45,15,46,23,42,32,89,69,55,21,57,20,63,36,82,11,55117,5,49623,4,[]
358,59,40,51,32,47,23,48,22,55,32,88,71,63,22,54,10,64,26,70,24,55220,5,49939,4,[]
359,53,41,33,30,41,34,41,31,49,33,88,71,64,26,55,9,66,32,64,31,55425,5,50050,4,[]
360,41,37,31,30,29,33,32,34,41,31,95,4,61,24,62,22,63,36,62,36,55477,5,50248,4,[]
361,31,34,31,30,30,33,32,34,41,32,95,4,56,30,56,30,59,39,58,41,55528,5,50401,4,[]
362,31,33,32,31,34,39,31,33,45,34,95,4,44,34,47,35,50,41,46,39,57104,5,50453,4,[]
363,37,36,34,39,38,42,35,38,42,37,21,28,44,34,46,36,45,39,42,36,57705,5,50503,4,['30:12 LNG 击杀了大龙']
364,42,35,41,45,44,46,38,42,41,40,30,37,45,46,48,41,45,34,44,34,57758,5,50555,4,['30:16 LNGFlandre(机械先驱) 击杀了 DMOMark(正义巨像)']
365,34,40,33,38,42,46,31,44,36,41,31,44,40,43,41,39,39,38,44,34,58241,5,51077,4,['30:25 LNGFlandre(机械先驱) 击杀了 DMOChanghong(狂暴之心)']
366,34,41,28,36,43,48,34,48,36,42,31,44,41,46,44,43,34,36,44,34,58313,5,51128,4,['30:26 DMOTwila(时光守护者) 击杀了 LNGDuan(牛头酋长)']
367,28,33,25,36,50,52,33,38,36,42,31,44,51,43,40,41,24,32,44,34,59030,5,51650,4,"['30:34 DMOGALA(战争女神) 击杀了 LNGSofM(虚空遁地兽)', '30:35 LNGFlandre(机械先驱) 击杀了 DMOGALA(战争女神)']"
368,25,27,25,36,56,41,44,34,36,42,31,44,45,35,49,34,24,32,44,34,59533,5,51701,4,['30:40 LNGAsura(虚空之女) 击杀了 DMOXiaopeng(德玛西亚皇子)']
369,19,16,25,36,54,30,47,34,36,42,31,44,45,35,52,25,24,32,44,34,59764,5,51751,4,[]
370,28,11,25,36,57,32,62,33,36,42,31,44,45,35,61,11,24,32,44,34,59993,5,51804,4,[]
371,37,9,25,36,69,29,71,31,36,42,31,44,45,35,71,6,24,32,44,34,60191,5,51852,4,[]
372,43,11,25,36,70,27,73,29,36,42,31,44,45,35,71,6,24,32,95,5,60544,6,51903,4,['31:0 LNGAsura(虚空之女) 击破了防御塔']
373,49,11,25,36,75,26,75,26,36,42,31,44,45,35,94,5,24,32,83,22,61202,6,51957,4,[]
374,49,10,25,36,66,38,68,35,8,95,31,44,45,35,84,20,24,32,81,21,61286,7,52257,4,['31:6 LNGFlandre(机械先驱) 击破了防御塔']
375,13,92,25,36,76,46,66,47,26,85,31,44,45,35,77,24,24,32,79,25,61338,7,52491,4,[]
376,31,89,25,36,76,55,2,96,38,75,89,5,45,35,67,29,24,32,69,33,61389,7,52542,4,[]
377,45,88,4,95,75,62,11,92,50,67,68,6,95,4,60,38,24,32,67,42,61540,7,52615,4,[]
378,57,85,19,78,73,65,27,82,58,68,56,8,82,19,57,41,85,18,75,43,61701,7,52833,4,[]
379,64,82,31,67,16,89,40,77,65,56,48,8,71,31,55,42,73,29,63,40,61764,7,52989,4,[]
380,73,73,43,56,32,80,47,74,66,51,39,9,69,41,63,41,68,39,58,38,61958,7,53061,4,[]
381,69,67,48,52,43,69,51,66,66,56,38,9,76,45,69,47,67,42,58,38,62246,7,53417,4,[]
382,71,67,46,45,55,62,55,55,64,57,36,16,77,51,82,49,67,36,91,12,62327,7,53604,4,[]
383,71,67,48,45,55,51,55,49,66,55,25,22,84,56,91,47,65,35,79,25,62442,7,53654,4,[]
384,71,68,65,50,61,50,57,46,66,47,14,21,79,52,91,45,67,33,74,32,62750,7,53966,4,['32:0 LNG 击杀了水龙']
385,73,68,77,47,74,49,66,38,71,39,9,24,87,49,89,40,71,29,72,28,62832,7,54129,4,[]
386,83,78,88,51,87,50,68,35,81,46,8,30,90,35,95,4,79,22,79,25,63015,7,54361,4,[]
387,88,67,82,46,90,59,73,33,78,34,8,30,92,25,91,12,80,25,81,29,63096,7,54427,4,[]
388,91,53,82,41,91,50,67,35,82,43,90,7,90,20,86,28,83,30,81,32,63474,7,54538,4,[]
389,93,47,82,43,91,46,61,40,81,43,79,22,95,6,90,33,89,34,81,34,63541,7,54590,4,[]
390,94,40,78,37,93,41,66,37,81,39,76,29,87,24,90,28,92,29,82,31,63592,7,54703,4,[]
391,93,40,76,35,89,39,73,33,80,36,76,25,85,29,88,28,89,32,81,29,63698,7,54841,4,[]
392,93,42,82,35,86,37,77,33,81,35,82,24,84,27,85,30,88,29,80,29,63831,7,54970,4,[]
393,90,36,81,35,89,39,73,32,81,37,78,24,83,25,88,30,89,29,84,29,63934,7,55125,4,[]
394,90,37,82,35,91,38,73,30,87,37,80,23,83,25,88,27,90,26,85,29,64150,7,55229,4,[]
395,93,35,84,34,92,37,73,32,87,37,87,26,86,27,93,27,89,28,85,27,64291,7,55364,4,[]
396,93,35,88,32,91,34,86,34,90,36,91,23,92,27,94,25,89,23,88,21,64343,7,55416,4,[]
397,93,32,88,35,91,34,89,33,92,31,88,25,84,24,93,25,89,20,94,17,64693,7,55468,4,[]
398,86,27,80,28,91,29,88,28,85,26,91,11,81,19,87,18,94,7,94,7,65082,8,55519,4,['33:6 LNGFlandre(机械先驱) 击破了防御塔']
399,83,25,78,22,86,27,87,27,85,25,90,14,83,17,89,17,82,16,91,18,65178,8,55660,4,[]
400,83,25,77,24,76,26,81,27,78,24,84,15,84,21,88,19,81,16,89,22,65409,8,55725,4,[]
401,85,26,79,27,76,27,81,26,82,24,90,19,88,15,89,18,83,18,91,20,65460,8,55868,4,[]
402,87,24,82,24,82,24,86,24,89,25,91,18,93,6,91,15,89,16,93,18,65511,8,56093,4,[]
403,92,25,83,28,74,28,80,24,87,26,92,17,89,15,91,14,88,17,93,18,65562,8,56249,4,[]
404,88,27,83,30,77,24,80,25,87,33,93,9,88,22,93,6,82,18,92,10,65678,8,56396,4,[]
405,89,33,80,38,70,32,70,30,81,40,92,10,83,24,91,12,81,17,91,11,65903,8,56608,4,[]
406,92,45,80,48,67,39,57,33,82,42,88,21,82,30,86,25,79,20,84,24,65985,8,56665,4,[]
407,93,52,80,48,67,39,46,35,79,49,89,27,80,37,75,28,71,30,70,29,66117,8,56832,4,[]
408,93,52,3,91,8,84,33,37,75,63,93,31,71,34,64,35,59,38,59,33,66168,8,57109,4,[]
409,9,83,17,82,23,71,21,44,75,63,91,34,68,31,56,33,60,36,47,33,66307,8,57270,4,[]
410,17,67,28,69,35,62,21,51,4,91,90,45,71,25,55,32,52,27,48,35,66391,8,57327,4,[]
411,16,53,39,58,43,57,22,57,19,75,93,49,58,23,60,36,50,24,51,26,66510,8,57509,4,[]
412,9,42,47,56,44,57,22,57,31,64,92,50,42,18,56,41,51,22,44,23,66730,8,57654,4,[]
413,5,39,46,64,47,53,7,93,31,54,93,48,43,16,54,43,94,4,44,23,66905,8,57886,4,[]
414,8,32,59,62,49,53,23,79,22,43,92,53,42,15,57,42,81,19,95,4,67074,8,58039,4,[]
415,13,22,70,64,44,51,32,67,26,36,93,55,47,16,59,39,70,31,78,17,67422,8,58238,4,[]
416,17,22,64,60,40,41,42,56,39,36,95,4,48,9,62,33,66,31,66,25,67564,8,58290,4,[]
417,17,22,54,50,40,36,50,48,44,36,88,8,64,12,72,40,63,18,62,12,67634,8,58447,4,[]
418,5,91,47,37,47,40,54,46,55,40,80,11,65,11,75,40,60,9,59,9,67821,8,58497,4,[]
419,16,70,41,32,51,42,54,45,56,41,69,20,66,19,75,40,52,8,64,11,68083,8,58699,4,[]
420,18,56,41,32,41,32,47,37,52,41,70,31,70,30,89,8,62,9,52,6,68236,8,58753,4,[]
421,22,44,45,23,41,26,41,35,41,31,71,30,68,29,81,31,69,20,67,13,68302,8,58958,4,[]
422,27,34,53,28,29,17,41,31,50,22,70,33,68,28,88,38,71,29,69,28,68515,8,59121,4,[]
423,41,38,52,32,35,12,51,42,54,30,82,36,65,38,88,37,75,20,72,31,68566,8,59323,4,[]
424,45,35,53,33,43,11,55,40,55,17,87,38,68,35,86,36,85,10,73,30,68722,8,59569,4,[]
425,41,35,52,35,44,13,54,41,52,20,87,38,69,21,78,30,86,5,94,4,68949,8,59620,4,[]
426,46,34,52,35,36,16,47,36,52,20,84,36,64,9,68,32,68,8,76,15,69001,8,59735,4,[]
427,48,25,54,33,35,24,54,32,13,81,80,35,58,8,70,29,63,10,68,13,69051,8,59822,4,[]
428,47,24,54,31,45,34,62,36,26,69,80,35,60,9,71,29,68,16,70,24,69132,8,60214,4,[]
429,51,21,53,27,53,27,61,37,38,59,84,19,61,9,73,29,72,26,69,27,69205,8,60264,4,[]
430,52,17,52,19,51,23,57,41,49,47,72,29,62,9,73,29,70,28,62,23,69550,8,60316,4,[]
431,57,14,52,20,51,25,54,41,57,41,70,33,69,22,91,5,69,27,65,31,69704,8,60367,4,[]
432,46,23,48,25,50,31,44,39,47,37,64,37,63,33,69,7,65,36,63,37,69756,8,60621,4,[]
433,43,34,55,32,55,31,54,42,56,40,62,40,63,36,80,10,65,37,62,36,69807,8,60764,4,[]
434,39,26,49,34,45,35,43,39,45,36,61,42,58,34,93,6,64,40,59,42,69858,8,60846,4,[]
435,34,31,34,31,33,35,31,33,41,32,52,47,56,33,91,8,56,43,50,42,69922,8,60900,4,[]
436,31,34,31,30,31,33,30,32,44,33,42,42,43,34,45,38,46,39,41,34,71497,8,60948,4,[]
437,32,32,32,31,34,35,31,31,42,33,44,37,31,32,46,34,45,33,44,33,71979,8,61002,4,['36:23 LNG 击杀了大龙']
438,31,36,35,30,34,42,31,37,32,35,43,43,31,32,39,38,43,35,43,38,72090,8,61107,4,['36:26 LNGAsura(虚空之女) 击杀了 DMOXiaopeng(德玛西亚皇子)']
439,29,35,46,32,40,51,42,45,31,38,41,45,31,32,46,41,51,34,52,41,72143,8,62380,4,[]
440,85,17,47,28,85,17,39,44,38,38,42,36,31,32,57,39,60,33,49,42,72737,9,62882,4,"['36:39 LNGFlandre(机械先驱) 击破了防御塔', '36:36 DMOChanghong(狂暴之心) 击杀了 LNGAsura(虚空之女)']"
441,87,14,58,33,84,15,39,44,35,42,36,36,31,32,72,28,76,24,49,42,72955,10,62935,4,"['36:43 LNGPlex(万花通灵) 击破了防御塔', '36:42 DMOChanghong(狂暴之心) 击杀了 LNGDuan(牛头酋长)']"
442,89,14,65,31,84,11,39,44,35,42,85,18,31,32,77,24,84,17,92,9,72991,10,62969,4,[]
443,89,14,65,31,84,11,39,44,35,42,85,18,31,32,77,24,84,17,92,9,72991,10,62969,4,['36:55 LNG 获胜']
