,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,2,95,94,5,95,5,95,2,97,3,93,4,0,0,0,0,[]
2,4,95,3,95,5,95,4,96,4,95,92,4,95,5,93,5,97,5,93,5,0,0,0,0,[]
3,4,95,3,95,5,95,5,96,5,96,92,4,93,5,92,5,97,5,93,5,0,0,0,0,[]
4,14,74,17,77,22,80,28,93,24,86,70,7,74,14,76,20,93,26,80,23,0,0,0,0,[]
5,18,51,32,61,36,62,50,89,41,71,47,11,56,29,62,38,81,43,66,40,0,0,0,0,[]
6,23,33,34,43,45,52,69,81,44,67,30,19,41,31,52,47,75,64,64,57,0,0,0,0,[]
7,19,26,38,39,42,57,65,79,42,58,30,19,41,30,53,47,75,69,64,57,0,0,0,0,[]
8,20,26,36,38,50,49,55,77,50,49,30,19,42,26,56,44,74,61,64,57,0,0,0,0,[]
9,20,27,34,39,45,52,52,76,43,54,30,18,46,23,58,37,74,62,64,57,0,0,0,0,[]
10,20,27,38,42,47,46,53,77,47,46,30,19,46,23,58,37,74,64,67,60,0,0,0,0,[]
11,20,27,38,38,45,40,53,77,45,40,30,19,53,21,92,6,74,64,71,62,0,0,0,0,[]
12,19,26,41,34,41,37,52,76,40,43,30,19,61,24,84,13,75,63,79,63,0,0,0,0,[]
13,19,24,32,39,44,48,52,76,43,52,30,19,66,33,76,20,76,63,82,66,0,0,0,0,[]
14,19,24,24,40,49,47,55,76,39,62,30,19,67,44,69,29,74,64,85,66,0,0,0,0,[]
15,19,23,23,45,47,50,49,74,49,74,30,19,78,51,60,39,84,66,89,67,0,0,0,0,[]
16,10,21,22,47,48,50,51,84,51,84,30,19,76,52,54,47,89,72,90,74,0,0,0,0,[]
17,12,13,22,47,50,49,58,90,58,90,31,20,75,52,54,48,90,81,89,80,0,0,0,0,[]
18,12,13,22,47,45,52,66,90,66,90,26,15,75,52,53,48,83,89,83,89,0,0,0,0,[]
19,12,13,17,45,49,53,76,87,76,89,20,15,76,52,51,46,83,89,87,80,0,0,0,0,[]
20,14,15,20,47,44,53,80,84,84,87,17,14,76,52,50,49,87,83,85,82,0,0,0,0,[]
21,12,14,26,46,45,50,80,89,83,87,19,13,76,52,51,49,85,81,82,81,0,0,0,0,[]
22,14,16,24,40,46,50,80,87,84,88,19,12,78,53,50,50,85,80,88,82,0,0,0,0,[]
23,15,14,26,37,42,55,81,84,81,84,17,12,83,56,48,50,86,83,87,86,0,0,0,0,[]
24,14,11,34,29,43,53,76,89,76,89,19,12,83,57,49,51,82,85,84,85,0,0,0,0,[]
25,17,10,44,24,45,54,76,90,80,91,22,11,79,51,49,49,83,84,79,80,0,0,0,0,[]
26,16,10,43,24,42,55,78,90,81,90,23,12,74,44,49,51,82,84,83,83,0,0,0,0,[]
27,19,11,41,24,46,52,75,89,74,89,24,12,72,44,50,50,81,86,82,88,0,0,0,0,[]
28,17,14,33,32,47,54,73,88,73,88,23,11,72,42,53,45,80,88,81,85,0,0,0,0,[]
29,18,10,31,42,46,53,71,91,73,89,23,11,68,40,53,43,80,86,80,89,0,0,0,0,[]
30,19,11,28,52,47,48,72,91,72,91,23,8,58,34,54,46,75,87,79,83,0,0,0,0,[]
31,18,12,27,60,45,45,70,92,70,92,24,10,52,33,54,47,77,87,77,78,0,0,0,0,[]
32,18,14,29,59,46,49,72,89,72,87,23,10,52,33,54,48,79,87,78,83,0,0,0,0,[]
33,19,13,35,62,50,46,72,90,74,92,24,10,53,33,57,45,78,89,80,88,0,0,0,0,[]
34,18,11,43,68,47,49,71,90,71,90,25,9,49,23,54,46,78,87,79,89,0,0,0,0,[]
35,20,19,45,72,47,50,71,91,71,91,24,9,44,16,53,46,77,85,77,91,0,0,0,0,[]
36,18,15,46,71,52,47,70,89,72,93,24,11,43,18,56,45,78,88,79,87,0,0,0,0,[]
37,21,10,46,73,47,49,71,90,75,92,25,9,41,16,55,44,82,85,84,83,0,0,0,0,[]
38,19,10,51,65,49,48,74,89,75,89,24,9,41,16,57,46,81,87,81,90,0,0,0,0,[]
39,21,9,49,58,48,48,72,89,72,89,26,10,35,16,55,46,80,88,81,91,0,0,0,0,[]
40,22,10,45,51,47,48,72,89,72,89,27,8,36,15,57,41,80,88,82,90,0,0,0,0,[]
41,23,10,38,43,50,46,73,89,72,89,27,10,95,4,57,43,80,87,81,87,0,0,0,0,[]
42,19,17,30,37,49,48,77,89,77,89,27,9,91,13,56,44,84,87,82,86,0,0,0,0,[]
43,14,15,25,35,48,47,74,88,74,88,26,9,86,23,55,46,81,87,82,88,0,0,0,0,[]
44,17,9,28,36,49,47,78,86,78,89,26,16,81,33,56,45,83,84,82,84,0,0,0,0,[]
45,17,9,31,44,49,48,80,89,85,86,21,13,80,45,57,46,82,81,86,82,0,0,0,0,[]
46,22,12,31,54,49,47,77,90,77,90,24,8,76,55,56,45,82,82,85,85,0,0,0,0,[]
47,17,14,36,63,44,52,79,87,79,87,22,9,72,63,55,44,84,84,85,85,0,0,0,0,[]
48,19,14,46,67,49,49,76,88,76,88,22,10,65,63,55,46,85,84,83,89,0,0,0,0,[]
49,19,14,46,68,46,49,79,86,77,87,23,10,60,62,55,48,86,80,88,84,0,0,0,0,[]
50,17,17,48,66,47,51,78,86,73,84,20,10,57,69,55,48,84,81,84,84,0,0,0,0,[]
51,20,13,51,66,48,49,81,88,80,86,24,9,57,68,54,49,83,80,84,83,0,0,0,0,[]
52,21,12,54,68,47,53,78,87,78,87,29,6,55,67,55,50,83,81,88,85,0,0,0,0,"['4:20 SNWeiwei(狂战士) 击杀了 DMOXiaopeng(永猎双子),获得一血']"
53,16,14,54,68,46,52,78,86,78,86,29,6,57,66,54,47,83,81,86,84,0,0,0,0,[]
54,15,15,54,68,44,51,77,89,77,89,95,4,49,58,51,51,83,83,85,83,0,0,0,0,[]
55,16,13,12,95,42,54,75,90,75,90,27,9,51,54,49,48,79,87,80,87,0,0,0,0,[]
56,17,15,22,93,44,54,74,91,74,91,22,10,62,58,54,50,80,86,78,85,0,0,0,0,[]
57,18,9,33,92,45,50,77,90,77,90,23,14,72,63,62,42,80,85,77,80,0,0,0,0,[]
58,15,13,45,91,38,56,74,91,74,91,21,13,81,56,62,42,79,85,78,82,0,0,0,0,[]
59,19,14,55,85,38,56,69,91,70,91,21,11,83,56,95,4,76,86,80,88,0,0,0,0,[]
60,17,10,57,84,2,96,67,92,68,88,22,10,81,55,89,7,75,90,75,89,0,0,0,0,[]
61,18,13,54,83,49,48,71,91,71,91,22,10,75,45,87,8,77,89,77,91,0,0,0,0,[]
62,15,16,50,79,50,48,75,88,76,92,20,12,72,43,57,45,81,87,82,87,0,0,0,0,[]
63,21,11,56,75,44,51,76,87,76,87,22,9,72,42,51,49,83,88,82,90,0,0,0,0,[]
64,16,13,56,67,48,53,76,86,76,86,22,11,62,36,52,47,82,84,87,85,0,0,0,0,[]
65,18,12,56,65,48,54,76,87,76,87,25,10,53,33,51,45,83,85,87,85,0,0,0,0,[]
66,14,17,55,58,50,53,79,84,79,84,29,9,52,35,52,47,88,80,95,6,0,0,0,0,[]
67,20,19,49,61,49,53,81,85,81,81,24,11,53,35,53,47,87,74,93,11,0,0,0,0,[]
68,17,14,57,60,51,51,79,84,80,83,23,10,60,36,53,45,87,66,90,18,0,0,0,0,[]
69,17,15,53,64,47,49,79,84,82,80,21,9,66,44,53,46,87,66,84,27,0,0,0,0,[]
70,16,14,42,67,45,49,81,83,86,82,22,11,66,56,55,47,95,4,81,38,0,0,0,0,[]
71,18,13,34,61,45,53,80,83,87,84,26,12,65,61,54,51,91,69,79,49,0,0,0,0,[]
72,23,13,24,57,42,54,81,81,88,84,27,15,62,61,49,51,90,74,77,60,0,0,0,0,[]
73,22,12,22,52,41,54,84,82,83,82,25,10,62,61,49,53,91,73,81,68,0,0,0,0,[]
74,18,12,22,45,43,53,85,84,81,83,24,9,90,4,51,52,88,74,89,70,0,0,0,0,[]
75,21,13,24,35,44,53,80,91,80,84,25,8,78,6,50,48,85,77,89,80,0,0,0,0,[]
76,19,12,26,24,39,58,78,91,82,89,24,10,67,7,46,41,86,77,89,81,0,0,0,0,[]
77,21,10,35,16,43,52,2,96,2,96,28,9,55,8,41,32,89,78,89,81,0,0,0,0,[]
78,25,11,32,11,43,45,7,96,6,94,29,8,44,9,37,18,89,78,89,81,0,0,0,0,[]
79,25,13,25,16,48,51,69,92,69,92,27,9,33,11,25,14,88,76,89,81,0,0,0,0,['6:33 SNBiubiu(狂暴之心) 击杀了 DMOChanghong(机械公敌)']
80,25,13,28,16,48,50,75,87,75,87,23,13,27,16,31,21,87,77,89,81,0,0,0,0,['6:38 SNMaple(沙漠皇帝) 击杀了 DMOXiaopeng(永猎双子)']
81,25,13,28,16,54,46,81,80,81,80,17,14,20,15,42,23,89,79,89,81,0,0,0,0,[]
82,2,96,2,96,56,43,81,82,81,82,21,10,23,26,52,27,87,79,87,84,0,0,0,0,[]
83,8,29,5,86,56,44,81,82,82,84,21,10,30,35,59,36,87,80,87,83,0,0,0,0,[]
84,12,22,11,77,52,48,83,79,83,79,91,5,28,37,54,43,90,80,90,83,0,0,0,0,[]
85,19,13,17,67,50,51,81,84,79,81,86,5,25,35,54,44,86,79,87,82,0,0,0,0,[]
86,21,11,18,56,50,48,80,85,81,82,72,6,24,30,55,43,88,83,84,79,0,0,0,0,[]
87,20,12,20,47,49,51,81,86,81,86,61,6,29,20,55,46,86,81,84,80,0,0,0,0,[]
88,19,17,18,48,51,46,80,88,80,88,47,8,39,17,57,41,83,81,84,81,0,0,0,0,[]
89,25,24,17,44,53,46,76,87,76,87,36,9,43,17,59,41,83,84,86,81,0,0,0,0,[]
90,34,22,16,37,49,48,74,90,74,90,29,10,42,17,56,46,78,76,78,74,0,0,0,0,[]
91,28,20,17,44,47,49,77,90,73,87,27,8,45,16,55,47,74,71,71,66,0,0,0,0,[]
92,27,20,21,53,48,48,77,88,73,87,27,10,46,24,55,46,77,76,68,62,0,0,0,0,[]
93,24,22,29,60,47,46,77,88,71,85,25,11,46,26,57,41,82,85,74,70,0,0,0,0,[]
94,19,14,39,65,53,45,77,86,69,79,25,11,46,24,59,41,82,83,81,78,0,0,0,0,[]
95,20,13,49,66,48,49,78,88,78,88,25,9,46,24,56,45,82,84,83,84,0,0,0,0,[]
96,18,13,48,66,48,49,81,86,81,86,23,9,95,7,55,48,85,81,87,81,0,0,0,0,[]
97,20,12,50,65,48,47,85,83,85,83,24,10,90,17,57,46,88,76,88,77,0,0,0,0,[]
98,16,13,57,69,46,50,81,86,81,86,23,11,84,27,53,46,84,83,86,82,0,0,0,0,[]
99,18,12,54,76,45,51,81,85,81,85,25,13,80,38,53,47,87,78,88,83,0,0,0,0,[]
100,18,16,56,75,48,48,88,84,88,84,26,9,79,49,58,45,86,77,90,76,0,0,0,0,[]
101,17,9,65,77,51,46,83,81,83,81,26,8,73,53,59,44,87,75,89,72,0,0,0,0,[]
102,16,10,70,75,50,49,79,76,77,73,26,11,72,53,59,48,88,69,89,67,0,0,0,0,[]
103,15,10,74,67,50,50,83,80,74,69,22,12,77,53,68,50,89,76,87,66,0,0,0,0,[]
104,17,10,73,63,55,49,80,84,75,69,20,14,81,55,61,41,87,81,87,66,0,0,0,0,[]
105,19,14,75,69,53,50,81,84,79,78,21,10,84,57,57,41,86,80,88,77,0,0,0,0,[]
106,15,17,73,75,54,58,81,81,81,81,23,12,83,64,57,45,88,76,91,76,0,0,0,0,[]
107,15,15,66,82,51,55,82,81,82,81,24,12,81,65,51,47,87,78,89,78,0,0,0,0,[]
108,16,14,59,84,47,54,87,75,87,75,21,10,79,64,50,47,93,70,93,69,0,0,0,0,[]
109,20,10,60,84,46,50,88,77,88,77,27,8,83,66,51,46,91,71,90,65,0,0,0,0,[]
110,22,10,60,82,44,52,88,77,86,77,26,7,76,62,49,48,90,65,87,65,0,0,0,0,[]
111,21,10,65,82,44,52,88,74,86,75,27,9,85,66,52,47,92,65,90,66,0,0,0,0,[]
112,23,10,70,79,36,60,89,73,88,73,30,8,84,66,50,49,93,64,88,65,0,0,0,0,[]
113,16,12,71,70,43,58,89,74,88,73,26,7,77,62,44,42,91,68,91,67,0,0,0,0,[]
114,20,9,73,68,47,54,88,73,86,75,27,9,75,60,48,46,93,63,91,64,0,0,0,0,[]
115,21,11,72,68,46,52,87,76,79,74,32,9,77,48,51,46,93,62,91,61,0,0,0,0,[]
116,16,14,71,66,47,51,83,80,73,67,27,12,72,44,52,46,94,6,93,57,0,0,0,0,[]
117,15,17,69,66,51,62,78,75,73,68,22,12,69,41,50,47,94,9,93,57,0,0,0,0,[]
118,12,15,69,66,50,65,75,73,74,69,23,11,59,35,47,56,94,17,93,8,0,0,0,0,[]
119,17,9,70,65,50,65,75,73,75,73,30,9,53,34,50,53,93,28,90,14,0,0,0,0,['9:55 DMO 击杀了土龙']
120,17,9,67,64,6,94,5,93,2,96,27,10,47,36,50,48,92,39,85,25,0,0,0,0,[]
121,2,96,70,67,9,92,4,88,3,92,26,14,37,40,48,49,91,50,88,36,0,0,0,0,[]
122,11,93,70,67,17,82,5,77,8,85,23,14,31,34,50,45,89,60,89,48,0,0,0,0,[]
123,22,88,5,89,25,75,7,67,15,78,15,16,25,26,50,44,88,71,89,61,0,0,0,0,[]
124,35,89,11,78,33,67,8,56,18,67,18,15,32,18,95,4,85,80,87,72,0,0,0,0,[]
125,49,90,16,68,39,59,8,44,16,68,22,12,41,18,90,8,86,83,81,77,0,0,0,0,[]
126,62,89,22,58,45,53,8,34,22,58,22,12,42,18,77,19,87,85,80,77,0,0,0,0,[]
127,70,89,24,52,46,51,9,28,24,52,91,6,42,17,70,28,80,87,80,84,0,0,0,0,[]
128,72,88,32,50,45,46,11,23,32,50,76,10,37,17,63,36,77,86,78,81,0,0,0,0,[]
129,69,92,34,39,39,40,12,23,34,39,64,10,33,21,58,41,72,88,73,88,0,0,0,0,[]
130,66,93,30,33,41,36,13,21,41,36,59,9,40,29,56,46,66,88,66,89,0,0,0,0,[]
131,75,93,33,31,44,46,19,23,36,36,76,91,48,24,54,50,69,89,68,91,0,0,0,0,[]
132,72,93,29,33,46,50,21,22,32,35,75,90,56,32,54,48,73,87,71,85,0,0,0,0,['10:58 DMOChanghong(机械公敌) 击杀了 SNSwordArt(光辉女郎)']
133,70,94,26,34,45,49,22,12,26,33,77,89,63,40,53,48,75,87,71,85,0,0,0,0,['11:1 SNSmlz(皮城女警) 击杀了 DMOChanghong(机械公敌)']
134,70,94,27,33,41,44,19,9,20,27,73,86,61,49,51,51,73,87,71,85,0,0,0,0,[]
135,70,94,29,34,33,39,24,8,19,17,71,91,66,55,55,58,71,89,95,4,0,0,0,0,[]
136,70,94,23,26,41,45,25,8,25,10,71,91,58,63,55,58,70,89,91,6,0,0,0,0,[]
137,70,94,20,15,46,48,25,9,26,10,71,91,48,65,53,51,71,90,82,13,0,0,0,0,[]
138,70,94,22,13,44,48,24,10,26,13,74,91,47,65,52,51,73,90,74,23,0,0,0,0,[]
139,10,95,27,16,43,52,23,11,30,20,79,89,50,62,53,49,78,88,66,32,0,0,0,0,[]
140,23,93,34,16,40,54,27,10,34,16,76,88,47,54,50,51,75,87,58,42,0,1,0,0,"['11:36 DMO 击破了防御塔,获得一塔']"
141,36,92,36,24,37,58,27,11,41,18,79,90,45,58,45,57,72,88,51,52,0,1,0,0,[]
142,49,91,41,29,36,58,38,10,36,17,79,90,44,57,44,58,70,88,56,61,0,1,0,0,[]
143,57,85,48,22,40,55,44,9,32,20,90,4,53,64,50,53,69,89,57,68,0,1,0,0,[]
144,69,85,46,13,41,54,49,8,42,23,74,6,58,74,50,52,69,91,59,76,0,1,0,1,['11:58 SN 击破了防御塔']
145,71,90,51,11,42,56,50,8,47,17,61,9,61,86,51,54,69,89,66,83,0,1,0,1,[]
146,71,86,58,11,46,50,56,8,58,11,65,8,70,87,59,60,66,88,70,81,0,2,0,1,"['12:6 DMO 击破了防御塔', '12:9 SNSmlz(皮城女警) 击杀了 DMOChanghong(机械公敌)']"
147,71,86,66,10,41,39,66,7,66,10,71,11,68,80,59,60,70,88,70,80,0,2,0,1,[]
148,71,86,64,8,42,39,65,7,64,8,68,11,68,80,90,4,70,88,94,4,0,2,0,1,[]
149,71,86,55,12,46,49,57,8,55,12,66,8,95,4,82,9,94,5,79,7,0,2,0,1,[]
150,71,86,45,13,46,49,46,9,47,7,63,8,90,15,72,23,93,9,73,18,0,2,0,1,[]
151,71,86,41,23,45,49,41,10,46,6,66,7,81,24,66,33,87,17,68,28,0,2,0,1,[]
152,5,96,31,32,40,51,41,10,2,96,60,8,69,26,57,41,77,25,64,33,0,2,0,1,[]
153,15,90,24,40,40,51,8,96,6,95,53,9,57,22,54,44,69,35,62,24,0,2,0,1,[]
154,17,76,18,44,5,94,19,95,15,90,47,9,51,22,51,50,73,42,55,21,0,2,0,1,[]
155,17,63,20,45,12,81,31,94,25,85,45,7,46,24,53,49,71,41,50,24,0,2,0,1,[]
156,20,49,19,47,19,71,43,93,34,79,41,15,47,26,51,51,68,40,52,29,0,2,0,1,[]
157,22,40,18,50,31,66,54,91,46,79,29,19,53,33,52,53,67,46,56,32,0,2,0,1,[]
158,20,27,20,51,40,57,60,89,51,75,21,12,57,33,58,62,66,59,58,41,0,2,0,1,[]
159,19,15,20,51,38,52,66,89,52,77,21,10,67,42,57,73,70,65,63,52,0,2,0,1,[]
160,16,16,20,51,31,49,65,91,50,83,30,11,66,55,61,76,69,66,61,59,0,2,0,1,[]
161,12,19,26,60,37,50,65,92,53,87,40,16,57,64,69,83,58,61,55,57,0,2,0,1,[]
162,10,25,33,61,45,50,55,88,52,85,48,16,55,75,72,88,51,54,54,52,0,2,0,1,[]
163,10,27,41,68,39,58,50,78,52,77,48,20,57,73,72,88,51,51,52,52,0,2,0,1,[]
164,10,23,44,69,41,57,51,78,51,74,41,30,56,66,71,85,52,54,56,63,0,2,0,1,[]
165,10,22,44,69,40,66,52,88,44,69,35,38,51,67,62,84,49,51,56,67,0,2,0,1,[]
166,14,15,6,93,38,59,51,91,44,67,43,45,51,60,60,83,49,51,54,57,0,2,0,1,[]
167,25,11,11,86,37,57,52,91,38,64,45,49,54,65,64,83,46,51,51,56,0,2,0,1,[]
168,32,8,20,77,40,57,49,79,40,57,44,50,47,58,69,82,44,51,49,54,0,2,0,1,[]
169,39,9,29,68,38,59,48,68,38,59,40,52,46,56,74,87,42,53,43,55,0,2,0,1,[]
170,49,10,39,61,36,58,44,68,36,58,47,49,46,56,72,85,43,53,46,54,0,2,0,1,[]
171,47,11,41,61,40,69,44,69,41,61,56,40,57,56,73,74,52,51,54,53,0,2,0,1,[]
172,45,13,48,67,46,81,39,60,48,67,59,29,68,62,74,61,56,43,58,46,0,2,0,1,[]
173,2,96,55,68,50,89,43,54,51,63,58,16,78,56,75,58,54,47,56,50,0,2,0,1,[]
174,13,90,59,62,56,85,47,52,59,62,55,9,82,57,74,61,53,43,64,53,0,2,0,1,[]
175,22,81,56,63,65,82,45,56,56,63,62,13,76,57,64,61,53,46,65,57,0,2,0,1,[]
176,31,71,52,65,74,86,42,58,52,65,60,12,79,56,66,64,60,44,64,53,0,2,0,1,[]
177,39,62,46,67,75,88,42,58,44,67,56,13,82,56,74,69,58,45,64,53,0,2,0,1,[]
178,49,59,52,64,74,88,3,96,44,67,44,11,75,59,82,79,55,50,92,9,0,2,0,1,[]
179,51,59,53,64,69,89,3,96,3,96,51,24,66,59,86,79,51,50,83,20,0,2,0,1,[]
180,51,60,51,59,69,89,46,55,46,55,47,36,64,57,86,76,50,48,72,31,0,2,0,1,[]
181,48,53,53,61,6,95,51,54,50,51,48,42,64,57,78,73,55,46,62,42,0,2,0,1,[]
182,56,55,57,58,80,85,60,58,60,58,53,50,66,58,70,64,56,49,61,52,0,2,0,1,[]
183,56,57,56,59,75,76,55,62,55,62,56,57,58,56,61,60,54,52,56,50,0,2,0,1,[]
184,57,60,57,60,67,66,51,64,51,62,58,62,58,63,51,60,56,56,60,58,0,2,0,1,"['15:18 SNMaple(沙漠皇帝) 击杀了 DMOXiaopeng(永猎双子)', '15:18 SNBiubiu(狂暴之心) 击杀了 DMOChanghong(机械公敌)']"
185,57,60,57,60,54,64,47,59,44,58,49,65,47,59,51,60,56,58,57,63,0,2,0,1,"['15:21 DMOGALA(战争女神) 击杀了 SNMaple(沙漠皇帝)', '15:22 SNSmlz(皮城女警) 击杀了 DMOGALA(战争女神)']"
186,57,60,57,60,44,69,47,59,40,59,40,71,48,55,51,60,51,65,53,67,0,2,0,1,[]
187,57,60,57,60,41,67,47,59,41,67,37,75,50,51,51,60,50,60,52,66,0,2,0,1,['15:31 DMOTwila(万花通灵) 击杀了 SNBiubiu(狂暴之心)']
188,57,60,57,60,37,58,47,59,37,58,37,75,57,58,51,60,44,54,46,58,0,2,0,1,[]
189,57,60,57,60,36,61,47,59,36,61,37,75,63,62,51,60,42,54,43,57,0,2,0,1,[]
