,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
221,51,43,18,88,48,47,15,88,8,93,35,61,32,39,55,45,66,88,40,58,30083,2,34140,2,[]
222,3,96,31,81,48,47,24,80,19,84,47,55,34,39,93,4,95,4,48,52,30134,2,34191,2,[]
223,17,95,43,78,4,92,32,70,29,73,56,55,95,4,78,6,89,7,48,52,30269,2,34243,2,[]
224,31,93,53,84,11,78,33,65,36,62,56,55,89,7,65,8,78,14,91,6,30341,2,34294,2,[]
225,43,92,60,84,17,65,43,69,47,59,94,7,74,16,52,9,66,20,87,7,30423,2,34346,2,[]
226,57,91,48,75,19,51,49,68,57,64,93,7,63,23,39,10,55,24,73,14,30578,2,34421,2,[]
227,60,90,45,66,20,38,52,62,58,69,93,16,54,32,28,10,53,29,61,25,30743,2,34685,2,[]
228,66,83,46,64,29,38,48,52,55,58,92,29,51,35,25,11,59,35,47,32,31137,2,34898,2,[]
229,77,86,51,62,32,41,45,55,50,55,91,43,45,38,21,21,56,42,40,37,31281,2,35054,2,[]
230,82,84,40,59,21,38,40,56,37,50,89,56,39,28,16,16,58,38,45,33,31375,2,35190,2,[]
231,76,79,26,56,11,32,41,57,33,47,86,65,43,17,25,13,53,33,60,35,31558,2,35390,2,[]
232,77,79,23,56,10,27,42,58,38,48,91,72,43,18,34,22,58,39,66,41,31693,2,35698,2,[]
233,79,85,29,59,18,34,42,56,39,49,86,66,48,20,41,33,53,43,60,43,31744,2,35759,2,[]
234,77,78,41,66,15,40,47,54,40,50,83,58,41,28,42,42,50,46,49,43,31984,2,35873,2,[]
235,83,81,53,67,15,41,45,55,39,49,85,64,40,40,41,42,50,46,49,47,32139,2,36137,2,[]
236,83,80,43,58,22,53,38,58,39,53,87,68,32,45,33,37,50,44,44,39,32289,2,36280,2,[]
237,80,77,39,55,30,56,36,58,36,57,87,79,38,49,32,43,40,41,37,42,32342,2,36559,2,[]
238,71,70,43,54,38,60,42,58,39,54,79,75,42,45,36,42,44,48,37,43,32395,2,36640,2,[]
239,62,63,52,61,45,66,40,62,39,64,75,68,45,52,37,42,48,50,42,46,32447,2,36797,2,[]
240,51,63,47,64,42,64,38,61,45,62,73,52,36,50,28,33,43,48,35,42,32603,2,36848,2,[]
241,58,70,55,58,47,73,37,65,45,62,78,52,24,42,19,23,34,39,22,38,32658,2,37161,2,[]
242,66,79,65,57,60,77,38,63,2,96,77,48,24,38,17,15,34,39,23,34,32709,2,37293,2,[]
243,75,87,65,56,62,76,38,63,17,85,75,44,24,38,17,10,95,4,22,30,32823,2,37428,2,[]
244,79,81,64,57,50,79,37,61,28,74,81,56,91,11,17,10,82,15,22,30,32975,2,37480,2,[]
245,73,72,64,57,53,84,43,57,36,63,87,68,81,26,90,13,72,25,85,20,33077,2,37559,2,[]
246,76,61,64,57,51,84,49,52,43,59,84,65,73,40,79,23,63,35,72,30,33315,2,37612,2,[]
247,76,71,10,92,51,84,50,60,56,61,77,65,65,50,70,33,57,43,66,44,33366,2,37860,2,[]
248,82,81,27,82,51,84,50,65,53,64,74,63,61,51,66,44,59,45,66,50,33591,2,37941,2,[]
249,82,85,38,73,11,91,50,65,57,73,75,71,58,63,64,57,55,51,63,59,33643,2,37993,2,[]
250,71,87,35,61,25,81,13,89,46,71,80,75,64,64,56,59,58,60,56,63,33694,2,38134,2,[]
251,67,88,32,49,27,69,24,79,35,62,88,78,64,70,63,60,68,65,66,66,33750,2,38360,2,[]
252,67,88,38,38,18,58,31,69,31,49,86,77,66,70,66,47,69,67,62,71,33801,2,38456,2,[]
253,9,96,41,28,23,44,31,58,37,37,79,88,66,68,61,37,66,65,65,64,33882,2,38670,2,['21:4 EDG 击杀了土龙']
254,25,94,46,23,19,33,31,50,41,30,67,84,58,59,54,32,57,56,55,56,33971,2,38730,2,[]
255,40,93,43,24,21,26,31,58,43,24,56,82,50,49,48,34,47,55,48,49,34039,2,38819,2,[]
256,47,90,43,24,30,37,31,58,44,23,46,79,42,45,50,39,42,57,43,46,34198,2,38953,2,[]
257,44,88,41,29,26,37,30,64,41,32,36,76,45,51,47,50,45,55,45,51,34248,2,39148,2,[]
258,35,83,41,30,25,37,27,67,41,32,36,76,39,54,40,55,40,62,43,51,34321,2,39199,2,[]
259,30,80,41,39,20,48,27,72,35,39,40,73,34,66,33,62,37,66,37,62,34371,2,39294,2,[]
260,30,69,44,45,26,59,29,68,31,52,44,67,35,64,35,59,39,65,39,61,34627,2,39946,3,['21:39 EDGiBoy(逆羽) 击破了防御塔']
261,31,63,36,42,28,58,29,66,22,51,47,64,41,55,45,51,48,66,44,51,34681,2,40061,3,[]
262,31,55,29,36,31,56,32,60,22,51,43,68,43,42,48,41,47,57,45,45,34889,2,40157,3,[]
263,36,63,25,26,35,59,34,62,6,92,43,68,40,30,51,32,47,53,48,50,34940,2,40321,3,[]
264,43,68,29,21,24,56,37,62,21,82,89,16,43,18,51,33,55,47,52,45,35082,2,40504,3,[]
265,43,68,30,22,22,43,29,65,29,71,89,31,43,17,48,31,55,47,52,45,35148,2,40616,3,[]
266,6,95,20,29,24,28,23,65,20,63,89,44,43,18,48,21,94,4,88,8,35202,2,40698,3,[]
267,18,82,15,40,27,15,18,55,20,49,88,57,43,18,40,15,81,16,80,11,35382,2,40751,3,[]
268,27,73,16,36,30,15,20,52,25,36,87,71,95,4,41,22,70,26,66,19,35533,2,40845,3,[]
269,35,63,26,25,31,20,22,45,35,39,85,81,85,7,43,10,60,35,58,32,35584,2,41036,3,[]
270,45,54,39,23,33,23,28,37,38,37,75,88,69,16,49,16,55,46,59,42,35744,2,41193,3,[]
271,47,50,41,26,34,22,39,40,45,42,73,88,59,27,60,24,55,47,62,40,35826,2,41398,3,[]
272,46,44,34,40,25,16,43,43,45,42,67,79,50,35,53,32,56,46,54,32,35919,2,41493,3,[]
273,47,40,44,39,27,17,41,39,45,42,58,73,47,39,51,35,52,42,51,35,36015,2,41687,3,[]
274,34,42,34,39,37,26,33,43,34,43,44,43,46,40,49,46,50,46,44,37,36095,2,41789,3,[]
275,32,44,34,39,39,36,31,56,31,50,44,43,46,50,46,50,45,49,42,38,36148,2,41906,3,[]
276,35,43,33,39,30,36,31,55,33,47,40,37,41,44,43,44,44,44,44,37,36201,2,41972,3,[]
277,33,43,31,52,23,41,34,62,31,57,40,44,44,51,41,45,44,49,41,42,36344,2,42024,3,[]
278,24,50,32,52,23,47,34,61,32,60,32,45,36,48,33,42,37,43,34,42,36435,2,42147,3,[]
279,24,50,31,49,24,47,32,59,31,56,40,44,43,39,37,36,41,36,35,37,36487,2,42203,3,[]
280,24,50,33,47,23,47,41,67,31,51,42,46,43,39,41,28,47,39,41,41,36603,2,42310,3,[]
281,23,94,29,51,23,45,45,71,31,52,48,46,94,4,41,28,50,49,45,40,36858,2,42544,3,[]
282,39,93,30,58,23,51,40,66,31,52,47,41,75,20,50,21,51,49,49,43,36976,2,42614,3,[]
283,52,92,32,53,24,51,34,60,11,91,41,31,68,33,51,20,66,50,94,4,37189,2,42699,3,[]
284,55,84,32,46,2,96,31,60,24,78,32,21,74,43,44,16,78,54,78,12,37341,2,42881,3,[]
285,59,83,30,34,10,80,31,60,30,65,29,9,70,41,44,16,76,46,66,22,37482,2,43162,3,[]
286,61,87,26,36,10,63,9,92,31,52,35,13,59,41,88,17,66,41,61,36,37619,2,43214,3,[]
287,62,91,22,48,10,49,22,81,35,47,32,21,45,40,76,27,55,46,51,41,37762,2,43371,3,[]
288,64,83,32,58,10,35,30,72,31,51,35,24,40,34,67,36,50,45,46,39,37855,2,43424,3,[]
289,75,87,31,51,10,25,35,61,32,57,23,25,37,39,66,48,49,33,37,26,38144,2,43476,3,[]
290,81,85,32,45,11,18,31,51,32,46,15,22,29,34,66,55,50,25,22,24,38330,2,43669,3,[]
291,84,79,31,37,10,15,31,40,28,35,9,16,21,28,11,18,39,25,15,18,38413,2,44260,3,[]
292,91,70,34,41,10,15,34,47,34,42,9,25,29,32,18,23,41,33,22,24,38466,2,44313,3,['24:16 EDGJinoo(刀锋舞者) 击杀了 JDGYagao(未来守护者)']
293,91,68,36,49,10,15,36,49,34,47,8,31,32,44,26,33,34,42,30,37,38559,2,45018,4,['24:25 EDGJinoo(刀锋舞者) 击破了防御塔']
294,92,66,38,51,10,15,47,52,44,53,9,36,34,39,35,38,33,37,30,36,39348,3,45205,4,['24:29 JDGZoom(解脱者) 击破了防御塔']
295,89,68,41,51,10,15,46,50,47,48,18,44,32,31,41,32,30,32,35,36,39399,3,45256,4,[]
296,89,68,42,42,10,15,44,43,46,35,23,48,34,31,41,32,30,32,34,32,39511,3,45308,4,[]
297,2,96,43,40,10,15,43,42,45,38,26,37,43,38,46,37,38,38,32,33,39585,3,45829,4,[]
298,44,51,49,50,10,15,48,47,45,38,32,46,39,38,42,41,40,41,36,39,39651,3,45900,4,['24:46 EDGScout(离群之刺) 击杀了 JDGLvMao(末日使者)']
299,31,49,42,51,10,15,39,44,45,38,27,49,33,32,33,39,32,34,30,34,39702,3,46012,4,[]
300,30,44,42,36,2,96,40,38,45,38,24,38,32,33,36,40,32,36,33,37,39753,3,46063,4,[]
301,37,48,47,40,51,47,46,49,45,38,36,38,42,38,41,39,40,42,41,41,39806,3,46197,4,[]
302,44,50,50,45,54,45,56,46,45,38,47,36,41,31,45,33,45,35,48,34,39920,3,46369,4,[]
303,54,45,57,47,60,49,56,55,45,38,61,33,43,24,54,30,54,31,55,32,39970,3,46461,4,[]
304,58,44,67,47,71,50,65,63,45,38,58,35,43,24,44,23,54,31,55,32,40063,3,46512,4,[]
305,56,43,77,49,78,52,72,65,16,90,58,35,86,8,42,18,91,7,90,6,40535,3,46664,4,[]
306,57,49,73,58,76,56,68,63,28,80,59,39,71,18,47,17,78,18,78,17,40587,3,46911,4,[]
307,50,51,58,63,81,66,54,61,33,67,57,39,60,26,51,29,69,28,67,29,40640,3,46962,4,[]
308,46,51,46,64,88,65,49,58,40,57,57,39,48,34,43,38,60,38,56,41,40812,3,47025,4,[]
309,36,49,47,65,86,76,41,57,32,47,91,6,35,39,40,42,54,43,45,46,40945,3,47077,4,[]
310,33,47,51,64,75,73,33,59,32,52,79,18,34,42,38,41,46,51,36,42,40997,3,47181,4,[]
311,39,53,46,58,64,63,38,58,31,47,70,25,40,43,47,49,47,47,46,45,41101,3,47278,4,[]
312,40,56,52,61,54,62,40,58,31,50,67,36,49,52,48,54,46,50,52,52,41329,3,47447,4,[]
313,44,58,58,61,56,67,39,60,32,59,69,48,55,52,58,50,55,50,62,52,41396,3,47500,4,[]
314,46,55,61,63,59,66,46,67,44,67,67,53,66,54,71,50,61,52,68,51,41507,3,47573,4,[]
315,53,63,57,63,57,65,55,68,57,69,62,59,66,64,74,61,66,59,65,63,41559,3,47629,4,[]
316,57,64,57,56,58,68,59,68,57,63,64,57,69,63,78,71,67,63,70,64,41641,3,47681,4,[]
317,63,63,62,61,69,78,59,67,60,59,64,57,71,66,72,71,73,66,72,64,41784,3,47732,4,[]
318,62,60,62,63,70,77,59,62,58,63,67,61,68,69,73,67,71,66,70,65,41836,3,47928,4,['26:30 EDG 击杀了火龙']
319,59,57,63,58,60,73,56,59,56,55,67,52,74,56,77,55,75,56,75,57,42049,3,47982,4,[]
320,51,48,62,51,56,61,49,50,51,51,64,41,75,44,75,44,78,51,76,52,42102,3,48219,4,[]
321,47,37,50,43,51,48,41,41,39,43,58,41,67,39,63,38,71,41,76,52,42152,3,48403,4,[]
322,40,34,38,38,40,40,32,37,33,39,49,46,56,42,56,45,59,41,83,9,42236,3,48454,4,[]
323,38,41,34,39,32,40,28,38,34,38,51,47,49,52,50,52,52,48,71,23,42291,3,48701,4,[]
324,40,44,34,39,31,51,31,48,34,38,47,42,44,53,49,52,48,50,61,34,42358,3,48749,4,[]
325,31,47,3,94,31,59,19,50,3,96,45,40,43,44,47,47,45,50,50,45,42607,3,48803,4,[]
326,27,59,14,73,35,62,10,43,17,83,34,36,31,37,43,45,38,40,35,41,42889,3,48853,4,[]
327,31,56,18,59,40,58,7,42,29,69,33,32,28,32,42,42,33,38,29,36,43071,3,48925,4,[]
328,28,52,22,46,37,57,10,48,32,55,32,36,32,34,37,38,36,37,35,38,43127,3,48981,4,[]
329,20,46,24,43,37,57,20,50,31,52,41,45,32,43,38,41,34,39,31,40,43211,3,49112,4,[]
330,22,41,24,40,37,57,20,50,32,53,46,53,32,37,34,42,31,35,35,39,43369,3,49281,4,[]
331,22,39,19,35,37,60,20,49,20,49,41,52,29,39,32,44,30,38,30,40,43484,3,49393,4,[]
332,24,45,24,36,37,60,23,52,23,48,36,49,33,42,36,43,33,42,37,43,43647,3,49474,4,[]
333,23,43,15,35,28,59,17,50,20,49,26,51,26,37,26,47,27,37,30,49,43700,3,49527,4,[]
334,13,48,14,36,27,59,10,52,10,49,19,48,24,39,22,46,20,44,25,50,43752,3,49616,4,[]
335,22,50,17,34,39,55,12,49,16,51,25,37,28,33,29,38,23,41,30,39,43824,3,49682,4,[]
336,32,50,15,40,49,54,22,56,29,52,29,37,32,38,40,44,29,39,35,39,43948,3,49860,4,[]
337,37,50,22,48,54,55,33,61,33,49,40,45,42,46,52,53,40,44,48,48,43999,3,49995,4,[]
338,36,58,36,59,58,66,43,68,32,49,44,57,47,55,53,63,44,53,48,55,44083,3,50157,4,[]
339,41,68,41,66,56,83,48,76,33,62,46,55,43,48,56,75,51,62,49,58,44135,3,50212,4,[]
340,37,64,35,58,48,88,47,79,39,61,41,45,34,38,57,62,46,52,43,47,44186,3,50284,4,[]
341,37,64,39,54,48,88,43,69,42,59,32,35,32,32,50,52,41,42,32,37,44260,3,50406,4,[]
342,6,88,32,48,3,94,41,59,42,56,34,31,32,31,47,50,35,36,31,33,44416,3,50561,4,[]
343,15,72,23,40,13,77,37,56,35,49,32,30,33,31,40,41,30,33,29,36,44558,3,50656,4,[]
344,18,59,24,36,17,63,31,53,31,44,30,32,32,31,33,37,30,33,26,32,44639,3,52253,4,['28:40 EDG 击杀了大龙']
345,24,51,24,46,20,50,31,55,31,52,25,25,45,35,45,35,41,35,26,24,44789,3,52355,4,[]
346,29,46,28,57,24,51,38,64,31,52,27,21,54,32,52,35,41,32,29,22,44843,3,52467,4,[]
347,40,51,45,64,34,59,46,67,2,96,90,8,95,4,95,4,88,8,89,7,45027,3,52519,4,[]
348,48,50,47,73,45,53,47,76,14,89,92,26,90,8,83,8,75,21,74,22,45354,3,52571,4,[]
349,50,58,54,84,49,59,47,79,30,81,87,35,72,19,66,10,66,32,64,34,45476,3,52702,4,[]
350,57,67,56,84,57,69,2,96,43,78,89,48,59,23,54,9,62,36,60,34,45577,3,52871,4,[]
351,50,66,57,82,67,78,17,86,47,73,87,61,50,31,42,15,55,31,51,26,45669,3,53122,4,[]
352,39,64,55,80,68,78,27,76,40,70,80,66,59,34,38,15,56,33,57,33,45720,3,53264,4,[]
353,42,57,43,69,2,96,30,69,39,66,87,69,70,41,30,8,58,40,59,40,45773,3,53466,4,[]
354,45,54,43,68,10,84,37,66,42,67,85,66,71,41,29,10,58,42,58,40,45847,3,53609,4,[]
355,45,54,3,95,18,68,34,65,31,68,71,67,65,50,31,20,55,46,56,45,45898,3,53793,4,[]
356,43,55,17,86,18,54,31,66,31,69,68,67,65,56,31,23,55,53,55,50,46009,3,53844,4,[]
357,36,61,31,80,24,55,31,66,34,74,57,64,55,58,21,14,48,55,49,53,46129,3,54038,4,[]
358,36,60,41,70,21,54,32,64,38,76,50,60,44,48,20,17,44,53,50,50,46182,3,54270,4,[]
359,32,63,45,62,31,59,33,65,32,70,39,52,34,43,10,18,40,54,39,42,46235,3,54337,4,[]
360,38,61,41,66,39,61,34,64,24,65,37,50,29,44,8,30,32,46,32,43,46481,3,54500,4,[]
361,34,63,27,66,30,66,31,66,17,64,40,54,23,50,11,33,23,51,24,50,46532,3,54676,4,[]
362,22,65,13,63,19,61,18,65,13,62,41,55,15,44,10,39,18,46,16,49,46584,3,54814,4,[]
363,10,61,10,56,11,59,8,59,6,56,37,57,12,49,5,49,12,49,10,48,46672,3,54929,4,[]
364,6,56,10,56,5,56,7,57,6,58,34,65,15,51,4,46,9,46,7,46,46962,3,55157,4,[]
365,9,57,10,53,7,58,7,57,11,63,27,66,18,47,4,46,10,45,9,43,47013,3,55405,4,[]
366,17,66,11,56,14,63,6,59,11,68,24,65,21,52,4,46,11,46,8,42,47062,3,55456,4,[]
367,27,70,19,62,26,70,10,67,11,68,30,63,19,51,4,46,11,44,9,27,47113,3,55507,4,[]
368,28,67,14,63,30,70,11,68,18,85,35,61,19,51,4,46,11,44,9,31,47360,3,55559,4,[]
369,25,66,12,62,26,68,7,61,22,71,35,61,17,56,5,52,8,50,9,46,47434,3,56264,4,[]
370,13,63,10,65,15,68,6,67,14,68,29,69,9,56,7,58,8,55,10,53,47502,3,56622,5,['30:47 EDGiBoy(逆羽) 击破了防御塔']
371,19,69,12,65,17,70,9,68,18,68,32,71,11,51,7,51,12,49,15,50,47717,3,56717,5,[]
372,26,71,13,64,27,69,17,74,24,68,33,74,24,57,45,89,23,55,26,60,47767,3,56859,5,[]
373,27,70,24,71,27,70,26,70,23,67,41,77,37,62,46,91,33,59,30,56,47942,3,57556,6,['31:5 EDG 击破了防御塔']
374,28,83,32,78,29,68,25,81,29,80,52,77,40,52,53,93,40,55,92,8,48144,3,57614,6,[]
375,36,89,40,72,18,64,21,88,39,76,93,9,90,13,53,94,95,4,77,25,48216,3,57667,6,[]
376,42,92,34,65,7,55,8,93,53,77,84,26,81,30,81,16,81,13,66,38,48594,3,57718,6,[]
377,41,87,25,65,7,50,11,91,50,83,80,39,80,45,79,29,70,25,67,53,48676,3,57770,6,[]
378,41,87,27,66,14,48,23,78,50,89,77,51,75,54,80,42,60,33,60,63,48757,3,57851,6,[]
379,6,95,41,67,19,51,29,69,49,88,72,63,72,63,76,55,51,33,59,59,48843,3,58085,6,[]
380,18,85,45,67,19,47,32,67,5,95,67,69,67,69,78,56,39,37,66,65,49006,3,58265,6,[]
381,30,86,34,63,5,45,30,66,21,80,77,73,66,70,82,56,47,40,67,66,49057,3,58555,6,[]
382,44,88,46,66,5,44,32,66,34,75,75,88,67,70,76,49,56,47,67,66,49109,3,58825,6,[]
383,52,90,50,81,5,44,33,79,44,81,68,91,72,71,66,53,52,49,75,75,49160,3,59163,6,['31:52 EDG 击杀了土龙']
384,52,94,52,85,12,91,40,89,47,93,65,91,68,82,67,65,55,57,67,84,49305,3,59318,6,[]
385,52,94,52,88,31,89,47,91,50,94,53,89,57,84,61,75,57,68,57,85,49398,3,59436,6,[]
386,50,93,48,90,40,89,48,93,48,92,57,89,53,87,48,78,51,78,60,89,49508,3,59487,6,[]
387,42,94,40,90,36,89,39,94,38,94,48,90,47,93,39,84,41,86,49,90,49711,3,59581,6,[]
388,49,91,43,89,43,88,41,92,42,94,48,91,51,91,50,88,50,89,50,91,49827,3,59705,6,[]
389,47,91,45,89,44,89,45,94,46,94,52,93,55,92,51,89,53,91,57,90,49901,3,59881,6,[]
390,38,89,41,83,38,88,37,91,37,94,42,91,43,92,44,94,48,88,44,91,49952,3,59934,6,[]
391,31,91,40,77,45,90,44,93,42,94,51,93,56,86,57,94,52,84,55,91,50064,3,59986,6,[]
392,31,91,36,63,51,92,47,92,50,90,63,92,64,83,69,92,65,82,70,89,50269,3,60037,6,[]
393,3,96,32,63,47,91,51,92,42,82,72,91,79,74,81,90,73,73,76,86,50514,3,60087,6,[]
394,8,78,25,56,42,81,39,91,44,82,72,91,75,69,81,90,74,72,76,86,50697,3,60136,6,[]
395,10,61,23,55,32,70,26,89,40,86,69,91,77,55,86,6,95,4,90,6,50779,3,60267,6,[]
396,10,48,17,46,38,76,13,93,40,86,65,92,73,43,68,8,89,7,69,16,50829,3,60536,6,[]
397,10,34,18,45,46,82,3,96,13,89,69,92,73,44,55,9,76,20,56,22,50966,3,60587,6,[]
398,11,20,24,38,53,92,18,85,26,76,69,92,73,44,44,15,67,31,41,27,51088,3,60669,6,[]
399,10,21,22,38,50,92,28,74,20,64,91,9,85,10,37,16,57,41,36,39,51309,3,60791,6,[]
400,11,34,14,49,51,93,29,66,19,60,74,16,66,21,35,12,50,46,28,36,51472,3,60935,6,[]
401,21,36,11,51,50,89,32,65,30,68,63,23,55,30,26,11,47,51,40,43,51523,3,61251,6,[]
402,21,48,2,96,50,89,35,63,45,68,57,32,42,36,20,14,42,46,34,39,51679,3,61302,6,[]
403,26,59,11,84,6,86,30,64,39,70,53,41,32,41,14,15,33,36,27,31,51849,3,61569,6,[]
404,33,66,22,72,16,69,25,66,42,67,48,46,20,44,17,23,23,34,26,36,51902,3,61626,6,[]
405,36,63,32,63,18,56,33,65,40,65,44,49,23,43,23,35,24,37,22,42,51955,3,61678,6,[]
406,39,58,31,57,18,57,37,64,39,63,42,45,20,51,24,44,23,42,21,45,52026,3,61831,6,[]
407,46,54,32,53,25,65,42,58,46,59,44,44,23,44,19,44,23,40,23,41,52170,3,61882,6,[]
408,50,51,44,53,37,59,49,58,56,62,44,37,34,38,13,43,35,37,23,37,52237,3,61934,6,[]
409,54,45,49,48,46,53,47,69,55,52,56,33,49,34,13,43,47,33,95,4,52290,3,62203,6,[]
410,51,42,39,43,44,46,45,71,46,48,61,37,55,32,82,13,54,30,77,12,52453,3,62345,6,[]
411,43,39,32,33,32,45,43,68,33,40,58,39,52,32,75,27,56,33,68,27,52651,3,62418,6,[]
412,33,40,24,38,21,50,33,60,25,36,53,47,52,32,66,36,52,26,58,39,52769,3,62568,6,[]
413,33,49,21,48,7,52,25,51,20,46,54,57,94,4,57,45,48,33,46,36,52915,3,62652,6,[]
414,40,54,24,44,8,53,27,52,18,57,47,53,71,15,49,50,46,41,38,38,53121,3,62883,6,[]
415,38,57,26,52,14,50,31,54,18,57,39,51,59,24,44,48,45,44,42,45,53244,3,62959,6,[]
416,39,59,31,52,26,47,38,59,11,92,41,45,47,33,46,52,43,51,46,49,53423,3,63013,6,[]
417,31,55,21,50,25,47,27,59,27,75,38,39,34,38,45,46,43,43,39,40,53473,3,63071,6,[]
418,28,50,19,37,22,47,20,49,31,63,33,36,31,34,42,36,34,36,41,37,53528,3,63127,6,[]
419,20,47,22,41,17,49,23,55,35,61,34,39,42,41,40,30,44,39,46,39,53580,3,63215,6,[]
420,29,52,23,44,24,48,34,59,36,59,34,39,35,42,43,43,49,49,45,46,53635,3,63427,6,[]
421,31,57,30,50,21,48,38,59,38,61,31,44,38,50,43,51,45,54,42,51,53860,3,63516,6,[]
422,34,61,27,59,21,48,30,63,34,65,31,49,31,49,34,48,36,48,36,49,53911,3,63567,6,[]
423,39,59,31,59,17,53,37,60,41,61,31,37,32,38,36,39,33,38,32,37,54024,3,63635,6,[]
424,38,51,23,47,22,44,31,54,36,50,34,31,32,31,41,33,31,33,30,32,54076,3,63686,6,[]
425,32,45,24,37,24,41,30,46,31,46,32,38,32,33,41,36,31,32,27,31,54130,3,65262,6,['35:24 EDG 击杀了大龙']
426,38,55,30,53,21,51,34,59,31,53,38,49,31,49,41,45,39,43,34,42,54181,3,65388,6,[]
427,37,61,26,59,10,49,35,63,37,64,45,51,45,55,47,53,46,52,40,44,54485,3,65550,6,[]
428,36,62,22,53,10,54,34,64,42,77,51,62,49,66,45,66,41,61,40,56,54629,3,65613,6,[]
429,37,59,24,56,16,63,36,63,35,74,43,68,47,71,48,77,47,59,47,58,54784,3,65664,6,[]
430,40,67,38,65,29,70,33,73,38,76,42,68,40,66,48,83,44,58,43,59,54838,3,66381,6,['35:50 EDGJinoo(刀锋舞者) 击杀了 JDGZoom(解脱者)']
431,40,67,37,76,36,82,33,75,34,77,35,63,40,66,44,81,38,64,41,59,54889,3,66496,6,[]
432,40,67,36,77,35,84,28,77,36,86,39,58,32,61,49,90,31,60,34,60,54961,3,66721,6,[]
433,40,67,41,86,39,92,34,84,41,91,30,66,28,72,42,94,28,70,29,69,55948,3,66928,6,[]
434,40,67,34,84,40,89,29,83,33,92,22,76,21,76,44,94,24,76,23,73,56034,3,67422,7,"['36:9 EDGiBoy(逆羽) 击破了防御塔', '36:7 JDGLvMao(末日使者) 击杀了 EDGScout(离群之刺)']"
435,40,67,24,76,32,81,21,81,20,93,12,72,14,73,44,94,16,71,15,70,56238,3,67600,7,[]
436,40,67,19,73,20,72,11,76,5,94,8,69,8,70,44,94,7,67,10,67,56303,3,68040,7,[]
437,40,67,13,74,13,77,12,78,5,81,7,74,8,72,44,94,4,77,6,70,56417,3,68630,8,['36:21 EDGiBoy(逆羽) 击破了防御塔']
438,40,67,17,85,13,87,13,87,9,85,12,82,13,82,44,94,8,85,8,80,56491,3,70178,8,['36:27 EDGiBoy(逆羽) 击杀了 JDGLvMao(末日使者)']
439,40,67,14,91,12,88,13,87,9,85,15,90,14,89,44,94,10,91,10,86,56543,3,70852,8,"['36:31 EDGMeiko(光辉女郎) 击杀了 JDGimp(战争女神)', '36:32 EDGJinoo(刀锋舞者) 击杀了 JDGYagao(未来守护者)', '36:33 EDGJinoo(刀锋舞者) 击杀了 JDGFlawless(虚空遁地兽)']"
440,40,67,14,91,12,88,13,87,9,85,12,86,13,90,44,94,12,88,11,86,56595,3,70994,10,"['36:36 EDGMeiko(光辉女郎) 击破了防御塔', '36:38 EDGiBoy(逆羽) 击破了防御塔']"
441,40,67,14,91,12,88,13,87,9,85,13,89,13,90,44,94,12,88,11,86,56604,3,71003,10,[]
442,40,67,14,91,12,88,13,87,9,85,13,89,13,90,44,94,12,88,11,86,56604,3,71003,10,['36:50 EDG 获胜']
