,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
212,9,26,67,79,58,71,47,69,55,64,37,17,74,70,88,67,54,45,67,62,0,1,0,3,[]
213,11,25,68,82,68,78,44,73,63,76,35,16,74,76,89,71,60,38,73,71,0,1,0,3,[]
214,11,31,62,76,74,87,46,67,54,67,33,16,71,64,88,66,61,38,73,62,0,1,0,3,[]
215,15,40,55,66,82,83,51,64,50,58,20,12,64,53,78,65,94,4,73,62,0,1,0,3,[]
216,18,44,57,70,79,86,48,54,45,51,18,12,62,51,68,63,85,11,90,12,0,1,0,3,[]
217,22,47,55,82,81,85,46,48,44,46,14,16,55,48,75,58,76,20,79,22,0,1,0,3,[]
218,12,47,55,82,80,85,51,53,48,50,14,17,59,45,76,46,68,31,69,32,0,1,0,3,[]
219,9,35,56,82,74,87,54,55,49,54,23,22,61,50,76,46,61,41,66,46,0,1,0,3,[]
220,9,31,53,84,74,87,42,55,38,51,35,24,64,60,77,53,55,45,64,59,0,1,0,3,[]
221,9,25,46,74,4,95,45,56,35,39,44,34,78,63,88,53,52,46,66,54,0,1,0,3,[]
222,11,14,36,63,13,89,44,55,35,36,50,45,70,62,88,55,49,48,58,50,0,1,0,3,[]
223,19,12,26,59,23,79,42,57,34,38,56,55,58,63,81,66,54,53,55,55,0,1,0,3,[]
224,17,12,23,56,30,69,36,50,2,96,64,63,63,69,79,74,62,62,56,56,0,1,0,3,[]
225,22,12,26,51,31,58,36,41,10,85,64,64,68,67,86,77,51,55,45,54,0,1,0,3,[]
226,25,9,34,41,32,49,41,31,21,74,67,66,67,69,76,73,48,52,52,55,0,1,0,3,[]
227,27,10,41,28,39,53,46,24,33,64,72,71,71,69,70,80,48,54,56,67,0,1,0,3,['18:53 FPX »÷É±ÁË·çÁú']
228,31,9,44,23,45,53,46,23,41,55,71,85,68,82,70,90,54,48,57,76,0,1,0,3,[]
229,27,10,46,23,43,44,42,16,44,43,71,91,66,78,70,91,53,48,57,66,0,1,0,3,[]
230,27,10,43,24,42,44,32,9,32,44,74,92,66,78,68,92,42,57,49,55,0,1,0,3,[]
231,28,11,43,24,44,48,30,10,32,56,74,92,90,6,68,92,40,66,39,61,0,2,0,3,['19:15 RNGLangx(¿ñ±©Ö®ÐÄ) »÷ÆÆÁË·ÀÓùËþ']
232,38,14,10,94,43,56,27,13,39,62,86,5,81,19,55,91,48,67,46,67,0,2,0,4,['19:16 FPX »÷ÆÆÁË·ÀÓùËþ']
233,38,14,6,96,39,62,27,13,28,73,71,6,71,31,51,91,59,59,56,58,0,2,0,4,[]
234,4,96,20,93,32,72,11,91,34,84,56,7,59,38,53,88,51,49,50,50,0,2,0,4,[]
235,12,91,29,84,41,77,20,83,42,77,49,11,49,40,61,85,56,49,51,50,0,2,0,4,[]
236,24,87,38,74,52,85,28,73,49,75,40,6,43,33,61,85,55,44,52,50,0,2,0,4,[]
237,28,74,45,68,57,92,31,64,47,68,30,8,39,33,92,6,53,47,93,4,0,2,0,4,[]
238,32,61,56,67,58,92,36,62,51,63,25,8,34,39,81,12,51,47,81,14,0,2,0,4,[]
239,30,60,46,63,57,91,41,60,51,63,25,9,34,38,70,24,47,51,71,26,0,2,0,4,[]
240,29,66,31,57,51,84,42,58,4,93,25,9,37,37,60,33,49,43,57,34,0,2,0,4,[]
241,30,63,23,50,51,76,37,59,14,80,93,14,43,35,47,34,49,35,47,33,0,2,0,4,[]
242,15,63,32,53,45,71,32,60,25,70,84,27,33,36,33,38,52,33,41,41,0,2,0,4,[]
243,11,54,24,50,36,63,22,54,31,57,71,34,23,40,22,28,52,33,31,38,0,2,0,4,[]
244,18,48,22,46,30,53,21,47,20,49,57,42,24,39,24,39,95,4,26,35,0,2,0,4,[]
245,11,43,20,49,31,56,22,54,24,46,54,53,30,35,33,41,48,49,39,43,0,2,0,4,[]
246,9,39,22,46,38,61,32,60,19,44,69,61,29,34,25,36,46,48,31,38,0,2,0,4,[]
247,16,49,20,49,45,67,38,60,24,43,75,56,36,37,17,23,49,50,40,44,0,2,0,4,[]
248,30,55,32,52,46,65,43,56,25,50,76,59,28,32,12,22,48,48,42,45,0,2,0,4,[]
249,38,63,36,48,52,61,37,58,34,48,76,68,34,38,21,23,51,45,42,39,0,2,0,4,[]
250,31,60,35,47,57,54,41,54,37,49,82,80,33,38,27,35,43,39,38,39,0,2,0,4,[]
251,31,51,40,50,54,52,49,51,40,50,79,86,31,40,21,40,52,42,44,39,0,2,0,4,[]
252,39,51,45,49,57,48,56,49,51,49,75,89,47,40,34,38,57,42,54,42,0,2,0,4,[]
253,31,59,38,50,53,60,45,55,40,51,78,83,41,39,30,38,61,41,54,43,0,2,0,4,[]
254,21,54,30,45,47,70,38,48,33,47,67,78,41,42,15,38,71,39,43,38,0,2,0,4,[]
255,18,46,25,50,50,82,31,52,32,51,66,83,41,33,14,42,62,41,36,39,0,2,0,4,[]
256,9,53,22,54,48,89,31,58,32,51,60,85,38,37,23,29,50,46,39,42,0,2,0,4,[]
257,7,56,25,51,54,86,37,60,6,90,61,88,41,39,19,35,46,51,44,51,0,2,0,4,[]
258,6,55,32,53,57,83,40,58,19,76,61,90,32,44,21,44,42,52,42,51,0,2,0,4,[]
259,9,62,25,57,54,90,35,61,31,65,65,90,31,51,22,47,47,56,33,47,0,2,0,4,[]
260,16,64,26,56,53,87,31,63,36,58,66,88,34,39,15,37,49,47,33,43,0,2,0,4,[]
261,7,58,26,56,60,92,31,63,33,59,64,83,34,39,9,30,51,45,33,43,0,2,0,4,[]
262,6,50,26,56,57,93,9,85,31,52,70,85,89,6,19,22,51,46,84,9,0,2,0,4,[]
263,6,48,5,90,56,93,21,75,35,61,64,91,84,8,32,18,48,50,73,23,0,2,0,4,[]
264,5,46,18,77,51,94,31,68,37,61,68,90,70,16,39,17,56,45,62,36,0,2,0,4,[]
265,5,47,28,67,51,94,37,61,35,59,66,91,59,27,39,16,56,45,50,47,0,2,0,4,[]
266,5,47,31,54,4,94,31,55,31,51,71,92,46,32,40,16,93,5,47,40,0,2,0,4,[]
267,8,96,39,49,7,89,34,46,33,44,71,92,44,38,29,23,83,12,41,39,0,2,0,4,[]
268,28,95,36,49,13,78,35,48,36,48,88,19,47,40,19,33,72,24,38,39,0,2,0,4,[]
269,42,94,36,49,10,66,32,49,36,47,81,34,48,42,8,40,62,33,45,39,0,2,0,4,[]
270,56,91,29,45,11,54,34,59,25,50,80,50,44,39,10,40,54,45,44,39,0,2,0,4,[]
271,62,85,19,36,9,47,41,57,21,40,78,55,37,39,11,32,47,47,36,40,0,2,0,4,[]
272,71,86,22,48,11,47,38,59,23,48,77,56,25,37,12,32,35,42,31,50,0,2,0,4,[]
273,74,89,21,52,11,47,32,56,22,52,76,68,27,37,25,36,32,45,34,49,0,2,0,4,[]
274,64,88,24,55,9,45,39,65,23,55,80,82,41,36,28,38,44,45,33,41,0,2,0,4,[]
275,69,84,24,50,19,50,46,73,23,55,83,86,49,35,95,4,48,50,35,37,0,2,0,4,[]
276,79,88,22,50,21,50,39,67,9,91,84,80,46,35,75,6,48,40,95,4,0,2,0,4,[]
277,72,88,25,43,21,45,35,61,22,79,81,82,34,37,61,12,37,37,80,13,0,2,0,4,[]
278,71,87,22,38,22,39,27,52,30,66,83,82,35,37,48,21,39,37,65,21,0,2,0,4,[]
279,70,82,28,36,29,36,32,59,34,59,76,72,41,37,40,31,49,43,53,31,0,2,0,4,[]
280,61,88,34,42,32,38,42,54,40,53,69,81,43,45,39,37,52,49,48,42,0,2,0,4,[]
281,54,93,33,43,37,43,47,52,43,51,60,88,45,39,43,39,54,48,50,45,0,2,0,4,[]
282,51,92,41,51,37,43,48,53,45,51,55,93,45,40,45,39,53,48,50,46,0,2,0,4,[]
283,54,90,37,49,32,46,37,50,40,52,65,92,43,39,37,37,52,43,54,47,0,2,0,4,[]
284,57,89,32,44,33,39,32,45,32,44,70,88,43,39,39,39,50,50,46,52,0,2,0,4,[]
285,55,90,27,38,27,35,31,50,32,43,70,79,41,37,40,32,49,50,43,44,0,2,0,4,[]
286,50,92,21,46,20,26,34,62,31,49,64,76,38,41,36,39,45,52,37,43,0,2,0,4,[]
287,51,92,17,44,13,17,44,68,28,52,56,65,27,37,26,35,48,54,30,39,0,2,0,4,[]
288,53,85,22,47,10,27,38,62,21,48,64,63,37,36,27,22,56,58,36,43,0,2,0,4,[]
289,52,86,22,47,13,34,34,60,22,45,69,65,52,33,20,13,66,66,36,43,0,2,0,4,[]
290,53,85,6,87,14,35,25,60,2,96,70,68,67,39,18,14,66,69,90,8,0,2,0,4,[]
291,53,85,16,68,9,26,22,56,12,81,72,69,73,42,30,20,64,64,75,20,0,2,0,4,['24:13 FPX »÷É±ÁË·çÁú']
292,53,87,18,54,8,32,22,56,18,65,71,83,63,41,35,18,54,54,65,33,0,2,0,4,[]
293,54,90,22,41,8,32,13,89,20,50,64,92,50,40,22,14,47,52,55,45,0,2,0,4,[]
294,54,91,17,33,4,95,24,78,23,37,66,92,35,36,18,16,50,46,46,49,0,2,0,4,[]
295,56,90,20,34,16,83,32,67,22,38,68,90,29,34,17,18,50,46,36,41,0,2,0,4,[]
296,56,91,22,43,24,72,32,62,24,46,69,82,29,33,17,18,93,4,27,32,0,2,0,4,[]
297,53,91,35,48,32,63,41,56,24,50,60,86,35,39,29,20,76,14,28,37,0,2,0,4,[]
298,54,93,38,49,40,54,45,54,38,49,58,90,46,38,40,17,68,27,40,37,0,2,0,4,[]
299,46,91,31,45,42,46,49,51,46,50,50,94,55,43,42,16,59,38,53,42,0,2,0,4,[]
300,42,90,34,38,41,44,43,49,42,44,63,92,54,43,40,17,55,45,54,49,0,2,0,4,[]
301,2,96,29,32,37,41,34,39,36,36,67,90,53,44,37,15,56,33,56,44,0,2,0,4,[]
302,19,95,35,38,37,42,37,43,38,42,72,88,48,46,37,15,54,29,54,45,0,2,0,4,[]
303,35,94,45,38,43,44,43,47,43,43,72,88,55,45,86,17,58,39,56,46,0,2,0,4,[]
304,47,91,47,39,48,47,48,47,47,47,67,78,58,46,81,33,58,47,58,46,0,2,0,4,[]
305,56,91,42,40,47,49,48,47,47,47,56,67,55,43,77,47,56,49,56,48,0,2,0,4,[]
306,69,90,42,44,41,51,46,45,43,45,48,56,49,46,62,51,52,49,47,51,0,2,0,4,[]
307,79,88,36,43,34,49,34,41,40,42,45,54,52,47,51,43,52,47,47,50,0,2,0,4,[]
308,77,87,24,48,20,52,29,51,32,49,43,46,42,40,49,35,46,38,44,43,0,2,0,4,[]
309,81,82,26,50,14,63,30,54,31,52,37,43,34,37,43,34,37,37,37,42,0,2,0,4,[]
310,87,71,31,51,9,59,39,59,2,96,35,36,30,32,49,40,46,39,34,38,0,2,0,4,[]
311,91,61,34,47,11,53,45,56,15,79,41,35,25,27,61,49,50,49,34,38,0,2,0,4,[]
312,92,61,37,48,19,47,45,55,28,68,41,35,25,27,72,50,53,42,84,9,0,2,0,4,[]
313,90,66,34,42,24,38,35,48,31,54,81,9,83,9,78,52,54,42,72,23,0,2,0,4,[]
314,90,66,37,38,32,35,32,38,34,41,70,25,67,19,87,49,48,40,61,33,0,2,0,4,[]
315,7,86,31,29,33,31,29,32,30,33,58,33,55,30,90,49,43,37,50,41,0,2,0,4,[]
316,15,70,31,30,29,32,29,32,30,34,44,35,41,36,90,51,36,41,37,37,0,2,0,4,[]
317,26,66,23,40,16,34,22,41,25,34,43,43,34,36,84,57,46,47,31,46,0,2,0,4,[]
318,32,61,27,47,11,33,22,54,26,46,41,53,31,34,83,62,52,47,36,48,0,2,0,4,[]
319,39,60,27,47,12,34,32,61,22,51,43,48,33,36,75,67,52,47,36,49,0,2,0,4,[]
320,36,65,24,48,18,44,35,65,27,52,34,37,37,42,75,71,95,4,40,51,0,2,0,4,[]
321,40,67,25,42,20,49,43,68,32,56,22,27,44,39,82,81,56,45,42,46,0,2,0,4,[]
322,41,77,25,42,30,48,39,62,33,49,11,20,42,37,75,87,43,53,42,46,0,2,0,4,[]
323,44,88,33,41,34,39,43,54,32,41,24,22,45,33,63,91,50,49,83,10,0,2,0,4,[]
324,53,86,33,33,41,44,45,51,32,34,37,25,47,35,61,90,53,48,66,20,0,2,0,4,[]
325,50,90,31,40,31,38,35,49,31,42,45,35,48,41,55,85,57,41,55,32,0,2,0,4,[]
326,51,90,18,45,18,34,31,51,31,51,46,36,44,46,59,84,69,40,41,33,0,2,0,4,[]
327,44,92,16,43,8,30,31,51,31,51,39,40,40,45,60,85,60,41,35,40,0,2,0,4,[]
328,48,92,22,53,9,29,13,88,4,92,35,36,34,35,62,85,48,49,27,33,0,2,0,4,[]
329,46,93,21,52,11,32,25,76,18,77,42,46,41,36,95,4,46,53,30,38,0,2,0,4,[]
330,46,93,22,47,2,96,33,66,30,67,32,44,41,36,87,23,47,48,43,47,0,2,0,4,[]
331,6,94,24,42,8,92,34,62,32,62,28,32,81,10,88,40,47,36,47,46,0,2,0,4,[]
332,16,83,23,48,18,79,33,60,31,51,27,18,62,11,87,56,58,34,47,46,0,2,0,4,[]
333,26,71,27,46,26,70,38,63,39,53,20,12,46,12,81,66,51,46,84,10,0,2,0,4,[]
334,35,63,27,46,32,59,40,66,39,63,22,13,42,17,77,79,45,53,72,25,0,2,0,4,[]
335,38,58,3,95,35,62,46,73,45,70,16,21,43,16,75,88,47,51,62,36,0,2,0,4,[]
336,40,58,17,78,44,70,44,70,42,67,7,25,48,20,72,89,53,47,47,46,0,2,0,4,[]
337,37,59,29,65,49,80,34,63,37,63,7,27,49,31,71,85,55,46,49,46,0,2,0,4,[]
338,23,65,31,52,53,90,23,55,31,52,12,24,38,37,73,74,51,46,46,41,0,2,0,4,[]
339,14,63,27,50,53,92,26,52,30,54,23,29,42,42,62,63,46,51,45,47,0,2,0,4,[]
340,8,51,32,54,52,90,36,58,32,58,23,39,34,43,54,56,42,55,43,52,0,2,0,4,[]
341,10,53,32,52,50,82,39,58,32,52,27,37,36,43,51,42,45,54,45,50,0,2,0,4,[]
342,13,63,33,49,45,70,38,59,32,52,38,44,49,50,52,37,54,52,49,53,0,2,0,4,[]
343,28,65,36,48,43,68,31,53,33,48,51,50,56,60,52,36,48,50,53,57,0,2,0,4,[]
344,31,57,34,43,36,58,34,43,31,37,46,43,54,62,52,36,51,49,53,57,0,2,0,4,[]
345,39,54,32,34,41,51,31,34,36,36,55,47,53,49,83,11,50,45,87,9,0,2,0,4,[]
346,32,42,34,31,34,47,30,32,35,36,46,36,46,37,70,22,44,37,69,18,0,2,0,4,[]
347,34,43,31,31,33,43,30,32,32,33,42,32,39,28,55,30,46,34,58,28,0,2,0,4,[]
348,32,46,32,31,33,41,30,33,31,34,38,29,36,24,40,32,38,37,41,38,0,2,0,4,[]
349,32,53,25,38,33,47,32,41,31,38,41,38,41,36,42,43,45,45,44,50,0,2,0,4,[]
350,38,59,26,37,33,48,30,51,33,48,45,51,44,43,51,55,53,54,45,52,0,2,0,4,[]
351,35,60,34,30,32,42,31,37,35,38,50,44,41,32,63,63,48,51,44,42,0,2,0,4,[]
352,31,55,32,31,32,30,30,32,32,35,43,33,43,24,65,68,46,38,42,40,0,2,0,4,[]
353,34,43,31,30,30,31,30,32,31,34,40,35,39,30,54,65,41,36,40,40,0,2,0,4,[]
354,42,38,35,34,34,38,34,37,33,37,43,38,41,33,45,54,45,37,39,42,0,2,0,4,[]
355,42,39,31,38,37,37,37,42,36,40,43,37,39,37,41,42,45,39,45,42,0,2,0,4,['29:35 FPXLwx(Õ½ÕùÅ®Éñ) »÷É±ÁË RNGLangx(¿ñ±©Ö®ÐÄ)']
356,42,39,26,37,33,37,32,46,31,47,41,37,35,37,33,42,37,38,37,40,0,2,0,4,[]
357,42,39,27,43,41,37,33,43,32,47,38,39,41,40,34,38,38,37,34,39,0,2,0,4,['29:45 FPXLwx(Õ½ÕùÅ®Éñ) »÷É±ÁË RNGXiaohu(½âÍÑÕß)']
358,42,39,43,43,41,37,31,40,32,44,41,45,42,40,41,36,41,39,30,36,0,2,0,4,['29:49 RNGKarsa(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË FPXTian(Ö©ÖëÅ®»Ê)']
359,42,39,42,44,41,37,23,41,29,38,45,47,42,40,47,47,46,48,26,32,0,2,0,4,"['29:52 RNGUzi(ÄæÓð) »÷É±ÁË FPXCrisp(Éîº£Ì©Ì¹)', '29:52 FPXLwx(Õ½ÕùÅ®Éñ) »÷É±ÁË RNGKarsa(Ðé¿Õ¶ÝµØÊÞ)']"
360,42,39,42,44,41,37,18,48,22,46,40,59,42,40,59,59,40,58,26,32,0,2,0,4,[]
361,42,39,42,44,41,37,19,62,18,58,37,65,42,40,65,67,36,66,26,32,0,2,0,4,[]
362,42,39,42,44,41,37,28,67,20,64,40,67,42,40,66,70,39,67,26,32,0,2,0,5,['30:9 FPXLwx(Õ½ÕùÅ®Éñ) »÷ÆÆÁË·ÀÓùËþ']
363,42,39,42,44,41,37,22,65,20,64,54,65,42,40,66,70,51,65,26,32,0,2,0,5,[]
364,42,39,42,44,41,37,22,65,8,86,66,65,42,40,67,70,56,67,26,32,0,2,0,5,[]
365,42,39,42,44,41,37,10,91,22,73,68,66,42,40,68,68,56,67,26,32,0,2,0,5,[]
366,2,95,42,44,41,37,23,78,32,62,80,65,42,40,75,61,84,6,26,32,0,2,0,5,['30:26 FPX »÷É±ÁËÍÁÁú']
367,9,81,42,44,41,37,32,68,34,49,84,65,94,5,75,60,66,10,84,10,0,2,0,5,[]
368,17,67,8,85,10,82,41,58,34,48,90,71,84,25,95,4,54,18,67,19,0,2,0,5,[]
369,19,50,16,68,17,68,45,52,38,49,89,76,80,42,85,6,52,27,58,31,0,2,0,5,[]
370,24,38,22,55,22,57,38,50,32,43,90,75,81,55,66,8,58,38,54,44,0,2,0,5,[]
371,25,26,23,47,24,48,33,43,35,37,90,75,78,50,50,9,52,48,49,40,0,2,0,5,[]
372,29,22,26,36,24,43,37,50,34,31,87,8,72,41,43,9,49,43,44,35,0,2,0,5,[]
373,28,20,30,32,24,32,37,56,31,35,76,25,70,41,43,17,50,34,46,36,0,2,0,5,[]
374,29,21,32,27,28,20,32,46,34,39,64,35,70,41,43,16,47,32,47,35,0,2,0,5,[]
375,29,21,26,35,27,16,34,39,33,39,57,34,89,4,40,16,46,36,46,35,0,2,0,5,[]
376,28,21,28,35,25,27,31,37,31,37,44,32,73,14,41,10,49,47,44,36,0,2,0,5,[]
377,28,21,32,31,31,30,31,34,31,34,44,34,60,25,45,14,51,48,41,33,0,2,0,5,[]
378,30,22,31,29,29,32,29,32,27,32,39,33,47,34,40,27,41,40,35,39,0,2,0,5,[]
379,30,22,25,38,21,38,22,42,24,40,37,40,38,41,42,45,34,35,39,42,0,2,0,5,[]
380,30,22,23,47,21,36,18,55,21,47,43,44,40,50,45,52,44,45,40,54,0,2,0,5,[]
381,21,95,24,38,21,36,24,68,21,47,43,44,41,39,59,57,45,43,43,52,0,2,0,5,[]
382,37,94,27,37,7,93,28,65,13,81,48,48,38,27,70,65,44,44,95,4,0,2,0,5,[]
383,53,93,32,43,17,85,40,57,27,70,50,44,42,34,74,61,50,47,77,13,0,2,0,5,[]
384,57,84,33,41,26,75,45,54,38,60,50,44,40,36,75,54,51,47,62,23,0,2,0,5,[]
385,59,85,34,48,33,65,34,48,38,48,80,15,44,38,75,60,50,42,50,34,0,2,0,5,[]
386,70,90,32,38,42,59,30,39,32,44,68,28,42,35,73,74,42,38,41,40,0,2,0,5,[]
387,69,92,31,32,43,49,31,30,32,34,57,39,43,36,70,88,51,45,41,39,0,2,0,5,[]
388,61,93,32,32,43,47,30,33,32,36,44,39,42,41,63,92,42,42,41,39,0,2,0,5,[]
389,51,94,32,32,32,46,30,35,30,34,43,42,42,42,52,93,46,49,40,33,0,2,0,5,[]
390,49,92,28,32,30,49,28,32,27,34,37,41,35,39,54,93,38,40,34,39,0,2,0,5,['32:28 FPXDoinb(°µÒá½£Ä§) »÷É±ÁË RNGLangx(¿ñ±©Ö®ÐÄ)']
391,49,92,20,27,29,50,24,41,23,44,32,35,30,35,56,90,32,35,33,40,0,2,0,5,[]
392,49,92,22,29,25,42,24,38,24,43,32,35,32,35,52,85,35,38,34,40,0,2,0,5,[]
393,49,92,21,33,22,45,19,45,23,46,32,35,32,31,52,85,32,34,27,34,0,2,0,5,[]
394,49,92,21,37,24,38,23,39,23,37,30,33,31,30,95,4,32,33,25,31,0,2,0,5,[]
395,49,92,25,47,25,46,20,50,20,49,30,29,32,31,31,31,30,32,27,36,0,2,0,5,[]
396,49,92,34,49,35,49,27,51,32,50,36,36,36,39,26,22,27,32,25,34,0,2,0,5,['32:56 FPX »÷É±ÁË´óÁú']
397,49,92,39,49,46,53,31,51,39,49,48,40,45,39,23,12,41,36,25,33,0,2,0,5,[]
398,49,92,41,52,54,57,39,52,44,49,59,45,48,41,22,13,55,32,79,15,0,2,0,5,[]
399,49,92,46,63,55,58,36,62,52,60,93,5,84,20,32,21,60,39,67,29,0,2,0,5,[]
400,49,92,47,72,44,67,45,71,65,61,77,19,70,32,25,26,93,4,58,42,0,2,0,5,[]
401,6,85,53,84,34,62,49,80,60,62,64,31,58,43,16,36,93,4,47,50,0,2,0,5,[]
402,9,68,63,91,25,58,42,78,58,70,53,43,46,51,9,40,45,51,44,53,0,2,0,5,[]
403,10,63,59,89,22,58,29,73,55,75,41,53,35,59,10,46,34,60,36,61,0,2,0,5,[]
404,9,67,59,89,19,71,22,76,42,81,31,62,30,71,10,61,28,68,33,73,0,2,0,5,[]
405,11,71,13,89,22,70,23,76,31,88,28,66,30,70,18,66,30,65,28,69,0,2,0,5,[]
406,12,75,27,80,24,71,28,73,26,76,31,65,32,67,14,64,30,66,32,64,0,2,0,5,[]
407,5,89,36,78,16,70,18,71,19,70,30,67,29,65,9,63,31,63,32,62,0,2,0,5,[]
408,2,96,33,80,8,69,11,70,16,72,21,64,24,66,13,63,25,68,22,67,0,2,0,5,[]
409,2,96,39,70,15,71,20,73,22,75,29,68,25,68,16,64,28,70,27,70,0,2,0,5,[]
410,36,62,32,71,27,72,27,77,28,76,28,67,24,73,22,73,27,67,29,67,0,2,0,6,['34:10 FPXTian(Ö©ÖëÅ®»Ê) »÷ÆÆÁË·ÀÓùËþ']
411,25,66,20,64,25,69,23,78,28,76,19,66,26,66,24,76,18,66,24,66,0,2,0,6,['34:13 FPXDoinb(°µÒá½£Ä§) »÷É±ÁË RNGXiaohu(½âÍÑÕß)']
412,20,67,20,64,25,69,28,84,27,81,26,67,24,67,25,83,22,65,21,65,0,2,0,6,"['34:19 FPXLwx(Õ½ÕùÅ®Éñ) »÷É±ÁË RNGLangx(¿ñ±©Ö®ÐÄ)', '34:19 RNGLangx(¿ñ±©Ö®ÐÄ) »÷É±ÁË FPXTian(Ö©ÖëÅ®»Ê)']"
413,20,67,24,59,25,69,30,84,33,82,30,74,24,67,33,83,25,76,23,72,0,2,0,6,"['34:21 FPXLwx(Õ½ÕùÅ®Éñ) »÷É±ÁË RNGKarsa(Ðé¿Õ¶ÝµØÊÞ)', '34:22 FPXDoinb(°µÒá½£Ä§) »÷É±ÁË RNGUzi(ÄæÓð)']"
414,20,67,24,59,25,69,30,84,31,82,28,74,24,67,24,82,23,81,22,78,0,2,0,6,['34:27 FPXGimGoon(ÌìÆôÕß) »÷É±ÁË RNGMing(¹â»ÔÅ®ÀÉ)']
415,20,67,24,59,25,69,30,84,31,82,18,82,24,67,13,83,17,86,15,86,0,2,0,6,[]
416,20,67,24,59,25,69,30,84,31,82,13,85,24,67,13,85,15,85,13,86,0,2,0,8,"['34:39 FPXDoinb(°µÒá½£Ä§) »÷ÆÆÁË·ÀÓùËþ', '34:40 FPX »÷ÆÆÁË·ÀÓùËþ']"
417,20,67,24,59,25,69,30,84,31,82,14,87,24,67,12,86,14,86,12,87,0,2,0,8,[]
418,20,67,24,59,25,69,30,84,31,82,14,86,24,67,12,88,13,85,13,88,0,2,0,8,[]
419,20,67,24,59,25,69,30,84,31,82,14,86,24,67,12,88,13,85,13,88,0,2,0,8,['34:55 FPX »ñÊ¤']
