, , , , , , , , , , , , , , , , , , , , ,blue_economics,blue_towers,red_economics,red_towers,captions
0,1,95,4,98,4,95,0,97,2,99,93,3,95,2,97,3,96,5,94,5,2500,0,2500,0,[]
1,1,97,4,98,2,95,2,98,4,95,95,2,96,3,94,5,95,5,93,3,2500,0,2500,0,[]
2,2,95,3,95,4,95,5,97,5,96,93,6,94,6,93,5,93,5,93,4,2500,0,2500,0,[]
3,4,95,4,96,4,95,4,95,5,96,93,5,94,6,93,5,92,4,92,4,2500,0,2500,0,[]
4,22,93,25,94,25,86,25,90,28,94,76,19,84,26,72,15,69,7,73,14,2500,0,2500,0,[]
5,45,91,48,92,41,71,48,88,51,93,57,28,79,49,55,30,46,11,56,30,2500,0,2500,0,[]
6,62,84,71,91,49,77,67,82,73,91,41,31,75,66,39,33,41,17,41,32,2500,0,2500,0,[]
7,64,82,70,89,58,85,65,82,77,90,41,32,78,74,38,33,45,23,39,34,2500,0,2500,0,[]
8,63,81,62,83,66,82,64,81,66,89,42,32,76,67,41,31,41,30,41,31,2500,0,2500,0,[]
9,61,82,62,81,66,82,62,81,65,81,41,32,81,66,41,31,41,30,41,31,2500,0,2500,0,[]
10,59,83,62,81,66,82,62,81,64,81,42,32,87,67,42,32,41,30,41,31,2500,0,2500,0,[]
11,49,80,51,83,55,83,53,84,56,83,44,33,87,67,42,35,40,30,41,31,2500,0,2500,0,[]
12,44,70,42,77,48,77,47,76,48,79,55,32,90,6,52,42,35,23,41,31,2500,0,2500,0,[]
13,38,61,40,66,42,68,40,67,40,74,66,34,80,11,54,46,27,15,94,13,2500,0,2500,0,[]
14,39,64,34,62,37,63,38,65,38,63,79,33,68,19,52,48,21,11,93,25,2500,0,2500,0,[]
15,47,72,29,58,43,69,46,73,40,54,88,38,59,23,53,47,22,11,92,38,2500,0,2500,0,[]
16,49,74,20,53,51,76,51,77,42,46,88,48,48,22,59,49,22,11,88,48,2500,0,2500,0,[]
17,49,74,22,46,52,75,53,76,43,47,88,57,46,24,51,48,17,10,81,51,2500,0,2500,0,[]
18,50,74,21,37,51,75,54,76,46,54,88,62,47,25,50,48,13,12,83,61,2500,0,2500,0,[]
19,50,74,11,34,51,75,53,76,46,53,87,72,49,26,51,49,12,18,87,71,2500,0,2500,0,[]
20,50,74,11,22,59,77,61,77,47,52,87,75,51,26,52,47,17,16,91,77,2621,0,2542,0,[]
21,52,84,12,18,69,81,70,83,47,52,86,75,53,29,51,48,14,14,90,76,2642,0,2663,0,[]
22,55,83,13,15,77,87,78,87,46,52,84,81,52,36,51,48,16,14,86,82,2846,0,2939,0,[]
23,54,83,12,17,80,87,81,87,44,54,82,81,52,31,49,50,16,16,86,84,2939,0,3038,0,[]
24,54,83,12,19,80,86,81,86,47,53,83,79,52,29,50,51,15,16,84,81,3086,0,3123,0,[]
25,54,84,13,19,80,86,80,86,46,55,84,79,48,20,50,52,16,17,86,82,3200,0,3201,0,[]
26,48,76,13,16,80,86,81,86,45,55,82,80,43,17,49,48,17,16,85,84,3325,0,3333,0,[]
27,46,65,11,18,79,85,80,88,43,54,85,84,41,17,49,51,16,17,84,85,3418,0,3559,0,[]
28,47,67,10,21,84,80,83,84,40,56,88,80,40,16,46,53,13,16,88,80,3540,0,3619,0,[]
29,46,66,10,21,83,85,83,83,39,56,86,80,39,16,45,54,13,17,89,81,3705,0,3773,0,[]
30,45,67,9,22,85,84,82,85,41,56,87,77,37,16,44,53,14,18,88,79,3780,0,3899,0,[]
31,35,62,9,23,86,84,82,84,44,56,88,72,29,20,48,53,11,21,89,75,3854,0,3989,0,[]
32,30,53,8,24,83,85,82,84,42,54,85,79,23,29,48,51,9,22,87,81,3941,0,4120,0,[]
33,20,50,9,22,85,85,82,84,43,55,85,78,24,37,48,52,12,20,87,81,4071,0,4260,0,[]
34,21,51,9,23,87,82,83,82,42,57,87,80,23,40,46,51,13,20,87,81,4182,0,4367,0,[]
35,22,52,7,26,84,85,84,85,39,56,88,82,23,39,45,52,12,23,87,82,4292,0,4491,0,[]
36,82,86,81,85,5,26,24,55,41,58,45,54,85,81,24,40,11,24,88,81,4455,0,4563,0,[]
37,23,56,6,25,80,85,81,84,40,57,87,80,24,38,45,55,10,25,88,82,4689,0,4880,0,[]
38,22,54,7,25,82,85,83,85,40,57,85,79,19,38,47,53,9,23,89,82,4804,0,5014,0,[]
39,16,45,7,26,81,84,84,84,40,59,87,78,15,31,47,56,10,24,88,80,4911,0,5156,0,[]
40,15,44,8,26,88,76,87,80,38,60,89,76,17,33,44,58,10,26,88,78,5004,0,5221,0,[]
41,15,43,8,24,89,76,86,77,35,68,94,64,28,37,43,58,18,24,92,73,5196,0,5271,0,[]
42,22,42,8,24,85,78,87,79,34,68,94,62,32,37,44,55,18,24,92,68,5266,0,5487,0,[]
43,2,96,26,36,10,22,85,80,89,77,93,4,95,4,41,39,45,52,92,72,5357,0,5538,0,[]
44,23,32,14,14,90,77,89,78,43,55,91,4,94,10,51,43,47,51,90,70,5429,0,5638,0,[]
45,19,24,16,14,87,75,89,77,46,53,94,16,61,50,55,43,17,15,91,68,5612,0,5688,0,[]
46,19,24,16,13,89,80,89,78,52,49,93,27,66,59,56,43,20,14,92,68,5726,0,5760,0,[]
47,4,96,10,19,86,87,85,87,53,44,93,38,70,65,60,40,19,11,93,72,5781,0,5836,0,[]
48,15,94,7,26,86,87,85,87,51,49,91,49,72,67,60,40,18,9,90,79,5887,0,5963,0,[]
49,3,96,26,93,7,26,81,91,51,49,95,4,90,60,75,62,21,10,89,80,6022,0,6056,0,[]
50,3,94,37,91,81,91,8,96,51,50,55,48,87,71,76,56,22,10,85,81,6087,0,6149,0,[]
51,12,20,18,95,4,95,49,90,56,56,83,79,79,54,59,45,22,11,85,81,6137,0,6451,0,[]
52,14,94,58,85,19,12,29,94,56,56,81,81,80,54,52,47,22,9,84,87,6213,0,6690,0,[]
53,2,96,63,86,21,11,25,94,40,94,79,79,81,56,45,40,24,10,83,88,6285,0,6741,0,[]
54,63,83,22,9,35,93,51,93,11,90,95,4,79,79,81,55,52,44,23,9,6421,0,6870,0,[]
55,59,83,21,11,46,93,62,93,19,82,94,7,94,9,82,57,54,46,27,8,6610,0,7012,0,[]
56,57,83,22,10,57,91,70,91,27,74,94,22,82,57,55,45,25,9,92,23,6782,0,7079,0,[]
57,56,84,22,10,67,89,72,89,35,67,92,4,92,33,55,45,26,8,91,34,6893,0,7155,0,[]
58,56,84,24,11,74,88,72,89,43,59,91,44,77,7,55,43,27,9,90,45,7040,0,7267,0,[]
59,53,84,22,21,74,88,72,89,52,49,89,56,63,9,55,44,25,8,89,56,7157,0,7392,0,[]
60,52,77,16,22,75,89,73,89,50,51,87,70,51,8,54,45,23,10,88,66,7222,0,7492,0,[]
61,57,69,13,19,75,87,74,88,48,52,85,79,40,7,51,46,19,18,86,76,7305,0,7568,0,[]
62,48,65,13,16,75,90,76,87,48,53,82,81,28,6,50,47,16,16,83,84,7376,0,7618,0,[]
63,47,64,13,17,75,89,76,89,48,52,81,84,16,8,51,47,16,14,81,86,7469,0,7732,0,[]
64,50,66,17,12,81,89,78,87,48,51,83,83,15,16,51,46,16,17,84,84,7688,0,8472,0,[]
65,56,63,22,12,84,88,80,85,44,56,86,79,25,14,50,47,17,18,88,79,7752,0,8564,0,"['5:22 RNGKarsa(虚空遁地兽) 击杀了 LGDLies(战争之影),获得一血']"
66,45,67,22,12,84,88,79,87,46,55,88,72,36,17,47,49,19,26,88,75,7849,0,8670,0,[]
67,22,12,39,61,87,85,83,82,49,54,87,76,42,17,49,49,14,21,89,76,7949,0,8721,0,[]
68,4,86,38,50,87,83,83,83,51,56,86,77,44,15,50,51,12,22,88,79,8020,0,8956,0,[]
69,5,71,31,51,89,81,83,81,45,56,87,74,45,15,49,48,12,23,88,75,8155,0,9190,0,[]
70,26,57,6,59,88,80,84,80,41,56,87,72,45,15,43,47,15,21,89,72,8366,0,9281,0,[]
71,23,58,7,47,86,76,85,78,38,56,90,68,50,23,43,54,15,21,90,70,8582,0,9399,0,[]
72,83,78,79,75,8,33,23,55,39,58,91,4,46,53,93,71,52,34,91,71,8766,0,9535,0,[]
73,17,45,6,27,83,78,79,75,42,57,77,5,89,71,52,35,46,51,92,72,8894,0,9870,0,[]
74,8,96,9,96,14,44,8,25,43,55,89,72,58,34,51,52,66,6,89,76,8980,0,10005,0,[]
75,15,43,10,21,19,95,21,94,45,51,89,76,59,46,60,51,54,8,87,82,9179,0,10055,0,[]
76,19,44,10,21,30,93,32,93,43,48,87,78,66,55,64,57,43,9,79,75,9318,0,10110,0,[]
77,26,37,15,21,39,88,43,92,43,47,87,75,58,63,61,63,32,11,79,74,9364,0,10219,0,[]
78,35,38,20,25,46,80,54,90,49,49,88,74,53,62,51,59,23,11,79,75,9445,0,10311,0,[]
79,30,36,17,21,55,75,65,88,44,48,87,75,51,59,50,50,25,9,71,67,9515,0,10446,0,[]
80,29,38,13,14,61,75,76,86,45,50,86,76,46,54,48,51,21,10,63,63,9678,0,11038,0,[]
81,32,44,18,18,57,70,83,82,42,52,86,76,44,52,46,50,23,12,57,64,9728,0,11143,0,['6:44 RNGXiaohu(万花通灵) 击杀了 LGDYuuki(解脱者)']
82,42,52,31,53,18,11,64,78,85,81,88,76,50,43,50,50,22,12,67,66,9881,0,11240,0,[]
83,35,63,20,12,72,77,83,83,42,52,88,77,50,33,45,54,21,11,76,72,9974,0,11354,0,[]
84,44,70,22,11,73,86,82,85,2,96,83,79,53,27,45,54,26,11,83,79,10067,0,11482,0,[]
85,52,76,23,12,81,85,81,84,14,89,86,78,53,29,45,54,25,11,87,82,10138,0,11785,0,[]
86,52,75,19,12,79,85,80,85,22,80,83,79,54,30,50,50,23,9,85,82,10189,0,11892,0,[]
87,53,76,19,11,81,85,81,86,31,71,84,79,54,30,53,46,22,10,86,83,10428,0,12031,0,[]
88,60,77,21,12,80,85,82,87,39,61,94,11,83,81,53,46,23,11,86,83,10610,0,12254,0,[]
89,70,80,22,11,78,87,80,86,46,54,93,5,83,81,92,26,26,9,85,83,10729,0,12333,0,[]
90,66,82,20,19,77,87,75,88,49,50,84,10,84,78,90,39,27,10,88,81,11002,0,12495,0,[]
91,57,82,25,29,74,88,74,89,51,50,81,82,90,51,76,19,22,9,86,81,11097,0,12545,0,[]
92,57,82,21,27,75,88,74,89,57,58,80,84,88,63,69,28,16,13,83,87,11200,0,12642,0,[]
93,58,83,15,18,75,89,74,88,62,62,82,81,90,76,61,36,18,14,81,84,11335,0,12735,0,[]
94,58,83,16,16,78,90,74,89,56,68,79,84,87,85,56,43,19,14,80,86,11538,0,12898,0,[]
95,65,83,11,21,76,88,74,87,58,70,81,84,87,85,52,49,20,20,78,89,11609,0,12962,0,[]
96,81,84,9,26,79,85,80,86,66,78,83,84,81,84,49,49,20,27,80,86,12172,0,14040,0,"['7:59 RNGKarsa(虚空遁地兽) 击杀了 LGDCondi(永恒梦魇)', '7:59 LGDKramer(圣枪游侠) 击杀了 RNGUzi(虚空之女)']"
97,81,84,8,24,75,89,80,90,77,80,83,84,76,90,48,54,13,22,77,87,12262,0,14613,0,['8:3 RNGKarsa(虚空遁地兽) 击杀了 LGDRD(深海泰坦)']
98,81,84,8,25,75,89,80,89,79,86,83,84,80,88,43,57,14,19,73,85,12776,0,14865,0,['8:6 RNGKarsa(虚空遁地兽) 击杀了 LGDKramer(圣枪游侠)']
99,81,84,9,24,75,89,80,89,83,83,95,6,80,88,43,57,13,18,82,83,12848,0,14937,0,['8:11 LGDYuuki(解脱者) 击杀了 RNGKarsa(虚空遁地兽)']
100,5,95,5,88,9,24,80,89,76,86,93,18,80,88,43,57,13,18,71,81,12918,0,15169,0,[]
101,6,96,11,78,8,25,16,95,68,79,92,29,80,88,42,55,13,18,74,70,12965,0,15270,0,[]
102,26,94,16,68,7,30,17,95,59,71,80,88,91,40,45,54,12,20,76,60,13024,0,15457,0,[]
103,18,55,8,25,39,94,28,93,49,67,90,52,90,13,43,54,13,19,77,59,13081,0,15570,0,[]
104,22,44,8,24,50,93,41,92,40,62,95,5,88,65,84,26,42,53,12,20,13132,0,15802,0,[]
105,52,91,19,34,10,24,61,92,39,55,94,8,86,75,77,39,45,50,14,20,13359,0,16004,0,[]
106,22,40,9,25,71,89,63,90,42,53,80,84,76,44,54,46,11,23,92,18,13435,0,16268,0,[]
107,24,45,8,30,77,89,74,88,42,52,83,86,77,54,49,49,9,25,91,29,13507,0,16333,0,[]
108,8,32,21,45,80,86,80,87,40,51,83,82,76,68,50,51,6,28,90,41,13857,0,16678,0,[]
109,20,44,6,28,73,87,77,90,28,50,81,78,69,68,51,50,6,28,89,53,13908,0,16771,0,[]
110,20,47,8,30,72,85,77,87,25,50,81,81,68,71,55,56,11,19,88,65,14087,0,16957,0,[]
111,26,37,7,28,75,89,78,88,38,51,79,83,67,69,55,57,12,20,85,77,14219,0,17075,0,[]
112,34,38,6,27,76,87,77,89,41,55,95,4,79,81,67,70,8,17,81,85,14318,0,17139,0,[]
113,31,39,9,28,75,88,77,90,47,48,89,7,82,85,67,69,8,17,81,87,14600,0,17304,0,[]
114,22,43,10,30,73,87,75,90,51,45,80,15,81,86,70,66,8,18,80,89,14770,0,17369,0,['9:29 RNG 击杀了火龙']
115,16,43,10,30,74,88,72,84,46,49,71,25,82,84,78,70,8,17,83,88,14848,0,17461,0,[]
116,76,88,2,94,16,43,75,89,44,50,82,82,82,65,64,35,11,20,82,84,14989,0,17600,0,[]
117,2,96,3,91,13,35,81,91,78,88,81,80,76,53,58,42,11,13,82,84,15061,0,17763,0,[]
118,14,89,5,75,7,27,85,88,79,87,82,80,74,53,60,50,11,13,83,82,15195,0,17848,0,[]
119,13,34,10,65,82,90,80,87,22,80,89,4,81,80,75,53,71,49,83,83,15260,0,18013,0,[]
120,80,89,27,34,10,52,79,87,29,71,81,5,88,84,63,57,87,80,70,63,15325,0,18124,0,[]
121,22,44,11,39,79,87,84,88,39,61,86,81,85,78,59,63,56,56,70,6,15370,0,18204,0,[]
122,22,54,13,23,80,85,82,86,44,53,87,81,53,63,52,51,58,7,87,82,15472,0,18373,0,[]
123,25,55,16,14,80,86,80,84,44,53,87,81,51,65,53,52,45,8,87,84,15653,0,18613,0,[]
124,24,57,15,16,81,87,80,86,40,55,85,81,54,64,51,56,33,10,87,82,15828,0,18814,0,[]
125,24,57,14,13,78,88,79,86,37,56,85,83,65,59,45,54,22,11,85,84,16070,0,18976,0,[]
126,4,95,79,86,17,18,77,87,44,55,83,80,62,51,50,53,23,12,86,86,16146,0,19108,0,[]
127,13,91,23,23,76,87,76,89,45,52,82,81,67,64,56,61,22,11,80,82,16445,0,19187,0,[]
128,26,89,20,13,76,88,77,90,40,61,83,86,67,73,57,70,22,11,81,85,16509,0,19314,0,[]
129,38,90,20,11,71,90,73,92,40,60,78,91,70,78,56,67,23,9,76,88,16581,0,19437,0,[]
130,51,88,22,11,70,91,72,92,43,51,76,90,70,68,56,63,26,10,74,88,16744,0,19584,0,[]
131,54,91,14,19,69,90,70,94,42,52,77,90,57,64,51,54,23,11,75,90,16840,0,19680,0,[]
132,55,83,10,27,70,84,68,89,43,53,82,89,52,60,51,53,23,12,77,81,16982,0,19773,0,[]
133,55,84,10,16,72,87,73,88,43,53,83,87,56,68,49,53,30,19,80,87,17078,0,19908,0,[]
134,55,84,17,14,74,88,75,87,45,51,84,88,57,78,53,63,30,20,82,88,17374,0,20029,0,[]
135,56,85,13,17,74,90,73,88,39,58,81,88,53,77,57,71,21,14,79,85,17490,0,20177,0,[]
136,62,86,11,30,75,87,75,89,40,52,78,76,52,76,56,68,18,16,75,74,17594,0,20253,0,[]
137,56,88,11,32,68,88,68,92,40,51,72,69,56,74,55,64,24,27,70,66,17645,0,20304,0,[]
138,2,96,48,82,68,88,68,92,42,52,62,64,53,61,51,59,30,31,59,61,17695,0,20384,0,[]
139,5,91,5,82,5,91,40,73,39,55,54,58,47,56,45,55,23,27,54,58,17746,0,20477,0,[]
140,45,66,6,67,9,81,6,79,41,55,58,59,48,49,51,52,15,18,60,60,17827,0,20753,0,[]
141,7,67,37,63,8,54,16,70,42,55,58,59,52,42,52,46,13,17,60,60,17930,0,20885,0,[]
142,32,53,8,42,18,59,9,54,40,55,92,12,92,5,53,35,52,46,8,17,18073,0,21048,0,[]
143,35,49,8,27,22,51,11,45,48,52,78,14,92,5,86,23,50,25,7,24,18286,0,21259,0,[]
144,15,35,8,29,36,48,32,47,49,52,81,34,43,17,81,14,10,17,72,24,18416,0,21305,0,[]
145,18,34,32,38,34,42,21,37,49,50,80,46,44,15,73,23,17,9,66,33,18491,0,21459,0,[]
146,28,35,27,35,31,38,27,36,42,46,80,56,45,16,65,33,16,9,55,32,18657,0,21608,0,[]
147,31,38,27,34,28,37,28,35,33,38,74,60,48,18,59,41,16,10,46,28,18720,0,21844,0,[]
148,31,32,29,34,32,35,28,36,31,36,65,59,41,31,54,44,24,14,40,26,18772,0,21922,0,[]
149,24,33,26,36,26,36,24,37,25,37,52,52,37,36,41,39,25,24,41,36,18823,0,21996,0,[]
150,22,39,24,32,28,38,23,36,23,39,47,47,30,35,33,37,28,33,29,38,18974,0,22047,0,[]
151,31,32,32,32,30,37,28,35,29,33,39,40,32,33,32,39,35,36,33,39,19817,0,22102,0,[]
152,30,32,30,37,31,33,31,36,28,34,32,35,33,39,32,33,32,39,37,38,19868,0,22622,0,['12:36 LGDLies(战争之影) 击杀了 RNGKarsa(虚空遁地兽)']
153,29,32,29,35,28,36,27,34,28,33,28,38,32,33,28,37,34,39,33,38,19918,0,23123,0,['12:43 RNGUzi(虚空之女) 击杀了 LGDLies(战争之影)']
154,28,38,29,35,26,35,28,33,26,36,29,39,32,33,23,37,28,36,25,38,20961,0,23644,0,"['12:47 RNGUzi(虚空之女) 击杀了 LGDRD(深海泰坦)', '12:49 LGDKramer(圣枪游侠) 击杀了 RNGMing(正义巨像)', '12:50 RNGLangx(荒漠屠夫) 击杀了 LGDYuuki(解脱者)']"
155,33,47,29,35,26,35,36,28,26,36,32,33,33,31,30,45,31,34,25,38,21012,0,23694,0,['12:52 LGDCondi(永恒梦魇) 击杀了 RNGXiaohu(万花通灵)']
156,44,51,29,35,26,35,49,26,26,36,32,33,44,24,30,45,32,33,25,38,21134,0,23779,0,[]
157,47,51,29,35,26,35,57,28,26,36,53,29,91,6,30,45,39,38,25,38,21286,0,23830,0,[]
158,29,35,3,93,43,56,59,15,26,36,25,38,57,22,74,10,30,45,49,41,21337,0,23922,0,[]
159,43,56,5,92,13,91,65,6,26,36,60,11,65,8,30,45,53,46,87,8,21389,0,24357,0,[]
160,26,36,2,96,9,76,24,90,67,5,79,15,53,20,58,14,30,45,54,45,21439,0,24517,0,['13:16 RNGKarsa(虚空遁地兽) 击杀了 LGDKramer(圣枪游侠)']
161,11,91,9,93,9,64,36,88,67,5,95,4,44,23,57,22,57,43,71,27,21493,0,24572,0,[]
162,18,85,25,89,9,51,44,82,67,5,84,10,41,24,59,34,58,42,59,26,21544,0,24722,0,[]
163,67,5,37,88,10,34,54,76,26,76,95,5,30,22,71,41,75,19,52,30,21594,0,24857,0,[]
164,8,95,46,80,11,23,57,73,35,67,94,10,18,22,74,42,67,28,44,38,21670,0,24922,0,[]
165,51,73,9,25,66,77,16,90,45,67,74,42,92,25,14,20,58,37,36,25,21751,0,25022,0,[]
166,53,76,8,25,74,74,24,81,57,69,92,6,14,19,52,45,92,38,26,24,21905,0,25137,0,[]
167,65,77,9,23,75,71,31,71,65,77,20,15,80,13,45,43,91,51,25,23,22023,0,25192,0,[]
168,77,74,10,26,67,65,39,62,77,78,24,14,67,19,45,48,90,64,36,25,22090,0,25314,0,[]
169,82,78,79,75,15,37,69,68,42,57,24,14,66,33,46,49,85,77,44,35,22256,0,25407,0,[]
170,79,75,13,42,73,70,44,57,88,77,92,7,69,47,59,50,89,77,51,44,22390,0,25458,0,[]
171,79,75,14,42,82,78,54,66,89,77,89,15,79,54,64,57,88,68,53,50,22530,0,25512,0,[]
172,87,81,11,34,90,73,62,75,92,72,80,23,83,68,67,61,91,68,64,53,22581,0,25635,0,[]
173,90,78,12,24,89,77,74,78,90,76,90,75,70,32,78,63,93,71,70,62,23081,0,25686,0,[]
174,91,73,87,74,89,73,85,77,90,74,61,40,90,72,88,69,91,67,78,61,23174,0,26274,0,['14:29 LGDCondi(永恒梦魇) 击杀了 RNGKarsa(虚空遁地兽)']
175,89,78,86,76,88,77,88,78,90,74,52,49,90,72,87,67,91,71,86,66,23337,0,26471,0,['14:33 RNGLangx(荒漠屠夫) 击杀了 LGDYuuki(解脱者)']
176,90,77,82,78,89,77,86,76,90,74,46,52,90,72,89,69,88,68,86,66,23573,0,26610,0,[]
177,89,77,86,77,88,77,86,76,90,74,43,53,90,72,93,70,92,71,91,70,23623,0,26871,0,[]
178,78,75,73,71,78,75,78,73,90,74,41,53,90,72,86,66,86,77,86,74,23674,0,27571,0,[]
179,69,68,65,67,72,75,68,67,90,74,43,52,90,72,82,66,79,75,81,77,23726,0,27705,1,"['14:53 RNG 击破了防御塔,获得一塔']"
180,90,74,67,69,65,69,70,75,66,66,46,51,94,6,73,62,73,67,73,70,23776,0,27756,1,[]
181,66,73,69,66,71,69,58,66,90,74,55,58,86,21,66,69,67,65,66,69,23930,0,27810,1,[]
182,67,71,63,69,67,68,63,69,68,67,63,72,81,34,67,67,69,68,64,70,24921,0,28781,1,"['15:9 RNGXiaohu(万花通灵) 击杀了 LGDKramer(圣枪游侠)', '15:9 LGDKramer(圣枪游侠) 击杀了 RNGXiaohu(万花通灵)', '15:7 LGD 击杀了土龙']"
183,65,72,63,69,66,72,63,69,65,72,66,73,79,49,67,67,66,72,64,71,25571,0,29352,1,"['15:11 RNGXiaohu(万花通灵) 击杀了 LGDLies(战争之影)', '15:12 LGDYuuki(解脱者) 击杀了 RNGMing(正义巨像)', '15:14 LGDRD(深海泰坦) 击杀了 RNGUzi(虚空之女)']"
184,64,72,63,69,66,69,63,69,66,68,66,73,70,64,67,67,66,69,64,71,26275,0,29893,1,['15:16 RNGLangx(荒漠屠夫) 击杀了 LGDCondi(永恒梦魇)']
