, , , , , , , , , , , , , , , , , , , , ,blue_economics,blue_towers,red_economics,red_towers,captions
185,64,72,63,69,67,70,63,69,65,77,66,73,66,71,67,67,66,71,64,71,26325,0,29943,1,"['15:22 RNGLangx(荒漠屠夫) 击杀了 LGDRD(深海泰坦)', '15:23 LGDYuuki(解脱者) 击杀了 RNGLangx(荒漠屠夫)']"
186,63,69,64,72,67,70,63,69,62,84,66,73,66,71,70,65,67,67,64,71,26376,0,29998,1,[]
187,63,69,64,72,67,70,63,69,55,82,67,67,66,73,69,64,66,71,64,71,26527,0,30205,1,[]
188,10,93,64,72,63,69,67,70,52,84,64,71,67,67,66,73,67,62,66,71,26602,0,30250,1,[]
189,67,70,64,72,4,94,19,84,60,85,96,3,61,50,94,4,66,71,84,10,26687,0,30301,1,[]
190,67,70,27,75,3,94,10,78,69,88,87,8,52,36,80,6,66,71,77,20,26738,0,30414,1,[]
191,5,90,10,81,10,65,34,65,69,88,80,18,53,32,67,7,66,71,69,29,26788,0,30514,1,[]
192,5,96,16,69,11,52,13,81,41,56,95,4,72,28,50,24,54,8,61,39,26847,0,30577,1,[]
193,18,53,21,44,24,71,46,54,22,94,56,49,63,37,44,15,37,9,95,4,26984,0,30775,1,[]
194,22,48,23,33,32,62,42,59,34,93,50,47,43,16,25,12,94,4,53,48,27039,0,31033,1,[]
195,22,48,16,22,32,50,44,68,48,92,93,15,60,42,43,16,23,13,44,47,27219,0,31157,1,[]
196,21,51,14,14,32,53,44,68,60,91,89,27,69,40,33,17,27,21,53,45,27423,0,31228,1,[]
197,24,56,8,21,38,56,42,67,72,91,67,41,24,23,17,22,89,40,45,40,27727,0,31393,1,[]
198,30,59,7,35,40,51,42,58,78,85,57,46,24,32,14,21,88,53,51,49,27849,0,31728,1,[]
199,40,61,15,37,47,51,46,52,83,83,53,47,28,34,13,21,84,59,52,50,28217,0,31894,1,[]
200,43,60,7,35,48,53,46,53,87,81,56,48,32,23,14,20,83,59,56,49,28414,0,32121,1,[]
201,52,63,8,29,47,57,47,54,84,82,68,50,32,23,24,22,88,66,66,54,28563,0,32218,1,[]
202,56,59,7,28,52,55,52,56,85,78,92,10,77,52,25,22,92,71,72,50,28754,0,32500,1,[]
203,47,59,15,37,51,55,50,53,81,80,76,59,80,19,15,18,85,78,67,53,28882,0,32551,1,[]
204,34,59,14,43,45,54,48,51,80,90,73,49,68,28,13,21,87,73,64,53,28986,0,32623,1,[]
205,26,48,14,42,36,49,40,53,81,89,60,49,63,38,14,19,90,71,53,49,29122,0,32848,1,[]
206,16,40,10,31,28,50,35,48,81,87,51,46,57,40,16,21,88,72,52,49,29278,0,32959,1,[]
207,14,33,10,24,30,54,40,58,78,86,54,53,43,37,25,31,86,79,54,56,29413,0,33087,1,[]
208,21,39,11,31,36,58,37,60,69,81,46,52,40,44,36,37,87,76,62,61,29463,0,33255,1,[]
209,22,50,20,36,31,56,31,57,59,75,48,52,33,47,33,38,83,78,57,58,29518,0,33369,1,[]
210,28,52,25,35,31,58,33,59,57,69,50,51,45,43,42,36,83,80,52,57,29596,0,33445,1,[]
211,35,61,20,27,42,55,43,57,60,74,52,48,50,44,41,31,81,78,53,50,29825,0,33497,1,[]
212,45,69,15,13,42,56,44,57,69,82,48,39,42,32,32,21,83,83,60,43,30104,0,33590,1,[]
213,55,76,15,14,34,59,39,58,79,86,39,31,32,21,22,13,86,83,60,43,30308,0,33829,1,[]
214,67,80,8,18,34,59,38,58,79,87,46,39,32,30,22,12,85,83,92,6,30495,0,33984,1,[]
215,4,95,67,80,8,18,2,96,74,87,83,11,52,44,29,34,27,12,79,73,30545,0,34074,1,[]
216,15,88,3,92,67,80,14,86,73,87,49,43,31,34,27,12,75,78,75,21,30596,0,34206,1,[]
217,12,90,6,84,21,76,23,79,77,88,88,8,47,48,30,35,82,83,68,31,30647,0,34453,1,[]
218,20,82,22,85,30,68,31,69,72,90,56,40,36,36,77,16,81,86,60,38,30788,0,34552,1,[]
219,34,89,31,89,38,61,36,60,74,89,53,32,50,35,65,21,79,81,52,51,30976,0,34603,1,[]
220,47,88,46,90,44,56,42,54,67,93,48,40,44,39,54,31,82,90,51,47,31027,0,34654,1,[]
221,55,83,61,89,46,54,45,55,67,93,52,48,48,42,42,39,79,84,51,45,31147,0,34813,1,[]
222,3,94,54,83,71,85,43,59,41,58,46,49,50,44,44,50,80,82,48,52,31248,0,34996,1,[]
223,11,83,50,82,71,81,42,60,35,62,41,56,43,56,43,58,82,85,42,59,31349,0,35538,1,[]
224,50,78,75,87,42,60,36,62,17,74,40,51,45,50,44,48,82,87,42,52,31516,0,35661,1,['18:36 RNGMing(正义巨像) 击杀了 LGDRD(深海泰坦)']
225,62,77,82,85,42,60,36,64,25,72,42,46,52,37,34,38,88,84,33,47,31733,0,35783,1,[]
226,70,78,83,85,42,60,40,67,37,75,42,46,52,33,24,26,88,83,35,39,31874,0,35878,1,[]
227,42,60,80,76,87,76,47,74,50,76,90,6,47,23,15,20,90,71,35,39,31925,0,36103,1,[]
228,80,75,86,77,42,60,45,71,62,77,80,16,92,11,42,17,11,24,93,70,32075,0,36286,1,[]
229,80,75,87,75,42,60,45,69,73,77,70,25,43,17,12,23,91,67,82,21,32237,0,36441,1,[]
230,80,75,88,72,7,94,43,69,82,66,58,27,43,16,19,14,92,59,73,29,32398,0,36492,1,[]
231,69,78,90,70,17,87,39,63,87,66,53,30,43,16,10,25,89,48,62,35,32975,1,36642,1,['19:15 LGD 击破了防御塔']
232,59,71,82,77,28,82,38,60,87,68,92,10,56,46,47,38,9,27,89,48,33029,1,36718,1,[]
233,61,62,72,68,37,74,43,57,79,65,80,21,48,49,9,27,92,56,51,50,33120,1,37402,1,[]
234,56,61,65,62,39,63,43,58,67,63,44,49,79,36,7,19,83,56,47,50,33231,1,37675,2,['19:26 RNGXiaohu(万花通灵) 击破了防御塔']
235,51,65,55,67,44,55,43,57,55,63,52,45,75,42,7,19,83,57,54,48,33554,1,37805,2,[]
236,50,66,56,67,47,59,40,62,48,67,93,4,57,40,70,41,85,56,59,47,33608,1,37963,2,[]
237,2,96,45,68,47,66,41,65,39,63,83,11,57,40,66,44,87,56,59,45,33664,1,38019,2,[]
238,20,88,45,68,39,63,4,96,43,59,93,8,92,6,63,53,73,25,61,51,33716,1,38070,2,[]
239,11,91,48,66,31,80,42,59,44,58,90,6,62,52,65,35,84,19,59,51,33771,1,38123,2,[]
240,54,67,41,71,45,57,22,83,46,58,92,10,61,52,55,45,74,28,58,50,33843,1,38216,2,[]
241,33,78,57,69,50,66,44,57,43,56,85,22,54,57,51,51,66,38,53,52,33999,1,38400,2,[]
242,60,75,63,76,47,57,43,69,46,58,80,34,63,62,62,58,66,51,63,60,34063,1,38451,2,[]
243,57,68,76,79,55,62,54,65,50,60,80,47,69,66,72,63,77,53,77,62,34115,1,38502,2,[]
244,56,67,75,72,54,62,55,61,52,60,68,51,69,66,72,64,79,64,73,64,34260,1,38553,2,[]
245,59,62,70,76,65,63,60,60,61,62,67,52,69,67,72,64,74,74,70,65,34310,1,38703,2,[]
246,76,71,76,71,71,67,70,67,71,69,65,58,74,59,74,56,78,72,75,60,34361,1,38755,2,['20:26 RNG 击杀了火龙']
247,74,73,76,74,74,71,73,73,75,70,67,63,69,62,73,62,79,65,74,61,34440,1,38809,2,[]
248,63,77,77,89,66,77,62,77,67,78,55,57,57,64,60,63,68,62,60,63,34525,1,38919,2,[]
249,51,77,77,88,54,76,50,77,54,76,49,54,51,68,47,67,55,61,52,67,34713,1,39012,2,[]
250,42,80,83,84,44,80,42,80,44,80,41,60,44,70,41,72,46,67,41,71,34764,1,39169,2,[]
251,37,88,88,72,40,76,35,75,40,77,36,60,44,69,38,63,43,68,39,66,34965,1,39235,2,[]
252,32,76,90,65,31,70,30,69,30,70,34,63,40,69,34,63,39,66,36,65,35169,1,39288,2,[]
253,29,65,87,74,32,67,30,66,30,67,39,58,40,58,39,58,49,66,40,60,35346,1,39339,2,[]
254,28,59,82,66,30,60,32,61,27,66,32,46,31,49,33,49,60,60,36,50,35448,1,39390,2,[]
255,24,57,73,63,31,60,26,60,26,58,28,37,24,43,28,38,73,53,32,42,35568,1,39437,2,[]
256,22,51,73,72,27,59,25,58,21,51,26,31,21,41,24,41,86,50,25,37,35617,1,39642,2,[]
257,21,46,63,63,20,49,18,47,23,45,38,37,24,38,25,37,90,51,27,37,35668,1,39825,2,[]
258,17,44,57,56,19,47,18,49,20,46,47,41,27,36,32,38,89,64,34,38,35809,1,39916,2,[]
259,19,51,58,69,21,48,24,57,10,47,47,49,42,36,43,38,84,66,44,39,35864,1,40240,2,[]
260,19,51,67,79,22,46,37,61,7,43,49,42,51,30,50,42,88,77,44,39,35950,1,40375,2,[]
261,20,48,77,86,24,35,35,64,8,39,92,6,55,43,43,18,39,38,87,77,36209,1,40606,2,[]
262,20,48,79,85,22,41,34,65,7,35,47,51,42,17,31,37,86,66,74,14,36441,1,40762,2,[]
263,11,91,80,85,22,47,34,65,5,44,46,51,42,16,42,38,87,65,63,22,36582,1,40937,2,[]
264,10,92,26,82,76,87,22,47,5,44,95,6,49,47,42,16,54,45,54,31,36637,1,40988,2,[]
265,21,80,6,94,8,95,76,87,37,76,93,25,90,4,44,36,66,50,49,24,36687,1,41053,2,[]
266,49,82,23,94,16,82,30,69,22,90,37,26,73,14,77,51,91,39,38,24,36787,1,41104,2,[]
267,25,72,54,84,38,90,39,66,35,89,27,18,61,23,79,51,88,52,26,24,36873,1,41287,2,[]
268,55,83,53,90,34,64,43,68,47,89,19,14,43,24,68,50,84,57,22,32,37105,1,41372,2,[]
269,56,82,69,88,41,59,41,66,57,85,12,23,41,38,54,49,84,64,19,26,37230,1,41551,2,[]
270,51,83,82,83,35,59,30,65,69,84,8,26,30,37,50,48,87,72,14,21,37281,1,41908,2,[]
271,45,71,87,76,41,58,42,57,77,89,9,25,25,25,50,46,88,66,15,22,37555,1,42000,2,[]
272,38,61,88,78,41,58,40,59,77,88,16,22,29,32,42,45,90,60,22,29,37890,1,42084,2,[]
273,38,59,80,76,31,56,27,59,66,79,26,30,33,39,33,43,89,74,31,39,37941,1,42241,2,[]
274,36,58,66,65,32,57,18,51,58,70,31,43,31,50,31,51,89,72,31,49,38009,1,42411,2,[]
275,41,61,55,59,33,61,10,50,56,67,36,48,32,44,34,43,83,80,34,47,38229,1,42462,2,[]
276,40,56,52,51,38,58,12,49,50,61,38,43,42,45,46,47,77,88,39,44,38329,1,42597,2,[]
277,39,53,54,55,40,53,19,52,48,54,47,46,42,46,49,47,77,88,46,46,38415,1,42805,2,[]
278,42,61,59,69,36,57,14,48,44,55,50,44,36,40,47,45,70,81,50,45,38495,1,42886,2,[]
279,33,61,68,80,26,58,7,38,35,61,45,39,32,36,35,39,73,87,41,39,38545,1,42932,2,[]
280,31,55,72,90,21,48,6,35,33,59,38,36,31,34,29,36,78,83,33,39,38738,1,42999,2,[]
281,31,55,77,86,22,50,7,42,42,57,46,48,40,45,37,43,73,72,42,46,38804,1,43116,2,[]
282,38,58,82,78,31,56,17,50,43,55,45,48,33,38,42,47,62,63,48,50,38924,1,43392,2,[]
283,42,52,70,68,42,56,27,59,45,54,40,43,32,33,39,42,55,52,38,44,39229,1,43447,2,[]
284,41,55,57,59,47,53,41,56,40,52,42,45,40,45,45,47,50,47,42,46,39284,1,43500,2,[]
285,37,57,53,61,42,60,40,58,38,56,47,53,44,51,44,51,46,56,44,55,39334,1,43580,2,[]
286,40,54,51,60,46,56,46,54,41,54,50,47,43,46,50,46,51,48,50,48,39387,1,43631,2,[]
287,40,55,54,57,46,56,44,55,36,49,48,48,42,39,50,47,50,50,55,49,39468,1,43802,2,[]
288,39,58,51,63,44,56,44,55,41,55,43,42,30,38,45,43,51,45,53,46,39686,1,43855,2,[]
289,45,53,55,67,50,49,48,54,44,56,42,32,37,36,39,31,62,41,62,43,39741,1,43906,2,[]
290,39,50,52,56,45,47,46,50,44,49,42,32,47,38,30,22,72,43,63,41,39792,1,43989,2,[]
291,36,48,44,49,36,42,44,48,38,43,85,7,95,4,52,35,17,20,70,41,39877,1,44213,2,[]
292,28,50,50,59,32,37,47,57,33,38,93,5,70,17,52,32,25,22,58,44,39963,1,44315,2,[]
293,24,55,59,72,35,39,48,67,30,32,60,26,51,26,36,17,53,49,78,14,40116,1,44479,2,[]
294,20,51,69,81,32,40,45,72,31,33,57,33,52,35,44,15,49,50,66,20,40300,1,44697,2,[]
295,15,43,83,85,35,49,39,64,22,38,56,30,55,43,47,40,48,16,49,51,40479,1,44875,2,[]
296,15,43,83,82,42,57,42,56,9,31,47,45,41,31,48,19,45,48,44,34,41135,1,44946,2,[]
297,15,43,82,85,39,61,35,58,8,30,44,43,37,39,39,23,40,41,42,44,41186,1,44997,2,[]
298,10,92,82,85,39,62,35,58,5,42,42,36,33,33,27,17,49,35,35,37,41236,1,45081,2,[]
299,23,79,6,89,6,94,3,95,5,42,50,47,35,31,24,12,63,37,45,43,41290,1,45321,2,[]
300,14,80,14,86,3,96,33,70,22,74,49,48,35,31,23,13,74,43,50,47,41337,1,45458,2,[]
301,16,87,39,59,33,65,24,72,24,77,60,49,84,19,18,14,81,54,48,51,41497,1,45588,2,[]
302,41,61,38,65,34,64,36,74,26,77,67,57,72,31,19,14,82,57,64,52,41573,1,45663,2,[]
303,45,58,46,65,44,58,44,67,35,67,71,65,66,44,22,12,86,57,63,61,41736,1,45930,2,[]
304,48,59,50,60,51,51,52,66,44,58,95,4,66,56,62,57,90,56,64,58,41818,1,46203,2,[]
305,51,62,48,50,49,51,52,63,50,58,58,48,57,55,95,4,86,53,66,56,41948,1,46314,2,[]
306,54,65,47,48,48,49,46,52,47,52,56,47,57,55,54,45,73,50,57,49,42103,1,46449,2,[]
307,54,65,45,54,49,54,46,52,48,55,54,49,54,58,54,48,66,55,53,49,42168,1,46722,2,[]
308,52,61,52,60,48,56,47,57,50,59,50,51,52,53,51,51,58,56,52,52,42218,1,46776,2,[]
309,52,66,56,67,54,62,47,64,51,63,56,49,55,51,61,52,56,54,52,51,42271,1,46827,2,[]
310,54,67,52,64,52,61,51,64,49,60,46,50,56,53,64,57,54,54,53,54,42324,1,46959,2,[]
311,56,67,45,67,46,57,39,65,44,57,49,47,63,62,63,58,56,55,49,51,42374,1,47271,2,[]
312,56,67,52,64,44,57,41,57,43,58,46,50,63,68,53,58,48,53,48,52,42627,1,47366,2,[]
313,56,68,50,65,45,57,45,57,43,56,58,50,62,60,56,56,54,57,54,51,42842,1,47441,2,[]
314,58,69,55,67,53,64,51,60,51,62,60,52,56,54,65,56,66,56,59,51,42894,1,47491,2,[]
315,52,64,53,64,57,62,52,63,53,62,95,4,62,52,62,52,56,49,59,51,42969,1,47542,2,[]
316,54,65,65,64,66,64,59,63,62,63,89,14,81,19,62,52,65,54,50,47,43020,1,47593,2,[]
317,47,57,53,60,56,58,48,56,53,60,72,30,64,53,64,58,50,47,77,25,43092,1,47644,2,[]
318,47,58,48,54,50,50,46,50,49,52,62,40,65,56,61,56,55,45,68,34,43427,1,47697,2,[]
319,54,65,56,64,53,56,49,55,51,56,56,49,64,57,62,57,52,48,60,43,43480,1,47902,2,[]
320,52,63,57,63,55,55,52,60,56,63,52,54,61,57,63,59,57,54,55,54,43532,1,47951,2,[]
321,66,55,57,54,54,56,51,54,56,59,59,47,57,54,66,54,56,50,54,49,43584,1,48455,2,[]
322,66,54,63,53,55,58,59,61,65,58,64,51,55,51,61,51,59,60,62,52,43635,1,48508,2,['26:46 RNGKarsa(虚空遁地兽) 击杀了 LGDRD(深海泰坦)']
323,65,59,65,52,55,58,67,62,62,60,62,60,67,50,64,52,60,50,66,53,43686,1,49547,2,['26:54 RNGUzi(虚空之女) 击杀了 LGDLies(战争之影)']
324,68,69,65,52,55,58,66,63,68,67,66,65,69,67,67,61,67,66,67,64,43732,1,50135,2,['26:57 RNGUzi(虚空之女) 击杀了 LGDKramer(圣枪游侠)']
325,68,69,65,52,55,58,66,63,68,67,69,66,68,70,68,65,69,67,68,70,43786,1,50677,2,"['27:1 RNGKarsa(虚空遁地兽) 击杀了 LGDYuuki(解脱者)', '27:5 RNGUzi(虚空之女) 击杀了 LGDCondi(永恒梦魇)']"
326,55,58,68,67,68,69,65,52,66,63,59,60,65,71,66,66,68,66,64,64,43841,1,50732,2,[]
327,68,69,65,52,55,58,66,63,68,67,47,54,56,61,59,59,66,69,53,61,43896,1,51033,2,[]
328,66,63,68,69,65,52,55,58,68,67,41,45,48,51,45,47,70,68,44,50,43948,1,51086,2,['27:19 RNG 击杀了水龙']
329,68,69,65,52,4,94,66,63,68,67,31,34,36,39,35,38,77,78,33,44,44000,1,51155,2,[]
330,68,69,65,52,15,80,66,63,68,67,30,32,33,31,31,33,76,88,32,39,44054,1,51256,2,[]
331,68,69,65,52,25,71,66,63,68,67,30,31,34,31,31,33,74,89,32,31,44104,1,51481,2,[]
332,68,69,65,52,34,63,66,63,68,67,31,32,34,30,30,32,77,85,32,31,44155,1,53058,2,['27:40 RNG 击杀了大龙']
333,68,69,20,94,39,60,6,80,2,96,33,37,26,37,30,32,74,72,26,36,44227,1,53109,2,[]
334,17,93,38,93,36,61,8,65,16,84,85,10,24,39,22,44,68,63,23,46,44313,1,53386,2,[]
335,33,92,53,91,37,62,6,55,27,74,29,38,15,41,81,27,67,63,23,37,44631,1,53525,2,[]
336,46,91,70,89,37,61,8,55,36,63,95,4,42,36,19,34,80,41,95,4,44927,1,53678,2,[]
337,55,83,78,86,38,58,15,48,41,59,94,7,95,6,51,31,76,44,92,5,45285,1,53771,2,[]
338,55,84,80,84,38,62,21,54,47,65,47,17,85,24,71,48,91,10,82,21,45635,1,53970,2,[]
339,55,84,71,85,41,66,26,59,42,67,90,18,44,14,80,39,62,42,72,30,45821,1,54165,2,[]
340,47,75,62,75,38,59,38,59,32,59,46,16,76,52,59,48,92,36,66,40,45874,1,54307,2,[]
341,39,65,59,69,44,54,47,51,25,51,91,12,91,49,77,52,70,50,65,53,45995,1,54458,2,[]
342,40,61,68,78,49,51,50,51,16,50,78,25,82,56,57,46,92,61,62,62,46282,1,54666,2,[]
343,41,67,77,79,40,59,40,58,8,38,76,34,75,63,54,48,88,72,56,61,46375,1,54912,2,[]
344,38,65,71,88,36,65,36,62,8,34,80,48,74,72,55,53,87,77,56,66,46488,1,55031,2,[]
345,26,59,58,90,36,65,36,62,8,30,74,61,70,79,55,66,85,78,57,68,46669,1,55095,2,[]
346,15,88,4,92,21,48,51,93,7,37,73,75,76,87,57,71,86,86,57,71,46756,1,55148,2,[]
347,21,45,50,94,16,79,22,74,12,25,62,84,68,92,49,79,74,90,49,79,46802,1,55829,3,['28:55 RNG 击破了防御塔']
348,17,43,45,93,26,85,34,76,15,20,56,90,59,90,50,91,64,90,43,79,46903,1,55878,3,[]
349,17,43,41,87,30,84,29,83,24,10,51,94,53,87,50,94,54,93,46,82,47128,1,55930,3,[]
350,20,94,35,85,31,82,32,91,26,8,45,92,47,89,49,92,54,84,51,89,47181,1,56532,3,[]
351,34,92,32,75,31,90,36,91,25,7,44,93,48,83,47,88,57,69,45,88,47233,1,56667,4,['29:13 RNGUzi(虚空之女) 击破了防御塔']
352,29,94,38,62,28,89,30,90,25,7,41,88,40,86,42,90,48,60,41,89,47374,1,56968,4,[]
353,28,92,44,48,29,92,30,92,26,7,47,79,40,86,42,82,44,50,41,82,48044,2,57019,4,['29:25 LGDYuuki(解脱者) 击破了防御塔']
354,34,92,34,39,34,92,31,93,16,8,43,68,40,85,40,68,44,52,38,76,48330,2,57184,4,[]
355,33,90,34,39,33,90,32,91,16,8,43,68,41,71,39,60,43,53,40,70,48472,2,57428,4,[]
356,8,94,6,94,29,80,30,81,28,80,45,70,45,71,37,65,39,55,37,66,48526,2,58029,4,[]
357,25,72,22,89,27,77,26,73,18,85,33,69,36,76,31,67,31,65,31,68,48576,2,58304,5,['29:43 RNG 击破了防御塔']
358,23,72,36,90,25,76,22,73,30,81,31,71,35,80,32,73,32,73,32,76,48711,2,58386,5,[]
359,23,77,47,92,24,78,22,75,28,83,35,83,41,88,36,86,30,71,34,82,48804,2,58569,5,[]
360,27,70,62,90,29,81,26,70,29,81,44,88,62,90,44,91,34,69,42,90,49036,2,58642,5,[]
361,28,68,71,79,28,71,26,70,31,87,43,88,70,82,56,85,36,65,38,88,49242,2,58694,5,[]
362,29,68,73,63,25,69,27,69,27,87,34,88,62,83,60,90,35,67,35,89,49342,2,58787,5,[]
363,19,78,77,52,27,79,29,68,28,90,37,91,49,89,47,91,37,66,36,90,49496,2,59026,5,[]
364,8,86,77,52,27,89,27,80,27,92,35,94,35,89,35,93,31,67,35,91,49568,2,59105,5,[]
365,4,98,11,94,24,93,22,89,19,93,31,89,29,93,31,94,33,80,26,93,49620,2,59869,5,[]
366,18,92,23,89,24,93,22,93,23,95,29,94,29,95,29,95,29,89,27,92,49674,2,60353,6,"['30:26 RNGUzi(虚空之女) 击破了防御塔', '30:28 RNGKarsa(虚空遁地兽) 击杀了 LGDRD(深海泰坦)']"
367,11,94,16,89,24,93,15,93,17,94,15,94,18,94,17,95,18,93,17,93,49720,2,61428,6,"['30:33 RNGUzi(虚空之女) 击杀了 LGDKramer(圣枪游侠)', '30:35 RNGXiaohu(万花通灵) 击杀了 LGDYuuki(解脱者)']"
368,3,97,16,96,24,93,15,93,17,94,15,94,20,92,18,93,20,92,17,93,49775,2,61663,6,['30:37 RNGUzi(虚空之女) 击杀了 LGDLies(战争之影)']
369,5,94,16,96,24,93,15,93,17,94,16,91,16,88,17,90,15,89,16,90,49821,2,61960,6,[]
370,3,96,16,96,24,93,15,93,17,94,9,92,9,85,11,85,9,85,12,86,51022,2,62292,8,"['30:46 RNG 击破了防御塔', '30:49 RNGMing(正义巨像) 击破了防御塔']"
371,4,96,16,96,24,93,15,93,17,94,9,94,8,91,9,92,9,91,12,89,51075,2,62392,8,['30:53 LGDCondi(永恒梦魇) 击杀了 RNGUzi(虚空之女)']
372,16,96,17,94,15,93,4,96,24,93,9,92,9,94,12,89,9,91,8,91,0,2,0,8,['31:0 RNG 获胜']
