,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
209,63,68,31,60,67,67,74,71,62,68,95,5,58,50,57,42,49,50,46,48,0,1,0,1,[]
210,54,64,39,59,55,63,82,78,53,64,93,17,46,54,48,49,44,49,47,53,0,1,0,1,[]
211,44,58,39,56,52,60,86,79,45,58,92,30,44,48,44,50,40,44,46,48,0,1,0,1,[]
212,44,58,33,60,65,62,89,75,47,57,91,42,43,44,36,40,35,39,48,41,0,1,0,1,[]
213,46,58,22,65,75,57,89,73,59,61,91,55,43,44,26,32,35,39,48,41,0,1,0,1,[]
214,49,58,9,63,74,57,90,74,67,53,90,67,89,16,18,24,93,9,93,6,0,1,0,1,[]
215,48,56,5,51,75,59,77,74,61,59,92,71,83,27,11,20,85,18,87,17,0,1,0,1,[]
216,47,54,5,46,74,59,77,78,50,53,84,63,80,39,19,24,76,26,77,25,0,1,0,1,[]
217,53,56,8,43,75,64,82,81,59,58,83,60,77,52,12,23,62,39,62,39,0,1,0,1,[]
218,57,55,6,33,68,63,83,79,68,63,84,62,77,55,14,21,57,45,58,46,0,1,0,1,[]
219,55,58,7,30,68,64,73,77,67,64,92,73,71,63,18,24,54,47,57,48,0,1,0,1,[]
220,55,57,8,25,55,64,61,83,56,66,88,75,65,57,27,31,53,44,66,48,0,1,0,1,[]
221,53,56,8,25,45,64,60,84,56,67,89,84,65,52,37,39,49,48,68,50,0,1,0,1,[]
222,44,58,8,17,41,66,57,84,4,95,88,84,61,58,44,49,48,48,64,57,0,1,0,1,[]
223,36,58,17,15,40,57,54,85,6,95,83,85,55,58,45,57,42,52,53,57,0,1,0,1,[]
224,37,59,18,15,37,62,54,85,14,86,80,86,46,57,42,53,45,54,46,58,0,1,0,1,[]
225,34,62,20,12,32,64,2,96,23,78,71,81,44,46,42,43,47,50,49,49,0,1,0,1,[]
226,38,59,17,16,32,64,8,95,31,68,77,73,42,44,41,32,51,48,55,56,0,1,0,1,[]
227,36,57,29,9,5,95,14,95,37,60,77,78,42,45,47,22,47,51,49,52,0,1,0,1,[]
228,42,55,37,9,14,90,29,84,42,55,78,76,41,37,42,15,54,47,57,50,0,1,0,1,[]
229,43,56,24,11,27,89,45,90,48,55,78,76,42,24,44,9,50,43,49,42,0,1,0,1,[]
230,39,59,19,22,40,87,53,88,49,60,94,13,42,18,37,6,53,49,53,48,0,1,0,1,[]
231,2,96,27,32,48,78,63,90,47,64,91,26,42,18,34,10,52,57,52,54,0,1,0,1,[]
232,14,90,25,37,51,67,71,88,51,65,89,39,44,16,36,8,50,48,49,48,0,1,0,1,[]
233,22,81,21,50,54,61,83,78,52,60,89,52,51,26,46,15,53,46,50,42,0,1,0,1,[]
234,30,72,23,56,59,63,87,75,62,61,91,60,51,36,51,26,49,48,50,49,0,1,0,1,[]
235,38,60,21,50,56,62,86,77,54,62,91,64,47,37,47,35,42,52,44,51,0,1,0,1,[]
236,41,58,19,47,53,61,89,73,43,58,92,67,50,49,38,38,47,49,48,51,0,1,0,1,[]
237,41,65,13,35,66,64,89,73,45,55,90,70,56,56,25,30,54,54,56,50,0,2,0,1,[]
238,46,73,10,24,75,57,70,78,44,55,91,68,50,50,16,19,52,49,50,48,0,2,0,1,[]
239,45,70,10,25,66,61,58,75,43,57,93,71,44,48,16,16,47,49,48,50,0,2,0,1,[]
240,42,59,7,30,53,61,42,68,46,55,89,83,44,51,12,22,47,48,50,48,0,2,0,1,[]
241,42,56,6,34,48,66,42,58,43,55,76,89,42,45,12,23,50,45,48,42,0,2,0,1,[]
242,32,59,8,31,36,63,42,58,42,53,70,80,42,45,19,24,49,41,48,41,0,2,0,1,[]
243,26,51,7,29,29,52,40,69,33,49,62,84,88,8,19,24,49,41,93,4,0,2,0,1,[]
244,20,50,6,33,18,47,41,84,32,46,72,76,72,17,92,6,95,4,79,15,0,2,0,1,[]
245,28,51,6,33,15,43,47,90,32,48,75,64,61,24,78,17,51,49,70,25,0,2,0,1,[]
246,40,52,11,91,23,50,46,91,36,50,78,51,51,32,69,26,50,51,61,34,0,2,0,1,[]
247,40,57,25,89,35,49,59,91,36,50,74,44,39,37,59,33,48,52,51,41,0,2,0,1,[]
248,41,58,30,80,32,49,74,88,7,92,78,51,32,38,46,33,40,45,41,38,0,2,0,1,[]
249,36,57,36,75,32,52,73,88,20,82,84,59,30,37,35,35,32,38,32,41,0,2,0,1,[]
250,31,53,47,69,2,96,67,90,28,72,85,64,31,35,25,29,34,37,32,39,0,2,0,1,[]
251,38,59,58,70,13,84,67,90,36,62,89,76,41,43,18,19,43,44,43,45,0,2,0,1,[]
252,42,54,52,77,25,76,3,91,42,57,84,67,33,39,20,19,43,46,45,47,0,2,0,1,[]
253,42,56,54,83,31,69,4,83,44,56,79,75,20,37,17,17,33,40,35,39,0,2,0,1,[]
254,44,58,58,83,31,56,10,71,43,55,80,86,14,35,14,21,22,38,22,38,0,2,0,1,[]
255,39,52,58,83,31,45,22,66,35,48,76,74,8,31,9,28,28,35,27,35,0,2,0,1,[]
256,41,51,61,87,34,38,18,60,37,41,67,64,8,30,10,27,47,34,47,34,0,2,0,1,[]
257,43,53,57,89,26,36,17,50,41,45,59,61,14,21,15,22,58,34,59,35,0,2,0,2,[]
258,44,53,57,90,33,42,9,40,33,43,54,65,23,29,19,32,54,44,54,46,0,2,0,2,[]
259,43,51,54,88,36,48,8,30,39,51,50,65,35,38,17,22,52,51,51,51,0,2,0,2,[]
260,42,55,59,85,32,45,8,27,43,53,57,62,37,37,14,21,49,50,48,40,0,2,0,2,[]
261,37,57,68,82,32,46,9,28,34,48,69,67,42,38,16,21,50,44,49,42,0,2,0,2,[]
262,40,56,73,86,34,38,13,35,34,40,78,76,41,33,24,22,49,33,49,42,0,2,0,2,[]
263,40,51,78,89,24,36,19,35,25,37,78,84,41,33,30,22,53,27,94,4,0,2,0,2,[]
264,46,53,68,93,34,41,24,36,35,41,68,91,87,16,39,25,56,33,92,5,0,2,0,2,[]
265,45,52,64,92,45,37,18,24,44,42,78,85,75,26,52,28,56,41,86,9,0,2,0,2,[]
266,40,56,67,92,40,39,14,19,45,37,81,81,65,33,59,38,54,43,76,21,0,2,0,2,[]
267,40,56,68,92,31,48,11,32,35,39,84,79,51,34,56,42,54,41,66,29,0,2,0,2,[]
268,9,84,68,91,34,60,17,43,35,39,95,4,53,33,60,44,56,45,57,38,0,2,0,2,[]
269,20,75,68,91,42,67,21,53,8,93,93,20,56,39,53,48,51,48,50,42,0,2,0,2,[]
270,30,67,14,91,41,56,28,59,21,81,92,35,47,37,53,47,51,49,48,35,0,2,0,2,[]
271,39,60,28,83,37,50,41,57,29,71,90,48,41,31,46,37,47,41,43,33,0,2,0,2,[]
272,39,54,38,74,32,44,40,55,37,60,89,61,36,40,48,40,49,43,41,37,0,2,0,2,[]
273,39,50,49,67,34,38,44,54,44,54,87,74,44,42,55,47,50,46,49,42,0,2,0,2,[]
274,44,54,60,61,44,43,45,49,45,49,82,83,55,46,59,49,54,49,52,44,0,2,0,2,[]
275,46,53,57,66,46,47,46,51,46,50,75,71,54,49,67,53,53,48,51,44,0,2,0,2,[]
276,47,53,64,77,46,53,49,48,49,53,72,64,59,47,62,52,56,46,54,44,0,2,0,2,[]
277,44,51,71,86,40,51,37,50,44,48,74,53,60,51,65,50,53,45,50,44,0,2,0,2,[]
278,42,44,72,90,32,42,34,40,44,38,75,58,64,59,74,53,62,50,51,42,0,2,0,2,[]
279,42,43,71,88,33,32,32,35,38,37,73,63,70,64,67,45,58,50,55,47,0,2,0,2,[]
280,38,40,64,77,33,31,31,34,33,35,67,61,59,58,58,44,51,49,51,43,0,2,0,2,[]
281,34,39,64,78,32,41,24,39,32,40,55,55,47,52,49,47,46,48,42,39,0,2,0,2,[]
282,31,53,56,68,32,50,29,52,31,52,44,56,42,55,44,52,45,55,43,47,0,2,0,2,[]
283,30,60,43,67,32,60,29,59,33,59,47,56,46,54,47,50,48,52,50,47,0,2,0,3,[]
284,34,62,42,68,28,65,30,63,38,64,57,61,61,60,45,37,58,45,49,43,0,2,0,3,[]
285,31,63,50,82,28,65,30,63,40,65,74,62,67,62,38,26,69,40,94,4,0,2,0,3,[]
286,38,64,56,83,16,88,3,96,3,96,85,66,67,63,47,22,64,41,80,14,0,2,0,3,[]
287,34,59,57,83,26,78,20,82,16,84,88,77,92,5,43,11,63,41,70,25,0,2,0,3,[]
288,44,55,56,83,33,67,38,64,26,74,87,68,77,14,37,7,63,41,62,34,0,2,0,3,[]
289,48,50,60,85,43,58,49,53,35,64,84,56,65,21,43,6,90,12,55,43,0,2,0,3,[]
290,54,47,67,80,53,49,56,47,45,56,82,56,63,32,43,6,78,23,57,43,0,2,0,3,[]
291,55,47,59,69,52,47,54,45,54,47,82,56,58,41,95,4,69,33,61,39,0,2,0,3,[]
292,50,49,62,74,52,50,51,45,52,48,95,4,60,40,61,41,59,39,62,37,0,2,0,3,[]
293,51,48,70,84,50,48,50,43,50,47,83,16,58,41,58,42,57,41,60,35,0,2,0,3,[]
294,54,45,80,84,56,47,52,44,55,47,74,27,62,41,63,39,59,41,60,40,0,2,0,3,[]
295,55,44,81,86,57,45,56,41,57,43,63,35,59,40,66,44,63,38,63,38,0,2,0,3,[]
296,55,43,83,83,58,44,55,42,54,47,63,35,67,33,66,35,65,34,69,32,0,3,0,3,[]
297,49,40,80,75,49,52,46,44,49,48,59,41,67,33,66,29,67,27,70,29,0,3,0,3,[]
298,47,45,75,71,51,64,34,37,46,50,59,42,64,26,58,22,67,27,70,28,0,3,0,3,[]
299,50,49,75,71,46,64,23,40,50,49,69,41,64,26,50,17,91,11,70,28,0,3,0,3,[]
300,48,54,2,96,48,65,20,47,48,50,80,48,92,6,46,11,79,24,93,5,0,3,0,3,[]
301,46,67,19,88,2,96,24,56,41,57,91,61,83,20,48,7,68,31,80,17,0,3,0,3,[]
302,45,71,33,89,11,83,33,60,41,57,90,71,73,28,46,6,66,35,70,27,0,3,0,3,[]
303,39,65,47,88,22,72,31,57,2,96,87,77,62,32,46,6,57,33,61,35,0,3,0,3,[]
304,31,57,60,90,31,62,21,50,15,84,79,82,56,43,95,4,58,34,56,41,0,3,0,3,[]
305,30,52,70,90,32,48,20,49,24,73,81,81,45,38,76,6,52,44,51,47,0,3,0,3,[]
306,24,48,64,77,33,40,26,51,33,63,87,85,42,34,62,8,48,49,47,49,0,3,0,3,[]
307,24,48,71,78,31,54,34,59,37,59,87,85,34,40,50,9,42,46,36,42,0,3,0,3,[]
308,6,90,72,77,36,49,36,62,39,58,84,83,35,36,37,10,40,40,46,34,0,3,0,3,[]
309,17,78,70,88,37,48,34,61,38,48,86,74,34,32,28,11,49,41,52,29,0,3,0,3,[]
310,25,70,77,87,45,54,2,96,45,53,83,62,47,37,29,16,51,42,46,38,0,3,0,3,[]
311,32,62,87,77,56,61,17,85,46,55,78,54,47,40,29,21,52,46,51,45,0,3,0,3,[]
312,42,56,86,78,51,63,27,74,43,56,79,54,44,42,39,29,50,49,49,48,0,3,0,3,[]
313,41,58,87,78,44,67,36,63,42,56,87,54,49,49,46,39,53,51,51,51,0,3,0,3,[]
314,40,56,77,79,33,60,35,58,39,53,90,65,55,47,53,47,55,48,49,48,0,3,0,3,[]
315,34,47,64,77,32,48,30,49,32,45,91,69,45,39,49,46,51,50,51,48,0,3,0,3,[]
316,32,44,57,69,32,37,30,39,35,39,92,65,38,37,44,43,45,45,43,46,0,3,0,3,[]
317,31,54,47,72,32,33,21,37,33,48,92,65,45,47,48,49,45,48,46,51,0,3,0,3,[]
318,36,59,51,83,31,45,12,35,32,59,90,13,50,59,45,54,50,54,49,53,0,3,0,3,[]
319,35,62,55,84,31,54,21,44,35,62,78,25,62,62,53,60,53,52,49,43,0,3,0,3,[]
320,36,58,55,84,32,41,28,35,38,57,69,35,66,63,52,56,63,61,42,32,0,3,0,3,[]
321,32,45,46,80,31,38,18,24,31,54,72,44,66,62,48,46,65,64,41,31,0,3,0,3,[]
322,32,53,50,82,35,30,13,22,33,41,78,51,63,62,53,44,67,62,51,33,0,3,0,3,[]
323,32,59,56,85,32,33,22,29,39,37,84,58,53,50,52,49,61,59,51,33,0,3,0,3,[]
324,39,55,64,88,31,39,23,28,32,46,85,64,48,38,51,50,52,50,92,4,0,3,0,3,[]
325,42,56,71,85,23,26,20,15,42,54,86,78,41,31,55,48,57,40,78,16,0,3,0,3,[]
326,41,57,71,89,19,25,20,14,43,55,84,81,43,24,59,36,57,39,69,28,0,3,0,3,[]
327,31,58,62,88,19,25,12,20,36,59,79,78,43,24,57,23,95,4,60,36,0,3,0,3,[]
328,31,58,69,89,11,83,12,20,36,59,73,77,85,9,51,11,95,4,58,38,0,3,0,3,[]
329,40,56,56,89,23,72,10,91,2,96,75,78,67,19,44,11,54,30,54,42,0,3,0,3,[]
330,44,55,61,86,35,65,23,79,8,93,76,88,57,29,42,16,57,33,54,45,0,3,0,3,[]
331,46,53,65,82,44,54,33,69,18,79,72,87,45,36,30,16,54,44,53,48,0,3,0,3,[]
332,48,50,61,91,43,44,44,67,28,71,76,87,35,38,23,9,56,42,56,44,0,3,0,3,[]
333,41,45,61,91,35,38,42,57,35,61,76,77,42,33,26,11,50,41,52,46,0,3,0,3,[]
334,39,53,58,89,36,41,44,48,43,53,72,70,38,39,32,22,48,42,46,40,0,3,0,3,[]
335,32,59,67,83,31,50,42,52,44,55,61,61,43,42,40,33,51,49,49,48,0,3,0,3,[]
336,31,59,61,77,33,59,41,57,40,59,61,61,39,43,43,45,49,50,47,50,0,3,0,3,[]
337,28,60,58,71,35,58,42,58,41,59,71,69,32,33,43,52,39,43,40,42,0,3,0,3,[]
338,34,59,58,70,36,48,44,49,38,49,80,78,33,35,44,36,42,38,34,39,0,3,0,3,[]
339,42,53,59,81,33,42,49,48,43,51,80,85,41,30,57,32,51,32,26,31,0,3,0,3,[]
340,50,47,61,92,34,36,55,45,42,42,71,87,42,18,61,33,51,33,25,26,0,3,0,3,[]
341,53,45,54,91,41,29,50,46,44,37,64,90,43,17,61,33,58,37,30,18,0,3,0,3,[]
342,44,42,54,91,36,23,45,36,42,25,63,90,43,17,88,15,62,37,36,15,0,3,0,3,[]
343,33,39,57,91,30,18,35,38,31,21,74,87,38,16,75,25,61,36,36,15,0,3,0,3,[]
344,20,37,55,92,23,28,35,38,25,30,75,76,46,16,66,35,57,42,44,15,0,3,0,3,[]
345,12,34,52,92,23,34,2,96,21,40,73,63,47,23,59,46,54,46,45,15,0,3,0,3,[]
346,9,34,53,90,23,34,15,83,21,41,74,54,42,32,69,50,47,46,95,4,0,3,0,3,[]
347,11,39,49,92,11,85,37,65,3,95,71,63,42,32,58,50,50,47,95,4,0,3,0,3,[]
348,15,41,49,92,25,76,46,55,16,82,67,65,95,4,54,48,53,43,49,34,0,3,0,3,[]
349,19,46,3,96,31,64,50,52,26,71,78,76,81,12,58,42,57,41,56,33,0,3,0,3,[]
350,26,52,6,95,31,51,46,45,32,60,82,86,67,19,58,34,56,33,60,36,0,3,0,3,[]
351,22,53,10,95,34,39,55,45,32,48,83,84,57,29,58,34,57,33,59,34,0,3,0,3,[]
352,29,51,28,93,38,36,51,47,40,44,95,4,60,35,88,8,57,39,61,39,0,3,0,3,[]
353,40,51,42,92,45,33,48,48,53,48,87,16,54,32,74,20,58,38,60,39,0,3,0,3,[]
354,49,48,55,93,42,38,50,52,47,48,74,28,49,34,66,32,56,44,58,42,0,3,0,3,[]
355,42,53,66,89,43,51,44,51,43,53,64,37,47,39,56,41,54,45,55,46,0,3,0,3,[]
356,37,57,72,91,32,47,32,45,41,55,73,43,38,39,46,40,49,49,48,41,0,3,0,3,[]
357,37,57,65,89,32,43,36,41,38,52,61,37,45,34,40,39,47,41,47,37,0,3,0,3,[]
358,11,83,57,83,32,43,31,35,43,55,52,41,48,40,47,40,50,45,51,45,0,3,0,3,[]
359,23,73,55,83,40,44,33,47,41,57,49,44,47,51,49,51,50,51,49,52,0,3,0,3,[]
360,34,64,46,74,35,43,39,54,37,57,41,41,43,44,46,48,44,54,48,52,0,3,0,3,[]
361,37,62,40,65,32,50,34,61,35,60,49,51,45,49,43,53,41,54,43,55,0,3,0,3,[]
362,45,56,42,60,45,51,45,56,45,55,59,58,48,43,50,45,53,47,52,46,0,3,0,3,[]
363,55,46,50,50,54,43,57,45,55,45,66,53,60,37,57,38,60,39,58,40,0,3,0,3,[]
364,51,41,55,42,53,41,56,44,56,43,65,41,64,34,60,35,71,34,65,35,0,3,0,3,[]
365,44,38,43,39,49,41,50,45,49,46,57,48,61,37,53,32,73,34,62,32,0,3,0,3,[]
366,34,33,36,37,42,39,42,43,44,44,48,52,56,43,60,37,95,4,62,32,0,3,0,3,[]
367,33,32,35,39,32,32,34,37,38,39,45,53,54,45,53,46,92,6,90,5,0,3,0,3,[]
368,35,32,33,31,33,32,31,32,34,35,39,51,48,40,52,42,54,30,54,30,0,3,0,3,[]
369,28,33,28,33,28,33,24,38,24,37,33,49,41,34,40,39,43,36,46,38,0,3,0,3,[]
370,20,37,19,35,20,37,20,39,18,43,24,50,36,40,33,43,34,42,35,39,0,3,0,3,[]
371,15,34,9,40,18,34,16,34,13,36,18,44,24,37,24,50,27,50,32,41,0,3,0,3,[]
372,5,37,5,32,7,32,9,30,8,39,14,36,12,34,14,47,14,48,20,37,0,3,0,3,[]
373,8,29,9,29,5,30,7,29,5,33,7,40,13,35,9,39,9,38,11,34,0,3,0,3,[]
374,12,21,7,18,10,21,12,22,6,21,6,27,10,29,8,29,8,29,11,28,0,3,0,3,[]
375,17,22,7,17,15,21,15,19,13,21,8,22,10,28,8,29,10,30,10,29,0,3,0,3,[]
376,18,24,8,20,17,21,16,22,14,18,9,19,8,25,10,27,9,21,10,25,0,3,0,3,[]
377,11,22,7,22,11,28,8,29,9,23,6,22,19,34,10,29,9,21,16,34,0,3,0,3,[]
378,9,19,8,22,11,22,6,21,10,22,6,22,28,35,10,29,9,21,26,37,0,3,0,3,[]
379,21,12,19,16,20,13,2,96,21,12,6,22,35,36,10,29,9,21,37,39,0,3,0,3,[]
380,30,9,30,11,31,9,18,85,32,10,6,22,48,35,10,29,9,21,48,46,0,3,0,3,[]
381,43,8,43,9,41,15,29,73,44,10,6,22,53,34,10,29,9,21,61,50,0,3,0,3,[]
382,52,9,52,8,41,16,40,61,53,10,6,22,53,34,10,29,9,21,64,57,0,4,0,3,[]
383,62,8,61,9,48,10,46,52,62,9,6,22,95,4,10,29,9,21,64,57,0,4,0,3,[]
384,68,10,68,7,62,10,54,44,68,9,6,22,78,9,10,29,9,21,91,5,0,4,0,3,[]
385,70,10,72,7,64,12,60,36,72,10,6,22,80,14,10,29,9,21,79,17,0,5,0,3,[]
386,59,11,62,8,65,11,61,35,59,11,6,22,74,14,10,29,91,11,78,12,0,5,0,3,[]
387,56,11,59,9,17,89,56,33,54,11,6,22,74,19,10,29,77,18,77,14,0,6,0,3,[]
388,2,96,2,96,31,81,47,35,2,96,6,22,73,33,89,6,68,10,71,22,0,6,0,3,[]
389,21,90,11,92,41,71,2,96,21,90,6,22,73,43,76,18,63,7,63,22,0,6,0,3,[]
390,34,88,29,92,45,63,15,89,36,88,81,13,76,45,67,31,53,11,55,18,0,6,0,3,[]
391,47,79,42,92,55,67,29,82,46,79,72,21,82,55,64,33,39,10,52,26,0,6,0,3,[]
392,52,78,56,92,57,65,41,76,55,75,63,36,83,56,66,35,32,9,50,24,0,6,0,3,[]
393,57,81,65,92,66,66,57,74,58,63,66,42,81,54,63,36,35,9,50,21,0,6,0,3,[]
394,59,83,66,91,66,67,59,68,58,63,62,52,81,54,59,34,46,15,95,4,0,6,0,3,[]
395,60,84,19,92,71,70,51,63,61,63,75,49,85,10,60,44,51,21,80,17,0,6,0,3,[]
396,14,94,34,90,77,77,48,54,72,70,88,54,74,23,61,37,52,21,71,27,0,6,0,3,[]
397,23,82,47,91,85,79,42,57,83,78,94,53,75,35,66,31,94,5,70,34,0,6,0,3,[]
398,28,71,61,89,89,80,29,59,82,78,84,50,74,35,67,33,83,20,78,33,0,6,0,3,[]
399,34,64,70,83,8,95,20,51,73,74,78,37,74,34,68,31,88,35,68,32,0,6,0,3,[]
400,43,56,79,78,27,92,20,51,72,69,75,34,82,35,75,33,90,45,73,32,0,6,0,3,[]
401,49,52,77,74,41,91,30,59,70,64,85,37,88,38,78,35,91,50,84,37,0,6,0,3,[]
402,51,50,84,78,55,90,45,58,63,58,73,31,83,34,67,26,91,50,91,47,0,6,0,3,[]
403,60,57,89,76,68,88,59,62,64,52,64,35,73,31,62,14,86,37,87,38,0,6,0,3,[]
404,71,62,90,71,71,77,72,63,68,56,60,37,73,28,51,10,83,37,75,32,0,6,0,3,[]
405,80,65,90,63,74,64,74,61,75,58,65,31,81,28,49,7,89,40,79,25,0,6,0,3,[]
406,87,52,93,52,80,52,81,51,82,49,67,33,85,26,57,7,92,41,89,15,0,6,0,3,[]
407,89,49,89,47,87,46,87,49,93,53,66,37,89,30,59,8,91,34,93,9,0,6,0,3,[]
408,91,39,88,39,91,37,79,51,90,45,79,32,92,29,70,16,89,28,84,26,0,7,0,3,[]
409,93,36,86,35,92,36,81,39,85,35,89,28,94,30,79,27,90,28,81,29,0,7,0,3,[]
410,93,39,78,37,84,35,91,39,89,38,88,28,92,28,84,27,89,29,87,30,0,7,0,3,[]
411,92,39,81,35,87,43,92,38,90,50,80,18,91,28,83,34,89,30,88,30,0,7,0,3,[]
412,92,37,81,38,85,36,91,38,90,39,73,10,90,30,86,27,89,28,89,29,0,7,0,3,[]
413,92,28,88,30,87,29,92,30,89,28,76,13,91,20,92,15,89,22,89,22,0,8,0,3,[]
414,92,20,87,22,92,16,89,19,91,19,84,14,93,12,93,10,90,21,89,21,0,8,0,3,[]
415,85,17,84,13,85,12,85,16,89,15,91,7,92,12,93,10,90,21,89,21,0,10,0,3,[]
416,84,14,85,14,87,14,91,15,86,14,91,12,86,14,92,9,90,21,89,21,0,10,0,3,[]
417,82,11,85,14,86,14,90,11,86,14,87,14,86,14,92,9,90,21,89,21,0,10,0,3,[]
418,82,11,85,14,86,14,90,11,86,14,87,14,86,14,92,9,90,21,89,21,0,10,0,3,[]
