,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, , , ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
157,69,91,73,89,70,89,73,92,23,13,29,9,77,91,76,88,77,89,75,87,0,0,0,0,[]
158,73,91,73,89,70,88,73,92,22,10,26,6,76,90,76,87,76,87,78,90,0,0,0,0,['13:10 FPXLwx(战争女神) 击杀了 V5Windy(荒漠屠夫)']
159,74,92,73,89,59,91,66,92,27,11,29,7,79,91,70,90,69,90,71,91,0,0,0,0,"['13:13 V5Max(牛头酋长) 击杀了 FPXTian(凛冬之怒)', '13:13 FPXLwx(战争女神) 击杀了 V5Ben4(蜘蛛女皇)']"
160,74,92,73,89,46,94,63,93,28,18,28,6,79,91,69,92,67,91,64,92,0,0,0,1,"['13:17 FPXLwx(战争女神) 击破了防御塔,获得一塔', '13:16 FPXLwx(战争女神) 击杀了 V5Max(牛头酋长)']"
161,74,92,73,89,49,90,63,93,25,22,21,11,79,91,69,92,67,91,70,83,0,0,0,1,[]
162,74,92,73,89,53,93,63,93,18,17,27,16,79,91,92,7,95,4,60,73,0,0,0,1,[]
163,74,92,73,89,55,90,63,93,18,16,28,20,79,91,91,17,49,47,48,67,0,0,0,1,[]
164,74,92,3,96,46,81,6,90,16,18,23,13,79,91,84,29,43,53,52,67,0,0,0,1,[]
165,15,94,4,93,44,69,15,79,11,28,19,13,82,5,75,41,41,54,52,67,0,0,0,1,[]
166,30,92,5,82,40,65,26,70,15,39,20,25,70,7,75,44,47,49,88,7,0,0,0,1,[]
167,44,91,6,69,42,55,37,60,20,45,8,19,57,10,77,48,54,47,75,18,0,0,0,1,[]
168,54,85,7,57,46,54,46,52,17,49,11,24,45,12,83,57,54,46,68,30,0,0,0,1,[]
169,50,80,5,45,44,52,45,51,17,49,11,21,43,18,83,61,54,47,58,42,0,0,0,1,[]
170,45,69,5,37,36,47,33,49,2,96,13,22,43,18,83,61,53,44,51,48,0,0,0,1,[]
171,45,64,5,29,33,47,30,40,11,95,16,22,43,17,83,61,48,35,49,42,0,0,0,1,[]
172,46,65,11,30,40,57,38,51,23,94,95,4,48,27,91,5,47,38,43,34,0,0,0,1,[]
173,50,61,11,30,44,54,46,58,35,94,93,11,47,27,78,5,50,46,46,40,0,0,0,1,[]
174,42,54,11,29,45,53,45,53,47,93,85,22,41,28,63,7,53,48,55,50,0,0,0,1,[]
175,33,47,11,28,43,54,42,54,59,93,80,33,36,37,49,8,51,51,50,52,0,0,0,1,[]
176,34,47,11,26,40,53,42,53,69,90,80,46,32,36,35,10,51,44,50,50,0,0,0,1,[]
177,34,43,13,23,32,46,36,48,73,88,75,57,23,29,21,13,49,42,44,43,0,0,0,1,[]
178,34,43,11,24,39,49,34,42,70,80,71,66,20,27,14,17,51,42,41,44,0,0,0,1,[]
179,34,40,10,27,46,53,35,39,60,72,69,64,24,32,20,25,50,44,44,37,0,0,0,1,[]
180,32,45,9,27,41,52,30,46,52,63,70,65,31,44,29,36,49,48,34,41,0,0,0,1,[]
181,31,46,9,27,31,46,31,41,33,47,57,57,34,41,31,38,37,42,33,40,0,0,0,1,[]
182,35,42,35,43,39,42,33,38,34,42,47,49,43,37,39,37,40,38,38,39,0,0,0,1,['15:9 V5Mole(符文法师) 击杀了 FPXCrisp(深海泰坦)']
183,35,42,34,37,37,40,35,39,40,33,38,40,43,38,41,35,41,39,38,39,0,0,0,1,['15:14 FPXGimGoon(解脱者) 击杀了 V5y4(虚空之女)']
184,31,40,32,44,37,40,28,38,40,32,30,39,36,38,38,38,36,38,38,39,0,0,0,1,"['15:17 FPXLwx(战争女神) 击杀了 V5Mole(符文法师)', '15:18 FPXGimGoon(解脱者) 击杀了 V5Ben4(蜘蛛女皇)']"
185,31,40,38,50,37,40,20,37,40,32,25,37,36,48,24,38,39,44,38,39,0,0,0,1,[]
186,31,40,40,58,37,40,19,34,40,32,25,37,29,51,20,28,49,48,38,39,0,0,0,1,['15:27 FPXDoinb(放逐之刃) 击杀了 V5Max(牛头酋长)']
187,31,40,38,59,37,40,19,34,40,32,20,27,41,51,13,19,46,51,38,39,0,0,0,1,[]
188,31,40,35,60,37,40,19,34,40,32,12,23,40,57,12,21,41,57,89,9,0,0,0,1,[]
189,31,40,31,64,37,40,19,34,40,32,8,29,40,57,7,29,36,60,79,15,0,0,0,1,[]
190,6,95,35,61,6,91,5,95,40,32,5,31,46,64,7,29,45,53,69,29,0,0,0,2,['15:46 FPXLwx(战争女神) 击破了防御塔']
191,21,94,30,60,13,80,15,85,8,96,9,30,51,62,6,26,43,56,61,40,0,0,0,3,['15:54 FPX 击破了防御塔']
192,38,88,34,59,24,71,28,74,22,94,7,35,51,62,7,19,48,51,52,52,0,0,0,3,[]
193,47,78,20,53,33,63,34,65,34,93,7,29,92,10,7,19,48,51,57,63,0,0,0,3,[]
194,45,70,13,49,39,65,39,66,46,93,7,29,85,23,91,15,92,9,60,76,0,0,0,3,[]
195,41,67,8,49,44,68,46,68,59,92,93,7,80,35,84,27,83,17,68,78,0,0,0,3,[]
196,30,60,8,38,39,59,57,68,63,92,84,16,80,48,80,40,74,26,72,75,0,0,0,3,[]
197,24,56,7,39,42,55,57,71,54,94,74,22,74,55,76,55,65,36,65,83,0,0,0,3,[]
198,18,46,9,29,46,52,57,69,57,93,64,31,74,57,68,63,55,43,73,72,0,0,0,3,[]
199,18,45,12,19,41,54,47,59,57,93,55,40,68,64,73,71,53,47,63,62,0,0,0,3,[]
200,23,38,12,17,43,53,43,52,56,90,45,36,63,70,65,82,56,54,58,63,0,0,0,3,[]
201,25,25,15,17,41,55,45,49,62,92,42,24,65,71,61,91,63,62,57,68,0,0,0,3,[]
202,35,16,22,11,36,61,43,54,59,91,45,13,65,72,62,91,66,67,50,76,0,0,0,3,['16:48 FPXDoinb(放逐之刃) 击杀了 V5Mole(符文法师)']
203,36,13,27,7,32,72,40,67,59,91,44,13,65,70,52,92,65,65,47,75,0,0,0,3,[]
204,28,8,27,7,35,85,36,79,59,91,43,15,52,65,47,90,55,57,46,79,0,0,0,3,['16:56 FPX 击杀了火龙']
205,25,9,28,9,38,90,41,88,59,91,40,11,46,64,48,90,46,54,45,79,0,1,0,3,['17:2 V5 击破了防御塔']
206,21,10,25,8,45,91,37,88,59,91,37,8,42,68,56,82,37,62,44,79,0,1,0,3,[]
207,21,10,2,96,35,85,33,76,59,91,49,7,39,71,59,83,36,65,39,73,0,1,0,3,[]
208,13,89,12,90,32,73,35,66,59,91,46,7,46,68,56,84,41,61,50,65,0,1,0,3,[]
209,26,82,24,90,31,62,31,57,4,96,46,6,57,62,61,85,45,56,56,67,0,1,0,3,[]
210,38,76,36,90,35,61,33,64,12,91,46,6,66,54,61,85,50,48,56,67,0,1,0,3,[]
211,40,72,49,91,36,62,36,61,11,79,93,5,73,44,92,10,47,36,91,4,0,1,0,3,[]
212,40,66,60,89,35,62,36,61,10,67,86,10,76,45,86,22,49,40,80,14,0,1,0,3,[]
213,31,58,73,90,30,64,33,63,11,55,79,22,80,54,81,37,55,48,71,27,0,1,0,3,[]
214,31,58,68,91,30,64,33,63,11,43,72,31,83,60,77,53,54,49,64,41,0,1,0,3,[]
215,35,67,62,88,7,95,7,94,15,34,62,39,79,65,75,66,51,49,53,49,0,1,0,3,[]
216,34,59,52,83,17,85,17,84,11,31,56,49,72,77,81,78,54,55,48,54,0,1,0,3,[]
217,33,60,46,79,26,75,27,75,13,19,56,60,63,77,83,83,54,64,55,64,0,1,0,3,[]
218,42,56,44,79,33,65,40,72,14,13,46,58,52,75,82,86,48,66,47,68,0,1,0,3,[]
219,34,61,43,78,36,65,39,75,26,9,43,56,47,75,68,88,49,65,45,71,0,1,0,3,[]
220,40,57,41,84,37,62,40,76,39,9,48,53,48,78,55,89,54,68,47,78,0,1,0,3,[]
221,35,62,42,91,32,72,42,87,44,10,56,41,49,83,52,91,55,57,46,79,0,1,0,3,[]
222,33,75,48,92,32,74,47,88,48,9,58,30,50,83,56,90,52,50,51,76,0,1,0,3,[]
223,34,68,46,88,36,65,42,83,44,9,50,18,46,71,62,86,54,49,48,67,0,1,0,3,[]
224,39,66,44,80,37,62,45,79,47,8,46,9,51,66,62,90,54,49,49,58,0,1,0,3,[]
225,40,58,51,85,37,61,40,68,28,21,41,9,55,57,60,86,92,7,42,46,0,1,0,3,[]
226,32,58,51,91,45,69,44,69,16,21,36,9,44,46,63,80,87,17,32,37,0,1,0,3,[]
227,29,52,51,90,51,76,49,76,11,31,31,10,33,41,57,66,76,25,19,35,0,1,0,3,[]
228,15,48,55,92,41,68,44,70,11,35,19,16,22,38,49,54,66,34,13,35,0,1,0,3,[]
229,10,39,48,90,35,59,33,61,8,38,12,23,16,33,44,51,55,43,17,32,0,1,0,3,['19:3 V5Mole(符文法师) 击杀了 FPXCrisp(深海泰坦)']
230,10,39,54,90,40,59,33,48,5,44,13,23,23,38,41,45,47,38,17,32,0,1,0,3,[]
231,9,43,67,89,32,59,27,52,5,44,21,29,24,44,28,37,43,34,17,32,0,1,0,3,[]
232,18,48,74,89,23,58,21,48,6,49,23,37,24,47,24,36,32,37,17,32,0,1,0,3,[]
233,14,50,76,88,22,56,18,52,11,50,20,50,20,49,20,50,21,46,17,32,0,1,0,3,[]
234,11,54,83,80,31,60,17,53,6,56,21,52,21,51,19,49,23,51,17,32,0,1,0,3,['19:28 FPXLwx(战争女神) 击杀了 V5Max(牛头酋长)']
235,17,64,88,78,32,66,17,53,6,56,32,50,31,51,15,43,36,49,95,4,0,1,0,3,[]
236,33,66,89,77,33,63,17,53,3,96,45,53,41,54,11,33,46,50,87,14,0,1,0,3,[]
237,44,68,83,78,34,64,17,53,4,89,57,59,48,63,13,18,47,58,72,23,0,1,0,3,[]
238,43,67,83,78,37,64,17,53,8,79,67,66,55,65,20,14,50,48,63,35,0,1,0,3,[]
239,40,74,10,93,33,65,17,53,9,66,77,73,56,67,35,16,47,38,52,42,0,1,0,3,[]
240,50,82,20,85,33,65,4,95,11,54,89,73,95,4,42,18,48,49,49,47,0,1,0,3,[]
241,54,82,25,74,37,60,15,79,10,50,84,80,81,10,42,17,49,43,49,46,0,1,0,3,[]
242,53,85,19,63,34,63,26,69,10,50,85,83,68,18,36,16,50,34,47,33,0,1,0,3,[]
243,53,86,24,51,32,63,31,56,18,95,79,75,59,27,25,24,51,33,48,39,0,1,0,3,[]
244,51,88,29,51,4,96,31,52,33,94,73,64,49,34,20,26,50,43,42,42,0,1,0,3,[]
245,51,88,26,47,13,90,31,49,46,94,66,61,38,39,20,26,47,51,35,43,0,1,0,3,[]
246,10,84,14,48,23,79,34,62,58,93,56,64,32,47,95,3,41,51,29,44,0,1,0,3,[]
247,22,73,7,42,30,69,21,58,58,88,45,67,28,58,95,4,28,51,23,53,0,1,0,3,[]
248,30,66,14,48,33,66,23,65,70,90,44,67,30,48,93,18,29,49,23,44,0,1,0,3,[]
249,41,58,22,51,37,60,34,59,75,91,57,67,40,43,91,35,37,39,32,36,0,1,0,3,[]
250,41,51,32,50,39,52,35,49,70,90,57,67,51,47,89,50,49,43,45,43,0,1,0,3,[]
251,47,48,40,51,47,51,46,50,68,80,56,62,55,48,89,64,55,47,55,46,0,1,0,3,[]
252,42,41,44,44,47,46,48,46,59,71,56,56,55,47,88,75,58,46,56,47,0,1,0,3,[]
253,34,35,34,38,36,40,38,39,51,68,53,64,47,54,74,78,49,55,54,57,0,1,0,3,[]
254,32,32,33,31,31,33,33,32,39,63,49,59,42,46,59,76,45,47,43,47,0,1,0,3,[]
255,32,37,42,32,32,36,38,30,39,50,44,51,38,42,47,73,41,43,40,45,0,1,0,3,[]
256,31,46,45,38,33,47,42,37,39,58,41,55,39,57,40,59,43,51,44,52,0,1,0,3,[]
257,26,50,41,33,26,52,31,39,39,58,36,59,35,49,38,61,37,50,34,59,0,1,0,3,['21:21 FPXGimGoon(解脱者) 击杀了 V5Mole(符文法师)']
258,14,49,41,32,15,50,20,38,39,58,24,57,24,50,26,59,25,50,22,55,0,1,0,3,[]
259,9,50,43,24,8,53,12,34,39,58,14,49,22,43,15,50,17,44,15,49,0,1,0,3,[]
260,11,53,39,23,7,51,13,23,39,58,11,43,19,32,10,38,11,34,18,48,0,1,0,3,[]
261,9,40,30,21,6,39,17,14,39,58,11,30,27,22,19,31,13,22,23,36,0,1,0,3,[]
262,11,26,34,22,10,28,26,10,39,58,17,21,28,15,27,20,19,17,27,23,0,1,0,3,[]
263,18,24,39,28,17,20,25,10,39,58,24,10,27,9,26,8,24,9,27,17,0,1,0,3,[]
264,23,33,41,40,9,26,24,10,39,58,25,10,27,20,19,17,19,18,25,26,0,1,0,3,['21:56 FPXGimGoon(解脱者) 击杀了 V5Max(牛头酋长)']
265,32,44,43,53,15,37,24,10,11,83,25,10,27,31,14,17,25,30,28,32,0,1,0,3,[]
266,32,46,39,57,18,47,24,10,19,72,95,3,33,39,20,25,31,36,32,32,0,1,0,3,[]
267,32,44,42,46,21,48,24,10,18,59,17,23,33,32,31,32,30,31,30,33,0,1,0,3,[]
268,32,40,35,39,22,41,24,10,21,47,28,33,34,33,33,31,30,30,31,32,0,1,0,3,[]
269,31,40,32,39,23,50,24,10,25,37,30,33,34,33,33,31,30,32,31,32,0,1,0,3,[]
270,32,41,31,37,32,46,5,91,23,41,31,35,31,36,32,36,31,35,34,37,0,1,0,3,"['22:27 FPXGimGoon(解脱者) 击杀了 V5Ben4(蜘蛛女皇)', '22:29 FPXDoinb(放逐之刃) 击杀了 V5Windy(荒漠屠夫)']"
271,32,41,31,37,35,48,14,75,26,37,31,33,33,31,32,31,31,29,32,29,0,1,0,3,[]
272,32,41,31,37,34,41,18,60,33,36,35,29,34,31,32,31,32,27,32,29,0,1,0,3,[]
273,32,41,31,37,37,36,25,51,31,32,33,35,34,36,31,34,30,33,30,32,0,1,0,3,"['22:44 FPXLwx(战争女神) 击杀了 V5Mole(符文法师)', '22:43 FPX 击杀了大龙']"
274,32,41,31,37,39,31,32,51,31,32,39,32,41,33,40,31,41,35,35,38,0,1,0,3,['22:49 FPXLwx(战争女神) 击杀了 V5y4(虚空之女)']
275,32,41,31,37,39,31,36,63,31,32,41,32,50,34,41,32,51,33,40,39,0,1,0,3,[]
276,32,41,31,37,39,31,37,66,31,32,93,6,41,32,95,4,51,26,95,4,0,1,0,3,[]
277,2,96,31,37,39,31,23,65,31,32,85,23,41,34,9,53,95,4,87,16,0,1,0,3,[]
278,6,77,31,37,39,31,11,60,31,32,81,35,91,5,9,53,38,59,77,26,0,1,0,3,[]
279,16,70,12,90,39,31,8,58,31,32,77,49,77,18,9,50,30,68,65,35,0,1,0,4,['23:12 FPXLwx(战争女神) 击破了防御塔']
280,24,72,23,78,39,31,15,66,31,32,74,59,69,29,8,54,35,67,55,45,0,1,0,4,[]
281,34,75,21,70,39,31,28,73,5,91,74,63,66,44,8,55,46,68,47,58,0,1,0,5,['23:23 FPXDoinb(放逐之刃) 击破了防御塔']
282,47,78,10,66,5,95,38,76,6,74,67,69,63,58,13,47,57,68,56,67,0,1,0,5,[]
283,46,79,16,65,19,83,45,79,7,63,63,71,53,65,21,47,54,77,54,76,0,1,0,5,[]
284,38,76,28,69,25,74,33,74,9,50,64,70,44,69,24,56,60,79,53,76,0,1,0,5,[]
285,30,81,32,82,27,66,27,67,10,38,67,69,47,75,18,51,59,90,49,81,0,1,0,5,[]
286,30,81,31,86,31,63,35,66,10,29,67,69,55,82,16,40,52,91,52,87,0,1,0,5,[]
287,12,95,31,86,28,73,31,76,13,17,66,66,56,82,19,25,49,89,51,85,0,1,0,5,['23:54 FPX 击杀了水龙']
288,30,93,34,90,31,86,29,87,24,12,57,59,50,82,19,18,51,84,47,79,0,1,0,6,['23:57 FPXLwx(战争女神) 击破了防御塔']
289,35,85,36,90,34,88,37,89,13,17,45,53,45,71,23,12,43,78,41,67,0,1,0,6,[]
290,36,79,30,84,30,83,26,82,8,30,35,58,40,73,19,13,44,70,31,58,0,1,0,6,[]
291,38,76,35,78,34,79,35,77,9,42,32,69,39,74,23,27,38,72,31,66,0,1,0,6,[]
292,36,80,34,77,31,80,35,77,11,45,35,75,39,75,30,39,40,77,35,75,0,1,0,6,[]
293,29,83,36,77,30,79,36,77,37,76,34,78,35,77,31,54,36,78,36,75,0,1,0,6,"['24:23 FPXLwx(战争女神) 击杀了 V5Mole(符文法师)', '24:24 FPXLwx(战争女神) 击杀了 V5Max(牛头酋长)']"
294,29,84,36,77,26,80,36,77,37,76,30,75,27,76,28,69,28,77,30,72,0,1,0,6,"['24:26 FPXTian(凛冬之怒) 击杀了 V5Windy(荒漠屠夫)', '24:27 FPXLwx(战争女神) 击杀了 V5Ben4(蜘蛛女皇)', '24:29 FPXLwx(战争女神) 击杀了 V5y4(虚空之女)']"
295,29,84,36,77,26,80,36,77,37,76,22,75,26,74,21,75,23,79,24,77,0,1,0,7,['24:35 FPXGimGoon(解脱者) 击破了防御塔']
296,29,84,36,77,26,80,36,77,37,76,19,80,20,80,17,81,18,81,20,79,0,1,0,7,[]
297,29,84,36,77,26,80,36,77,37,76,12,85,12,84,12,84,14,83,13,84,0,1,0,7,[]
298,29,84,36,77,26,80,36,77,37,76,13,89,14,79,13,87,11,91,13,86,0,1,0,8,['24:50 FPXDoinb(放逐之刃) 击破了防御塔']
299,29,84,36,77,26,80,36,77,37,76,8,91,10,85,12,90,9,93,10,85,0,1,0,9,['24:52 FPX 击破了防御塔']
300,29,84,36,77,26,80,2,96,37,76,3,94,8,85,12,89,10,93,8,86,0,1,0,9,[]
301,29,84,36,77,26,80,2,96,37,76,3,94,8,85,12,89,10,93,8,86,0,1,0,9,['25:5 FPX 获胜']
