,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, , , ,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,98,2,99,0,97,2,95,4,95,97,3,94,5,96,5,95,2,94,2,0,0,0,0,[]
1,4,98,2,98,2,96,2,95,4,95,96,4,93,5,95,5,94,2,93,4,0,0,0,0,[]
2,5,97,3,94,3,96,4,95,4,95,93,6,93,5,93,5,94,6,93,6,0,0,0,0,[]
3,5,97,3,94,4,95,4,95,4,96,94,6,93,5,92,5,93,6,93,6,0,0,0,0,[]
4,26,93,19,83,25,90,25,85,25,86,84,27,72,8,73,19,80,23,79,24,0,0,0,0,[]
5,46,81,30,64,45,83,42,70,42,70,80,49,53,18,54,31,64,40,67,42,0,0,0,0,[]
6,57,68,33,43,64,77,56,68,57,68,81,69,33,21,46,37,56,54,64,60,0,0,0,0,[]
7,57,69,42,47,66,77,57,68,57,70,75,62,29,22,46,36,51,51,62,59,0,0,0,0,[]
8,57,69,39,55,58,70,56,68,57,68,65,58,29,22,46,35,51,49,56,56,0,0,0,0,[]
9,57,69,39,65,57,70,56,67,57,68,65,58,29,22,46,35,52,50,60,57,0,0,0,0,[]
10,57,69,46,71,57,70,56,67,57,69,63,62,29,21,47,36,59,59,61,62,0,0,0,0,[]
11,57,65,53,65,58,67,56,65,57,64,63,61,29,21,47,38,61,61,61,60,0,0,0,0,[]
12,49,67,46,66,57,74,51,66,49,61,69,62,30,21,40,37,62,57,69,64,0,0,0,0,[]
13,48,67,37,64,50,80,48,68,50,61,76,70,35,24,32,43,59,51,78,72,0,0,0,0,[]
14,47,67,27,59,54,88,48,68,50,61,82,78,41,31,40,38,65,53,82,80,0,0,0,0,[]
15,47,66,18,52,63,89,10,95,49,60,83,78,46,24,41,29,65,57,80,81,0,0,0,0,[]
16,48,66,11,45,64,90,23,93,49,60,79,76,47,24,46,24,61,62,78,79,0,0,0,0,[]
17,44,67,14,36,68,89,35,92,45,49,78,74,47,24,45,23,56,63,73,77,0,0,0,0,[]
18,44,67,21,39,72,87,46,91,44,45,77,80,47,26,47,24,55,56,79,80,0,0,0,0,[]
19,42,68,21,30,76,89,57,90,48,51,85,82,47,25,48,27,53,54,84,88,0,0,0,0,[]
20,45,67,24,22,80,86,68,89,48,51,84,80,39,23,50,26,52,49,85,84,0,0,0,0,[]
21,43,68,27,22,79,86,79,89,46,54,86,81,29,18,52,28,50,51,86,86,0,0,0,0,[]
22,50,65,18,19,78,88,83,89,47,52,84,83,22,12,60,36,50,47,86,85,0,0,0,0,[]
23,50,72,13,19,78,87,81,91,45,53,84,83,16,10,67,45,49,48,87,84,0,0,0,0,[]
24,46,72,12,13,77,89,77,90,47,53,84,85,14,10,65,58,51,49,85,88,0,0,0,0,[]
25,45,71,8,16,74,91,73,90,44,54,80,86,11,13,57,66,49,52,78,83,0,0,0,0,[]
26,44,70,11,18,78,91,75,88,40,58,82,85,11,13,54,76,46,55,70,78,0,0,0,0,[]
27,43,68,12,15,77,89,68,84,42,56,79,80,16,15,48,74,49,54,58,76,0,0,0,0,[]
28,42,68,15,13,75,89,63,86,40,56,82,83,19,15,53,76,46,58,54,76,0,0,0,0,[]
29,33,62,13,15,75,90,73,88,39,55,82,84,19,14,57,67,45,54,65,77,0,0,0,0,[]
30,24,57,13,15,75,90,72,88,41,57,81,86,19,13,56,57,46,52,76,79,0,0,0,0,[]
31,21,53,12,16,76,90,62,86,44,54,81,85,20,14,53,58,49,50,83,86,0,0,0,0,[]
32,22,53,14,14,77,89,68,88,40,54,82,86,15,15,45,53,48,51,82,85,0,0,0,0,[]
33,23,52,14,12,79,89,79,89,41,57,82,86,20,15,46,51,49,51,83,84,0,0,0,0,[]
34,21,48,8,17,78,88,82,88,41,55,82,86,11,16,56,49,57,44,87,82,0,0,0,0,"['2:47 V5y4(寒冰射手) 击杀了 RWZWuJi(惩戒之箭),获得一血']"
35,23,36,7,21,77,88,84,87,44,55,95,4,8,20,68,50,59,42,84,82,0,0,0,0,[]
36,20,25,12,22,80,86,85,86,44,54,95,2,14,16,77,52,59,42,86,84,0,0,0,0,[]
37,19,24,15,21,80,88,82,90,44,54,96,2,12,15,76,55,93,8,89,82,0,0,0,0,[]
38,19,24,15,20,81,86,82,89,45,51,87,79,16,11,76,58,91,11,86,82,0,0,0,0,[]
39,27,20,15,20,80,84,83,87,45,51,87,81,15,13,76,58,82,21,87,81,0,0,0,0,[]
40,22,11,19,14,81,85,82,86,46,51,87,79,19,9,74,61,74,29,88,83,0,0,0,0,[]
41,21,13,21,13,82,83,82,85,46,51,87,78,31,7,71,65,65,39,90,81,0,0,0,0,[]
42,23,24,14,18,72,87,73,88,48,50,83,81,31,7,69,66,55,47,85,84,0,0,0,0,[]
43,28,34,9,17,66,88,65,88,48,52,80,87,95,4,72,66,56,48,79,88,0,0,0,0,[]
44,34,40,9,17,66,89,65,88,49,48,80,87,95,4,70,78,57,48,79,88,0,0,0,0,[]
45,39,41,2,96,67,94,63,92,47,50,77,86,13,14,62,83,54,48,77,87,0,0,0,0,[]
46,41,39,2,96,68,91,71,94,51,47,75,88,16,15,60,85,59,42,67,84,0,0,0,0,[]
47,50,35,11,19,69,91,72,92,49,49,78,81,17,15,61,85,56,45,70,83,0,0,0,0,[]
48,50,33,11,22,69,91,67,90,48,48,78,84,17,17,69,79,53,51,73,78,0,0,0,0,[]
49,46,35,10,21,67,93,67,88,47,49,75,78,15,17,73,69,54,52,80,84,0,0,0,0,[]
50,47,41,10,18,2,96,67,88,46,51,81,84,25,14,76,58,52,51,83,86,0,0,0,0,[]
51,45,44,15,21,14,96,12,95,46,51,82,84,19,15,84,56,54,53,79,84,0,0,0,0,[]
52,40,43,11,20,25,95,23,94,45,51,78,83,15,12,81,56,50,53,77,85,0,0,0,0,[]
53,45,43,10,20,37,94,33,89,45,54,78,83,14,13,80,54,51,51,77,85,0,0,0,0,[]
54,45,43,11,21,48,93,36,78,47,50,95,7,13,15,76,46,53,49,90,7,0,0,0,0,[]
55,45,43,12,21,59,92,42,69,48,51,94,11,11,15,71,42,53,46,83,15,0,0,0,0,[]
56,51,44,11,21,70,91,52,64,53,49,93,23,16,15,70,41,54,46,76,24,0,0,0,0,[]
57,57,46,10,20,72,89,55,55,50,49,92,34,16,17,61,43,60,44,69,33,0,0,0,0,['4:44 V5Ben4(暗裔剑魔) 击杀了 RWHuaTian(岩雀)']
58,49,54,12,20,72,89,53,52,49,51,91,46,15,14,56,49,60,44,61,41,0,0,0,0,[]
59,46,66,12,21,73,89,51,51,48,51,89,58,16,14,56,46,60,44,53,46,0,0,0,0,[]
60,48,57,13,19,74,90,52,46,53,47,88,69,17,15,59,44,91,10,54,42,0,0,0,0,[]
61,53,48,12,16,75,89,53,48,52,48,80,76,18,16,56,42,83,20,57,47,0,0,0,0,[]
62,48,50,11,18,76,88,49,51,44,52,71,69,17,15,54,44,75,28,53,51,0,0,0,0,[]
63,47,59,11,16,77,88,45,55,39,51,61,63,18,16,54,49,67,37,50,55,0,0,0,0,[]
64,43,68,11,20,78,88,39,61,39,51,50,60,17,17,55,57,57,47,54,62,0,0,0,0,[]
65,43,68,12,19,78,87,39,65,7,94,49,59,18,18,54,62,50,51,52,65,0,0,0,0,[]
66,36,63,12,18,80,82,39,65,13,91,60,62,17,18,55,57,50,54,57,66,0,0,0,0,[]
67,26,58,16,14,80,81,6,95,19,81,71,65,22,12,55,57,51,53,60,73,0,0,0,0,[]
68,22,54,15,16,82,84,9,95,27,74,78,74,21,14,92,4,50,54,71,69,0,0,0,0,[]
69,22,54,15,14,80,87,21,94,34,65,82,79,19,15,82,10,48,52,79,76,0,0,0,0,[]
70,21,52,15,13,83,84,33,93,43,57,86,79,18,11,71,15,50,54,88,80,0,0,0,0,[]
71,21,48,24,10,82,82,46,91,41,55,86,77,27,6,62,23,57,49,88,77,0,0,0,0,[]
72,22,44,17,10,82,86,58,89,44,53,88,72,30,6,48,22,49,43,89,75,0,0,0,0,['5:56 V5Mole(符文法师) 击杀了 RWHolder(荒漠屠夫)']
73,19,45,17,10,82,82,66,82,44,53,89,74,30,6,41,16,51,46,89,74,0,0,0,0,[]
74,17,45,2,96,82,83,71,76,46,51,88,75,30,6,43,16,52,47,91,78,0,0,0,0,[]
75,16,44,4,92,83,82,81,81,46,54,87,78,84,5,42,17,50,47,86,76,0,0,0,0,[]
76,15,45,5,80,84,84,82,82,45,55,90,77,71,6,46,16,50,48,87,76,0,0,0,0,[]
77,15,45,6,68,82,83,82,85,47,51,89,78,59,7,50,25,51,49,90,81,0,0,0,0,[]
78,10,94,7,56,79,82,81,86,52,52,89,80,47,8,48,35,56,48,89,82,0,0,0,0,[]
79,21,93,8,44,80,84,80,86,49,52,87,80,35,9,47,39,53,44,86,85,0,0,0,0,[]
80,33,92,11,33,80,85,81,90,47,51,86,81,23,11,52,34,55,47,88,83,0,0,0,0,[]
81,46,90,9,22,80,84,82,89,49,50,86,80,20,12,51,34,56,45,88,83,0,0,0,0,[]
82,54,85,8,18,79,85,84,88,51,48,86,81,19,11,52,28,57,43,88,83,0,0,0,0,[]
83,57,83,8,19,79,85,82,90,53,49,85,82,18,15,49,26,56,42,87,83,0,0,0,0,[]
84,68,82,11,20,79,84,83,89,49,48,84,81,19,22,50,25,55,40,86,83,0,0,0,0,[]
85,75,73,7,24,77,85,83,88,50,50,90,81,15,21,52,27,54,44,89,82,0,0,0,0,[]
86,73,65,8,23,79,85,83,89,53,50,88,78,14,20,58,34,55,42,88,83,0,0,0,0,[]
87,73,63,10,24,78,84,80,84,51,49,87,78,15,21,67,41,56,44,89,82,0,0,0,0,[]
88,69,66,11,24,78,86,83,88,54,52,87,78,16,18,70,41,58,41,89,81,0,0,0,0,[]
89,71,66,10,23,79,83,81,87,57,54,89,83,15,17,71,41,57,42,89,82,0,0,0,0,[]
90,69,65,10,22,80,83,80,85,54,45,88,79,17,20,74,49,58,42,88,80,0,0,0,0,[]
91,69,67,7,17,83,83,82,83,54,48,86,74,19,15,67,56,60,44,89,78,0,0,0,0,[]
92,68,67,9,18,83,82,82,81,53,48,89,78,19,16,65,58,56,45,90,79,0,0,0,0,[]
93,68,67,6,22,86,82,83,79,51,51,88,74,15,20,67,55,60,41,87,75,0,0,0,0,[]
94,66,70,7,18,80,77,78,75,57,55,88,72,17,18,75,50,62,40,87,76,0,0,0,0,[]
95,65,70,7,20,81,77,73,69,64,63,91,75,20,15,82,58,95,4,90,77,0,0,0,0,[]
96,61,72,9,24,77,72,75,65,55,57,89,75,13,15,83,59,90,12,90,76,0,0,0,0,['7:57 V5 击杀了水龙']
97,53,76,11,33,78,81,74,62,46,50,86,75,20,14,83,60,81,22,88,83,0,0,0,0,[]
98,48,75,12,24,80,85,74,65,46,51,89,69,19,14,83,62,72,30,89,81,0,0,0,0,[]
99,47,72,18,17,80,84,76,77,47,51,87,79,20,12,89,69,62,41,87,81,0,0,0,0,[]
100,47,65,21,13,80,84,80,85,49,50,86,78,26,10,87,70,55,46,87,84,0,0,0,0,[]
101,47,65,20,21,80,83,81,86,51,49,86,80,21,10,87,71,56,41,87,85,0,0,0,0,[]
102,47,65,19,23,80,86,82,89,49,49,89,80,15,12,88,70,62,51,92,76,0,0,0,0,[]
103,5,90,20,13,80,90,82,90,51,48,86,80,23,8,87,70,57,50,87,73,0,0,0,0,[]
104,11,80,20,9,82,89,78,86,48,49,86,81,28,10,87,73,55,48,85,78,0,0,0,0,[]
105,17,66,19,8,78,88,77,87,48,52,86,81,27,9,78,74,58,42,83,81,0,0,0,0,[]
106,18,56,21,10,81,88,74,88,56,56,84,81,31,8,75,64,59,44,81,80,0,0,0,0,[]
107,22,54,25,10,78,88,76,88,55,53,79,74,30,7,73,54,59,47,74,71,0,0,0,0,[]
108,21,51,24,9,75,88,74,89,51,48,79,74,29,8,73,54,69,50,75,71,0,0,0,0,[]
109,22,41,23,11,74,88,76,91,50,47,95,4,30,7,75,49,64,50,75,71,0,0,0,0,[]
110,24,30,23,11,75,88,77,91,50,46,94,9,29,9,67,43,58,45,92,4,0,0,0,0,[]
111,29,20,23,12,75,87,77,91,41,39,94,11,30,8,63,34,56,43,63,57,0,0,0,0,[]
112,28,9,27,11,77,86,81,90,38,29,93,23,35,6,58,34,55,41,52,53,0,0,0,0,[]
113,21,13,19,14,78,86,81,90,30,31,92,35,29,6,52,33,46,37,44,45,0,0,0,0,[]
114,19,24,13,17,80,83,3,95,31,41,91,46,24,9,52,34,48,48,41,40,0,0,0,0,[]
115,17,34,11,13,86,78,7,87,37,49,91,58,26,15,54,32,48,49,46,49,0,0,0,0,[]
116,15,40,10,17,87,77,19,81,40,57,89,66,19,15,60,40,50,52,53,52,0,0,0,0,[]
117,15,39,13,12,84,81,29,73,43,56,88,72,19,16,62,50,55,57,58,60,0,0,0,0,[]
118,16,35,19,10,74,86,41,77,48,58,90,69,25,12,66,60,55,58,56,61,0,0,0,0,[]
119,22,24,23,9,74,86,51,83,44,53,88,71,30,8,68,64,49,55,62,62,0,0,0,0,[]
120,27,21,24,12,3,96,61,85,45,53,85,65,30,8,69,63,51,52,55,56,0,0,0,0,[]
121,25,23,23,12,14,95,58,83,46,53,87,71,31,7,75,58,51,49,56,57,0,0,0,0,[]
122,28,20,20,10,26,94,56,88,45,52,85,78,31,8,77,47,51,52,58,55,0,0,0,0,[]
123,29,16,22,11,37,93,68,90,46,52,84,81,29,8,68,41,49,43,53,46,0,0,0,0,[]
124,20,15,19,9,49,92,69,89,45,53,83,81,29,9,56,41,45,40,46,37,0,0,0,0,[]
125,20,26,20,8,60,90,73,84,45,54,85,77,29,10,67,41,47,45,39,31,0,0,0,0,[]
126,28,32,17,14,70,88,68,90,49,52,92,77,28,16,73,40,51,46,44,38,0,0,0,0,[]
127,26,32,16,15,72,87,73,90,47,54,83,78,27,18,72,41,49,49,41,45,0,0,0,0,[]
128,19,25,14,14,74,90,74,91,46,55,86,76,20,14,72,41,47,47,44,50,0,0,0,0,[]
129,18,24,8,16,73,91,70,85,44,57,89,71,17,14,92,5,50,46,50,51,0,0,0,0,[]
130,18,24,8,17,75,90,76,91,42,55,89,82,21,13,84,13,49,44,59,57,0,0,0,0,[]
131,8,95,3,95,74,89,77,92,44,54,88,83,27,12,78,23,49,49,68,64,0,0,0,0,[]
132,21,95,5,86,79,86,85,88,47,51,87,75,27,12,70,32,54,47,78,73,0,0,0,0,[]
133,34,93,6,73,81,84,87,86,47,53,89,78,88,4,62,39,50,49,82,78,0,0,0,0,[]
134,46,91,7,62,83,84,83,87,49,51,88,76,77,5,59,50,51,49,85,79,0,0,0,0,[]
135,55,85,11,51,82,86,79,88,43,56,86,79,64,6,59,51,54,52,82,78,0,0,0,0,[]
136,59,84,21,47,80,87,77,88,45,58,86,80,51,8,66,54,61,62,82,80,0,0,0,0,[]
137,58,83,22,41,79,90,74,89,48,59,81,81,39,9,58,47,54,58,77,79,0,0,0,0,[]
138,60,84,20,37,76,92,72,89,47,53,78,84,27,13,50,41,51,49,77,87,0,0,0,0,[]
139,70,84,21,29,77,88,73,88,46,52,78,85,26,25,41,38,54,52,79,83,0,0,0,0,[]
140,78,83,17,20,81,81,81,85,47,55,84,78,26,17,44,49,50,53,77,71,0,0,0,0,[]
141,82,82,15,17,86,75,84,80,40,58,87,70,21,13,46,55,49,54,75,60,0,0,0,0,[]
142,79,71,20,23,85,78,80,78,35,63,83,68,21,12,40,58,43,56,80,51,0,0,0,0,[]
143,89,61,23,23,87,75,84,78,40,56,91,59,28,10,50,61,51,52,89,54,0,0,0,0,[]
144,90,69,25,15,90,74,82,78,49,55,90,52,27,9,62,62,64,53,89,48,0,0,0,0,['11:57 V5Ben4(暗裔剑魔) 击杀了 RWZWuJi(惩戒之箭)']
145,91,70,20,13,89,73,85,79,50,54,90,52,29,9,73,63,64,53,89,48,0,0,0,0,[]
146,91,71,19,12,91,72,89,82,49,49,90,52,25,10,78,63,57,50,95,4,0,0,0,0,[]
147,88,70,23,10,90,74,85,80,52,47,90,52,29,9,87,67,58,45,92,10,0,0,0,0,[]
148,91,68,22,12,89,70,88,73,57,43,95,5,29,6,93,67,61,41,92,23,0,0,0,0,[]
149,85,77,21,9,82,81,84,79,67,42,90,68,19,11,92,68,60,42,91,36,0,0,0,0,[]
150,72,77,6,26,83,89,80,87,52,45,90,70,12,21,83,61,59,41,89,49,0,0,0,0,[]
151,72,78,5,33,85,87,83,89,51,46,87,70,10,25,83,56,62,38,88,65,0,0,0,0,[]
152,82,80,5,33,84,84,85,87,51,47,86,76,19,24,83,56,68,35,89,77,0,0,0,0,[]
153,75,87,5,28,79,88,79,89,46,52,83,81,17,23,76,56,61,41,86,83,0,0,0,0,[]
154,62,83,5,32,68,91,67,91,49,49,80,85,9,18,69,63,61,43,79,84,0,0,0,0,[]
155,53,77,5,32,65,93,60,91,42,54,74,87,7,19,58,63,65,41,68,84,0,0,0,0,[]
156,57,78,2,96,65,94,63,89,42,55,75,87,7,19,57,72,65,41,62,77,0,0,0,0,[]
157,63,86,80,77,74,88,76,86,51,62,81,81,10,21,57,71,92,8,61,74,0,0,0,0,[]
158,71,84,83,79,79,86,78,82,45,68,82,81,12,22,58,63,92,8,57,65,0,0,0,0,['13:8 V5Mole(符文法师) 击杀了 RWZWuJi(惩戒之箭)']
159,73,73,82,78,84,81,75,74,44,68,82,81,10,25,59,59,86,15,61,60,0,0,0,0,[]
160,67,68,72,69,89,73,75,62,2,96,82,81,7,28,48,51,77,24,52,52,0,0,0,0,[]
161,67,70,66,66,88,70,76,62,6,85,82,81,6,28,50,47,67,33,45,49,0,0,0,0,[]
162,64,71,56,58,89,72,66,64,9,69,82,81,7,28,43,39,58,41,35,41,0,0,0,0,[]
163,63,70,49,53,91,74,55,57,10,57,82,81,7,29,32,36,52,46,28,35,0,0,0,0,[]
164,60,74,42,51,89,77,43,52,15,49,93,14,5,29,26,35,51,43,27,35,0,0,0,0,['13:37 V5 击杀了水龙']
165,57,69,32,45,91,74,32,46,23,40,88,24,8,30,27,33,52,43,30,34,0,0,0,0,[]
166,54,64,28,38,91,76,28,37,19,35,76,28,10,32,25,29,43,37,23,28,0,1,0,0,"['13:47 V5y4(寒冰射手) 击破了防御塔,获得一塔']"
167,46,55,39,44,91,76,30,38,11,31,64,34,16,22,27,32,41,35,23,29,0,1,0,0,[]
